wage,gender,age,city,institution,interest
12263,1,21,8,31,0
6027,2,25,7,21,0
13118,2,23,7,40,1
8513,2,20,1,3,1
6230,1,25,6,38,0
8043,2,22,6,28,1
7474,1,24,4,1,1
7361,2,22,7,10,1
6803,2,19,2,22,0
7290,1,20,5,16,0
5638,1,25,3,21,0
5367,2,22,7,4,0
8195,2,25,4,9,0
12789,2,21,3,33,0
13699,2,20,1,23,0
12211,2,22,4,26,1
5625,1,20,7,22,0
3089,2,21,4,16,1
3493,2,24,1,39,0
11886,2,21,4,22,0
12244,1,23,8,1,0
9261,1,25,2,16,1
10438,2,24,1,1,1
8621,1,23,8,22,1
7792,1,23,4,5,1
8426,2,21,2,26,1
10233,1,20,5,24,1
12102,2,20,7,36,1
7503,1,23,4,20,0
4879,1,22,2,3,1
7371,2,20,7,1,1
10926,1,18,7,15,1
11294,1,25,4,33,0
10238,2,24,4,27,0
12847,2,25,7,12,0
11768,1,25,7,2,1
9787,1,23,2,36,0
9666,1,20,5,9,1
3518,1,23,5,37,0
12671,1,22,5,8,0
5731,2,25,4,28,0
7708,1,26,2,8,0
7627,2,21,6,31,0
10445,1,26,5,17,1
3018,1,24,7,37,1
6197,1,23,4,15,0
7506,1,19,7,39,1
9140,1,26,6,8,1
7859,2,24,7,28,0
8991,1,19,3,28,0
10361,2,21,7,14,0
4219,1,20,4,33,1
11113,1,24,2,20,0
5355,2,22,4,33,1
4278,1,24,4,31,1
14286,1,24,2,19,0
7924,2,18,5,12,1
9534,2,19,8,17,0
12484,2,21,7,19,1
13787,1,19,3,32,1
5983,2,26,8,16,1
8333,1,26,6,33,0
3649,2,20,7,29,0
6684,1,24,2,32,1
5630,1,22,3,33,0
13783,1,25,4,17,0
14595,1,25,3,8,1
10208,2,24,3,14,1
14645,1,23,3,20,0
4935,1,24,6,4,1
4083,2,24,5,36,1
14055,1,23,3,15,0
6647,2,23,3,37,0
7695,2,24,4,31,0
14828,1,20,7,25,0
12176,2,22,6,28,0
10124,2,23,4,9,0
13795,2,24,8,4,1
3425,2,22,3,4,0
6054,2,20,8,1,1
10249,2,26,5,38,1
10444,2,18,1,13,0
4618,2,25,3,12,0
8606,1,18,6,19,1
12730,1,21,5,26,1
11749,1,25,3,13,0
11234,1,19,1,39,1
5003,2,18,1,33,0
14922,2,20,8,4,0
7555,1,23,5,19,1
8163,1,18,3,22,1
4119,2,18,5,15,1
5378,2,26,5,33,1
9201,1,19,3,18,1
10161,1,19,4,30,1
9515,1,23,8,23,0
9188,1,18,4,15,1
10011,2,21,4,32,0
10205,1,19,6,27,1
13011,2,24,3,2,0
6108,2,25,5,25,1
3442,1,23,2,28,1
12267,2,19,3,1,1
4545,2,20,3,17,1
3756,1,19,1,38,1
11786,1,21,8,24,0
9971,1,21,2,9,0
11605,2,21,7,4,0
9201,2,23,1,25,0
5948,2,25,8,36,0
13115,2,25,8,30,0
8968,2,26,3,23,1
13458,1,21,6,28,0
13400,2,18,8,2,1
12650,1,22,3,24,1
3769,1,20,8,1,0
4252,2,22,2,11,0
13096,1,24,6,14,0
7341,2,18,2,33,0
7881,2,26,2,6,0
3543,1,25,6,4,1
13950,2,26,4,5,1
9999,2,19,3,20,1
9786,2,20,4,14,1
6671,2,21,4,8,1
3950,1,19,4,33,0
4931,1,21,4,33,1
9679,1,26,2,30,1
10937,1,26,3,34,0
12901,1,19,2,28,0
11218,1,23,6,6,0
11812,1,26,8,32,0
5224,1,18,3,23,0
8954,2,19,5,9,0
7920,1,23,4,12,1
10146,1,23,3,12,0
4644,1,21,6,27,1
6443,2,19,1,7,0
3539,2,19,4,39,1
9415,2,18,6,13,1
14562,2,26,5,21,0
10107,2,25,6,5,1
8684,1,20,1,25,1
14286,2,22,2,31,1
10860,2,25,6,9,1
3637,1,19,5,20,0
5383,2,24,1,33,1
7167,2,21,8,32,0
14938,1,21,1,3,0
7722,1,21,5,14,1
4932,1,22,7,6,1
3130,2,23,5,27,0
4040,1,18,3,33,0
10265,2,21,3,36,1
5488,1,26,3,25,0
12324,2,22,7,34,0
11202,2,24,7,28,1
14460,2,24,2,1,1
3674,1,23,3,28,0
6269,2,21,8,28,1
6565,1,18,1,1,1
3759,1,20,6,25,0
11059,2,19,7,23,0
6655,1,21,1,3,0
13528,2,26,7,7,0
7628,1,19,1,23,0
8899,2,26,3,5,1
12831,2,23,8,25,0
12417,2,18,1,7,1
11000,1,25,7,16,1
13766,1,20,7,6,0
9915,2,19,4,23,0
8019,2,19,1,14,1
8882,2,20,2,37,0
10485,2,26,5,34,1
12926,2,20,4,36,1
6244,1,23,4,35,1
6554,1,24,4,23,1
10281,2,22,8,27,1
13065,2,18,2,30,0
13846,1,21,5,21,0
14950,2,19,7,17,0
7588,1,23,1,6,0
9959,1,20,5,26,0
8318,2,23,1,23,0
12595,1,25,5,20,1
7769,2,26,3,26,0
14778,2,23,6,16,0
7754,1,24,6,18,1
6295,2,24,2,39,0
12403,1,23,8,19,1
13588,1,25,6,22,0
4816,2,23,7,4,1
8262,1,23,1,37,1
8396,2,21,1,36,0
8743,2,23,5,33,1
14872,1,23,6,27,0
11860,1,23,3,35,0
3248,1,24,6,32,1
9525,2,23,5,7,0
5447,1,25,8,16,0
6694,2,19,1,17,0
3263,2,24,5,40,1
12152,2,25,4,2,1
7395,2,21,5,10,1
14735,1,23,2,2,0
12610,2,21,4,14,0
5340,1,21,3,22,0
6712,1,19,6,31,0
11762,2,23,6,38,0
8660,1,25,3,17,0
12958,2,24,3,2,1
14118,1,22,3,3,0
7004,1,19,1,35,1
14240,2,18,1,10,0
10334,2,20,8,12,0
6143,1,23,3,25,0
14761,2,25,3,26,1
3182,1,23,5,36,0
12487,2,22,2,40,0
13218,1,24,8,7,0
4918,2,25,2,17,1
8355,1,23,7,20,0
5158,2,26,1,4,1
13370,1,18,4,31,1
11615,2,20,5,36,0
7268,2,23,5,19,1
14519,2,26,4,36,0
12571,1,23,8,36,1
5402,2,19,1,4,0
12122,2,23,7,38,1
7427,1,21,1,13,1
5297,1,24,2,10,0
13408,2,23,3,25,0
9219,2,21,6,34,1
10487,2,20,6,31,0
7437,2,20,2,40,0
5155,2,21,8,33,0
13006,2,21,2,26,0
9982,2,25,1,15,0
4422,2,25,3,35,1
9088,2,26,6,38,1
4095,2,26,8,33,1
5624,1,21,7,27,1
6551,2,25,4,39,1
13947,1,22,5,13,0
6935,2,18,7,18,1
4948,2,18,5,29,1
4934,1,23,8,8,0
11524,2,26,2,36,0
6073,1,24,5,6,0
4764,2,25,3,6,1
7997,1,20,1,29,0
3981,2,23,4,16,0
7569,2,24,5,8,1
14905,2,19,5,34,1
13046,2,22,5,15,0
5038,2,20,4,23,0
6422,1,24,8,5,1
7588,1,24,5,9,1
14637,2,19,7,38,0
5979,2,19,7,4,1
6958,1,25,6,12,0
13718,1,21,6,31,0
12561,1,23,2,37,0
13623,2,20,6,38,1
6794,2,23,1,29,1
9448,2,22,4,33,1
9945,1,21,1,40,0
14073,2,26,4,30,0
3127,2,26,8,14,1
12806,2,18,2,26,0
14521,2,26,3,16,1
3727,1,19,2,30,0
10329,2,23,3,36,0
13067,1,18,5,36,1
3102,2,20,2,38,0
6942,2,19,2,27,0
3012,2,18,7,10,1
11643,2,22,4,35,1
10024,1,21,8,21,0
14206,1,21,4,14,1
10162,2,20,6,30,0
4729,1,24,5,24,0
7771,1,24,2,10,0
3296,1,19,4,3,0
4606,2,18,8,24,1
7641,1,24,5,32,0
9966,1,25,3,4,0
12380,2,26,6,38,1
13580,2,23,3,30,1
6630,1,26,3,17,1
10029,1,23,1,1,1
4525,2,23,7,31,0
12969,2,25,3,25,1
14278,1,20,2,28,0
5935,2,21,7,31,1
11242,1,21,7,39,0
10827,2,22,7,2,0
6072,1,20,3,1,1
12083,2,20,7,9,0
8349,1,21,8,28,1
9966,1,25,1,12,1
7065,2,25,1,3,1
9388,1,24,8,9,1
10692,1,19,2,32,0
12024,2,18,2,20,0
7283,1,25,8,29,0
5274,2,18,8,18,0
11087,2,22,8,17,0
4366,1,25,5,36,0
8456,2,18,1,27,0
11179,1,26,1,3,1
12550,1,26,8,3,0
5279,1,24,5,5,0
12119,2,21,5,33,0
7693,2,23,1,18,1
3858,1,22,1,21,0
14812,1,23,4,16,0
13355,2,20,5,14,1
7420,1,25,6,36,0
10501,2,21,8,5,1
5860,2,21,2,34,1
10566,2,21,2,10,1
13777,1,23,3,39,1
12158,1,18,5,18,1
13648,2,25,3,13,0
6703,1,25,7,8,1
6622,1,20,5,11,0
10053,1,22,4,22,1
4361,2,24,5,12,0
9433,2,24,8,33,0
3293,2,18,8,13,1
3297,1,25,6,25,0
4175,1,20,2,12,0
5497,1,22,1,11,1
11880,1,18,4,20,0
11319,1,24,7,35,1
5226,2,21,8,11,0
8325,1,25,8,14,1
6703,1,19,3,27,0
4474,1,19,5,39,1
6884,1,18,2,11,0
13559,2,24,5,33,1
10288,1,18,3,12,1
10046,1,18,7,35,0
11434,2,18,7,14,1
3300,1,23,2,3,1
8655,1,18,1,5,1
6198,2,23,8,8,1
3795,1,22,6,24,0
14484,1,23,1,4,0
9297,1,19,3,12,1
5212,2,21,6,3,0
11695,1,23,2,34,1
11745,1,25,7,20,1
8765,2,26,1,23,0
11836,1,19,3,21,1
10260,2,26,3,16,1
7792,2,20,7,13,1
10651,1,21,7,29,0
13098,2,18,5,40,1
13209,1,18,3,11,1
8477,2,19,4,35,1
11391,1,22,4,30,0
10658,2,21,4,32,1
5073,1,23,1,5,0
7690,2,20,6,19,0
9483,2,24,8,34,1
14696,2,25,7,1,1
3427,1,18,2,19,0
9771,2,24,6,34,0
12380,1,24,2,34,1
8805,2,25,2,29,0
4814,2,23,8,24,0
3085,1,26,3,21,1
6048,2,23,1,34,1
8927,2,26,6,31,0
8792,2,18,5,29,1
13356,2,21,5,39,1
10403,1,19,5,26,1
13565,2,22,8,31,1
14557,2,20,2,36,0
9468,2,20,2,30,0
12637,2,19,4,21,1
11786,1,25,6,30,1
12661,2,23,4,23,0
9134,2,26,5,5,0
10040,2,25,3,19,1
8991,2,25,3,17,1
9682,1,24,6,19,1
5434,1,26,8,32,0
7953,1,26,8,19,0
14825,1,22,3,27,0
6819,2,25,3,26,1
13857,2,25,3,20,1
3542,1,19,5,16,0
11995,1,25,7,25,0
10602,1,26,1,24,0
5910,1,26,4,14,0
8673,1,18,2,18,1
6494,2,20,6,28,1
3963,2,25,6,14,1
12004,2,22,7,12,1
4932,1,23,2,3,1
7968,1,23,5,14,0
10352,2,26,1,18,1
9734,2,21,2,23,1
7453,2,18,1,34,1
11706,1,21,4,39,1
5781,1,24,6,12,1
12196,2,26,3,34,1
3442,2,21,3,18,1
13459,1,26,1,26,0
13710,2,21,6,15,0
8560,2,22,4,17,1
8084,1,24,5,33,1
8733,1,18,8,13,1
6135,2,22,6,11,1
9266,2,23,6,32,0
3364,1,21,5,19,0
4310,1,22,5,18,1
8954,2,25,2,15,0
14965,2,25,5,38,1
11880,2,18,6,39,0
6589,2,26,3,12,0
5511,1,22,6,33,0
5911,2,20,3,40,0
4433,1,18,7,6,1
4541,1,26,4,4,1
7332,2,22,5,30,0
12814,2,20,5,9,1
14806,2,24,4,33,0
8143,2,23,6,18,1
12786,2,23,5,26,0
4351,1,25,5,14,0
7583,2,21,3,21,1
14061,1,25,7,13,0
12097,2,22,5,9,0
7123,2,24,6,22,1
4285,1,26,4,21,1
12301,1,22,2,9,0
9415,1,26,1,16,1
7148,1,23,1,40,0
14051,2,22,8,2,0
3931,1,24,1,3,0
8782,1,20,2,36,0
14274,2,25,1,18,1
10217,2,18,1,21,1
5189,1,22,6,11,0
5008,1,26,7,9,1
4385,1,18,3,25,0
8313,2,21,8,13,1
9480,2,25,1,13,1
8861,2,19,2,21,0
8580,1,24,7,40,1
12548,1,18,2,37,1
8872,2,19,2,27,0
11837,1,25,8,28,1
11822,2,26,8,19,1
5023,2,19,8,14,0
13500,2,25,4,35,1
11738,2,19,1,19,0
12788,2,22,8,35,0
14835,1,18,3,5,1
7668,2,25,1,40,1
9650,1,20,3,21,1
6982,2,19,2,33,1
12989,1,22,8,24,0
7048,2,19,6,13,1
12954,2,26,7,19,1
10490,2,20,4,1,1
4438,2,18,8,35,0
3490,2,23,2,36,0
6580,2,20,6,20,0
9919,2,21,2,10,0
12059,1,20,5,36,1
8579,1,24,3,12,1
13523,1,20,6,20,1
3985,2,19,4,29,0
6780,2,19,1,31,1
12355,2,20,7,11,0
14003,1,21,3,20,0
10155,1,18,1,5,1
10462,1,23,4,21,0
3671,2,26,4,7,0
6802,2,24,6,1,1
5133,1,20,8,16,0
8382,1,19,2,5,1
6335,2,23,5,18,1
9690,1,26,4,13,1
11154,1,19,4,15,0
3676,2,24,8,29,0
7803,1,21,1,18,0
13343,1,19,1,4,0
11989,1,18,6,23,0
9431,1,22,3,27,0
4779,2,26,8,30,0
6170,2,26,5,8,1
10009,2,23,4,14,1
6576,1,25,3,12,1
9566,2,18,5,24,1
8534,2,21,4,16,0
13485,2,19,7,39,1
13327,2,21,5,6,0
11700,1,21,7,35,0
3544,2,23,3,27,0
8031,2,24,8,2,0
8942,1,25,6,16,1
5107,2,22,2,7,0
6557,2,20,7,1,0
5268,1,18,8,10,0
13755,2,22,2,7,0
8577,1,26,3,37,0
13030,1,20,2,28,0
8229,1,24,6,24,0
4937,1,19,3,16,1
13700,2,20,1,5,1
3194,2,24,4,20,0
13431,2,23,6,36,1
9166,2,18,5,10,0
4087,1,21,1,10,1
3573,1,18,7,23,1
3114,2,26,2,13,0
11958,1,23,8,2,1
8132,2,25,1,1,1
8604,2,24,3,17,0
9914,2,19,6,33,1
9354,2,23,5,29,0
6565,1,18,5,10,1
8024,1,24,1,37,0
11402,1,26,2,30,0
9507,1,20,8,21,1
9256,1,23,2,20,0
10127,2,19,3,33,1
3490,2,19,2,40,1
11084,1,18,6,31,0
4147,2,19,7,16,0
6493,2,26,5,2,1
14178,1,18,3,8,0
12462,2,24,6,33,0
4742,2,25,2,23,0
9095,2,26,4,8,1
3672,1,23,7,10,1
14768,1,20,5,2,0
13525,2,25,1,3,1
14495,1,20,1,15,0
3414,2,26,3,38,1
11117,2,25,5,21,1
10256,1,22,2,5,1
11601,2,23,2,26,1
10955,1,23,2,37,1
10457,2,25,6,31,1
13409,2,23,7,36,1
6396,1,18,1,6,1
13580,2,21,8,3,1
4768,1,25,6,20,0
14244,1,21,7,28,1
7578,2,18,8,8,0
8018,1,23,8,21,1
8523,2,24,2,23,1
9958,1,23,4,33,0
4061,2,18,4,37,0
8398,1,26,6,36,0
8654,2,23,3,24,0
6403,2,25,1,22,0
11335,1,24,2,24,1
4885,2,20,1,36,1
3560,1,26,6,3,1
6908,2,24,4,40,0
7310,1,25,7,15,0
13977,2,22,7,27,0
9614,2,26,7,23,0
9213,1,22,6,8,0
12349,1,22,1,8,1
7390,2,26,3,12,1
13341,2,20,1,10,0
13381,2,24,6,6,1
10866,1,23,8,1,0
10158,1,18,2,10,1
4168,1,25,6,10,0
11209,1,20,5,31,1
11052,1,22,1,34,1
10062,2,26,5,30,0
9740,1,20,6,19,0
10206,2,18,4,8,1
12492,2,26,2,24,0
12308,1,25,2,35,1
5283,2,21,3,37,1
3692,2,23,6,27,0
10004,2,24,1,29,0
14273,1,23,1,37,0
13008,2,21,3,28,0
9371,1,19,1,36,1
7611,1,25,7,13,0
10770,1,21,6,36,0
10654,2,21,5,27,0
3672,1,26,1,20,1
7839,2,25,7,9,0
5132,1,25,5,24,0
8714,1,20,6,22,0
8175,2,25,1,5,1
5072,2,22,1,5,1
12990,2,20,2,38,0
8187,2,22,2,28,0
14024,1,21,4,17,1
11015,1,25,5,2,0
12900,1,19,6,25,0
12907,2,21,1,11,0
13136,2,20,4,26,0
7100,1,19,3,29,1
8024,2,21,1,23,1
11592,1,22,6,38,1
14245,2,23,6,26,1
13455,2,22,3,11,1
6723,1,26,8,5,0
8147,2,24,2,26,1
12604,2,20,8,29,1
7611,1,26,4,1,1
6535,2,20,6,35,0
7265,2,20,5,30,1
5861,1,25,5,4,1
3382,2,26,6,26,0
14136,2,22,7,39,0
8603,2,24,5,27,0
3265,2,24,5,20,1
12288,2,22,4,30,1
5923,1,19,4,3,0
7148,2,24,7,32,0
11837,1,26,2,32,1
7364,1,22,7,3,0
8412,1,24,5,39,1
7246,2,26,7,11,1
3243,2,22,8,25,0
13415,1,19,7,5,0
4475,2,26,4,6,1
3386,2,21,4,36,1
9835,1,20,5,2,0
3408,2,23,5,22,0
13296,2,24,1,18,1
10359,1,24,8,6,1
4241,1,23,1,18,1
10610,1,25,4,9,1
6393,2,21,1,28,1
9304,1,19,8,38,0
5889,1,24,4,28,1
7186,2,25,6,30,0
7767,1,22,3,35,0
4978,1,26,8,5,1
11569,1,21,1,27,1
5069,2,26,7,31,0
8014,1,20,2,18,1
11951,2,25,8,9,1
10385,2,22,6,34,0
9579,2,24,1,9,0
14827,1,23,1,26,1
9278,1,25,3,39,1
12913,2,23,7,36,1
14288,2,18,7,29,0
13817,2,22,7,30,0
7000,2,26,5,5,0
6483,1,21,2,33,0
12365,2,24,3,6,1
9746,1,24,7,40,0
8729,2,19,1,28,1
13352,2,25,3,4,1
13987,2,18,5,1,1
14338,1,18,8,16,0
9184,1,26,8,38,0
12511,1,24,2,30,0
10515,2,19,4,8,0
12643,2,24,1,36,0
5042,2,22,3,5,1
5422,1,18,6,6,1
12131,1,26,3,12,1
9002,2,21,2,15,1
5364,1,23,5,36,0
14013,2,21,4,25,1
11402,1,18,5,39,1
10344,2,20,5,28,0
12795,1,21,5,30,1
6943,2,25,1,9,0
8734,1,21,1,36,1
10844,2,23,3,9,1
3970,2,24,6,12,1
4072,1,22,5,10,1
7840,1,26,2,8,1
11886,1,19,2,15,1
4257,2,21,2,35,1
5178,2,20,4,19,0
6525,2,24,7,4,0
14769,2,22,7,12,1
14945,2,26,7,35,0
5505,1,26,5,20,0
4631,2,22,5,26,0
14753,2,23,8,19,0
13289,2,23,1,5,0
13108,1,25,3,12,1
14284,2,22,6,7,1
5850,1,19,6,20,0
7772,2,22,8,12,0
13786,1,24,5,40,0
13966,1,21,2,11,1
7690,1,20,3,5,1
13304,1,18,5,37,1
14388,1,20,4,22,0
3459,2,24,8,13,1
12856,2,24,3,10,1
12058,1,21,1,8,0
3190,2,21,8,28,0
10028,1,24,2,12,0
14128,2,20,6,21,0
3402,1,18,4,27,0
5436,1,23,7,17,0
6833,1,24,3,25,1
13627,2,26,5,4,0
4536,2,19,3,37,0
8468,2,25,3,24,1
8114,2,23,3,20,1
8359,1,26,5,30,1
8018,2,22,8,40,0
9609,2,23,4,27,1
3451,1,21,2,28,1
7066,2,25,8,28,1
13930,1,21,8,20,1
6780,2,25,5,23,1
5698,2,26,1,14,0
10898,1,22,1,23,0
5100,2,25,8,7,0
3243,2,24,4,27,1
4617,1,23,6,36,0
6201,2,19,8,28,0
9488,2,19,7,32,0
10796,1,25,2,2,1
8420,1,26,6,27,0
7135,1,21,2,12,0
10308,2,22,8,33,1
9346,1,20,1,15,1
6926,1,21,7,32,0
7054,2,22,4,28,1
3931,2,21,1,17,0
13966,1,25,6,27,1
3125,2,20,6,3,1
10121,2,24,3,1,0
4425,2,25,6,2,1
7234,2,20,7,15,0
3944,2,18,4,37,1
6817,2,24,7,29,0
8678,1,22,7,33,1
11544,2,23,8,4,1
5444,1,18,8,8,1
3179,1,24,6,39,1
12332,1,23,2,36,0
14661,2,23,7,24,1
12125,1,24,2,35,0
14418,2,23,8,24,0
5325,1,25,4,18,0
10916,2,25,6,24,0
3104,1,22,3,30,0
3112,1,20,3,16,0
3501,1,24,1,40,1
5233,2,22,6,40,0
9222,1,23,8,9,1
3268,1,23,8,40,0
4667,1,20,2,32,1
9607,2,19,3,1,0
5746,1,23,6,39,1
5660,1,20,5,22,0
5929,2,25,2,15,1
4110,1,26,4,15,1
12072,2,18,3,33,0
11460,2,19,3,4,0
12855,2,21,4,31,1
14314,1,19,5,37,0
13805,1,25,6,4,1
12828,1,21,6,30,0
7543,2,20,3,37,1
8948,2,18,5,31,1
7509,1,23,4,22,1
8507,2,22,8,34,0
3177,2,22,8,40,0
7595,1,26,4,29,1
5549,1,24,5,23,1
3299,1,25,7,8,0
10071,1,19,6,20,1
5586,2,23,1,23,0
6044,2,26,5,33,0
3956,1,21,3,18,1
5731,2,26,3,37,0
14047,1,25,5,18,1
4004,2,24,8,17,0
5803,1,22,2,8,0
14045,1,25,4,40,1
5694,1,18,7,21,0
3523,1,20,7,32,1
11394,2,25,2,22,1
13521,1,22,3,11,0
11135,2,24,8,22,0
9540,2,25,4,21,1
14816,2,24,8,2,0
8024,2,25,5,29,0
5917,2,20,5,29,0
5974,1,24,5,39,0
8290,1,19,3,38,0
3463,1,21,3,31,1
11355,1,18,2,12,1
13269,2,20,4,27,1
5501,1,22,6,40,1
11301,2,21,4,22,0
13481,1,22,8,12,1
14747,2,20,3,5,1
10599,2,26,2,27,0
12665,1,26,5,3,0
13349,1,18,8,32,1
8992,1,22,4,39,0
3253,2,23,7,30,1
7532,1,19,4,6,0
13102,1,22,3,33,1
3279,1,19,3,32,1
5783,1,26,6,35,1
10620,2,21,3,17,1
7329,1,22,4,11,1
3273,1,19,1,24,1
7993,2,21,5,26,0
9440,2,26,5,25,0
14681,1,22,5,19,0
11901,2,19,6,1,1
4837,2,26,3,8,0
10993,1,18,7,35,1
11639,1,23,1,2,1
9680,2,25,7,22,1
10454,2,19,6,29,1
10026,2,19,1,20,0
13517,2,20,7,36,0
12402,1,18,3,21,1
3703,1,25,4,7,1
12247,2,26,8,12,0
7011,1,26,6,21,1
14205,2,22,4,40,0
14107,1,24,7,31,0
11336,2,26,7,25,1
3412,1,22,2,3,0
10584,1,26,8,32,0
3979,1,20,6,2,1
8676,2,21,3,17,1
8296,1,19,2,12,1
11830,1,19,1,7,1
12937,2,26,5,14,1
3603,1,25,8,17,0
7826,2,22,7,5,1
10662,1,24,4,16,0
14997,1,26,3,4,0
3106,2,23,7,10,1
4418,2,21,1,29,1
4141,2,20,6,27,1
6451,2,24,6,28,0
9761,1,26,5,30,1
4591,1,23,7,16,1
6921,2,24,5,15,1
6092,2,20,8,5,1
13783,2,20,8,38,1
7042,1,19,6,19,1
5776,1,19,8,29,1
11879,1,26,6,33,1
14864,1,19,8,15,0
12494,1,24,6,32,0
4939,2,19,5,19,1
9305,2,18,1,13,0
4816,2,23,4,39,1
12131,2,21,2,19,0
12801,2,24,4,15,0
11872,2,26,4,38,1
5108,1,23,7,12,1
7179,2,21,4,24,1
7358,2,26,4,39,1
4445,2,22,2,4,1
14161,2,26,7,7,0
4950,2,26,4,30,1
14752,2,20,5,35,1
11749,1,20,4,9,0
4773,2,26,1,39,1
11384,1,24,4,37,0
14040,1,22,2,15,0
12064,2,22,6,12,1
14274,1,24,8,17,0
4007,1,25,6,21,1
12677,2,18,1,28,0
14390,2,21,5,21,1
8993,2,21,8,16,1
5090,2,18,3,35,1
5869,1,18,2,25,0
6169,2,20,5,18,1
5434,1,22,7,26,1
9068,2,26,6,7,0
12628,1,22,1,1,1
8930,1,26,7,40,0
8041,1,20,6,40,0
4419,1,22,3,30,0
3973,2,25,4,11,0
8857,1,19,4,22,0
5767,2,20,4,12,1
7794,1,18,4,27,1
12745,1,23,3,19,0
4044,1,26,1,23,0
12157,1,24,1,39,1
7192,1,20,6,12,0
10377,1,18,7,23,0
11992,1,23,3,4,1
8942,1,23,1,23,1
5065,2,18,5,24,0
6851,2,19,5,31,0
6702,1,20,3,40,1
12725,1,26,8,31,1
4842,1,21,8,28,1
7970,1,19,8,24,0
6037,2,25,4,5,0
14399,2,19,1,15,1
