Tuition,ParentWage,CanAfford
30000,12137,1
30000,8139,0
30000,8418,1
30000,12910,1
30000,6237,0
30000,3243,0
30000,8635,1
30000,12746,1
30000,12983,1
30000,11908,1
30000,6534,0
30000,7139,0
30000,5560,0
30000,13686,1
30000,10945,1
30000,3028,0
30000,12882,1
30000,13003,1
30000,8901,1
30000,4188,0
30000,12280,1
30000,3264,0
30000,4623,0
30000,3765,0
30000,4637,0
30000,5407,0
30000,10214,1
30000,4663,0
30000,5669,0
30000,6605,0
30000,5713,0
30000,5711,0
30000,3073,0
30000,9329,1
30000,7423,0
30000,6056,0
30000,6206,0
30000,5432,0
30000,8697,1
30000,6524,0
30000,3678,0
30000,9790,1
30000,7266,0
30000,11329,1
30000,11412,1
30000,10488,1
30000,10057,1
30000,5593,0
30000,13536,1
30000,6057,0
30000,8606,1
30000,9095,1
30000,6302,0
30000,5641,0
30000,11780,1
30000,3483,0
30000,11969,1
30000,12075,1
30000,6881,0
30000,9774,1
30000,11040,1
30000,5110,0
30000,5564,0
30000,3139,0
30000,10047,1
30000,10510,1
30000,12469,1
30000,10697,1
30000,3018,0
30000,12391,1
30000,9804,1
30000,9949,1
30000,5401,0
30000,7506,0
30000,13380,1
30000,11937,1
30000,9029,1
30000,3730,0
30000,12018,1
30000,10874,1
30000,5414,0
30000,6066,0
30000,13380,1
30000,5869,0
30000,7989,0
30000,10276,1
30000,12306,1
30000,5541,0
30000,11851,1
30000,13006,1
30000,7504,0
30000,3242,0
30000,8915,1
30000,5542,0
30000,10148,1
30000,7804,0
30000,13117,1
30000,4374,0
30000,4088,0
30000,7669,0
30000,3400,0
30000,7068,0
30000,3712,0
30000,6601,0
30000,12886,1
30000,11387,1
30000,3151,0
30000,10129,1
30000,5202,0
30000,9550,1
30000,3242,0
30000,10984,1
30000,13974,1
30000,4890,0
30000,10001,1
30000,13006,1
30000,13591,1
30000,4930,0
30000,6929,0
30000,11080,1
30000,5539,0
30000,7064,0
30000,4526,0
30000,4054,0
30000,9667,1
30000,11508,1
30000,8229,0
30000,11260,1
30000,5041,0
30000,10575,1
30000,11415,1
30000,5268,0
30000,6932,0
30000,10490,1
30000,9031,1
30000,3842,0
30000,8353,1
30000,12163,1
30000,3361,0
30000,12700,1
30000,4695,0
30000,12004,1
30000,6359,0
30000,8445,1
30000,8617,1
30000,5899,0
30000,4349,0
30000,4456,0
30000,3218,0
30000,8147,0
30000,3462,0
30000,10072,1
30000,3469,0
30000,3772,0
30000,13513,1
30000,3136,0
30000,9532,1
30000,4123,0
30000,12460,1
30000,9413,1
30000,9865,1
30000,3557,0
30000,6443,0
30000,9383,1
30000,13064,1
30000,8436,1
30000,8847,1
30000,6582,0
30000,9784,1
30000,5109,0
30000,3258,0
30000,7057,0
30000,10345,1
30000,4056,0
30000,8772,1
30000,12849,1
30000,10878,1
30000,6522,0
30000,6822,0
30000,11372,1
30000,3121,0
30000,5341,0
30000,12636,1
30000,4557,0
30000,10605,1
30000,7176,0
30000,7079,0
30000,5176,0
30000,12750,1
30000,3477,0
30000,3217,0
30000,4838,0
30000,9271,1
30000,6860,0
30000,3273,0
30000,9795,1
30000,5189,0
30000,6576,0
30000,9967,1
30000,10329,1
30000,3758,0
30000,11494,1
30000,13476,1
30000,4566,0
30000,10384,1
30000,6462,0
30000,12915,1
30000,11477,1
30000,3537,0
30000,8995,1
30000,5189,0
30000,8035,0
30000,5496,0
30000,7146,0
30000,13679,1
30000,8459,1
30000,11780,1
30000,9003,1
30000,4885,0
30000,5131,0
30000,6754,0
30000,7502,0
30000,12665,1
30000,9403,1
30000,12181,1
30000,9516,1
30000,8170,0
30000,13406,1
30000,9519,1
30000,13351,1
30000,5440,0
30000,9564,1
30000,8086,0
30000,5601,0
30000,9770,1
30000,11735,1
30000,8166,0
30000,4074,0
30000,11943,1
30000,13565,1
30000,12878,1
30000,4823,0
30000,9598,1
30000,6499,0
30000,9078,1
30000,5900,0
30000,7027,0
30000,12656,1
30000,9406,1
30000,5520,0
30000,8640,1
30000,8709,1
30000,3304,0
30000,11127,1
30000,13213,1
30000,7801,0
30000,6038,0
30000,3360,0
30000,9324,1
30000,10150,1
30000,13829,1
30000,5624,0
30000,7735,0
30000,9550,1
30000,4655,0
30000,10329,1
30000,4476,0
30000,5759,0
30000,3056,0
30000,8468,1
30000,11257,1
30000,3962,0
30000,8337,1
30000,11144,1
30000,7572,0
30000,3236,0
30000,7446,0
30000,9914,1
30000,3081,0
30000,13846,1
30000,13333,1
30000,7904,0
30000,9548,1
30000,3919,0
30000,3626,0
30000,11044,1
30000,4476,0
30000,6243,0
30000,5593,0
30000,5041,0
30000,4383,0
30000,5345,0
30000,7833,0
30000,9976,1
30000,12697,1
30000,3603,0
30000,8286,0
30000,3018,0
30000,5369,0
30000,11509,1
30000,3029,0
30000,4041,0
30000,12252,1
30000,11244,1
30000,12031,1
30000,6308,0
30000,10373,1
30000,4108,0
30000,10650,1
30000,11245,1
30000,12189,1
30000,11932,1
30000,7652,0
30000,9782,1
30000,9493,1
30000,7925,0
30000,11040,1
30000,12030,1
30000,9568,1
30000,5131,0
30000,3925,0
30000,10764,1
30000,12600,1
30000,12523,1
30000,5809,0
30000,8986,1
30000,8118,0
30000,8082,0
30000,6481,0
30000,8605,1
30000,8761,1
30000,10242,1
30000,13697,1
30000,5730,0
30000,9598,1
30000,10172,1
30000,6977,0
30000,13575,1
30000,4436,0
30000,5568,0
30000,12310,1
30000,4112,0
30000,8281,0
30000,9267,1
30000,6460,0
30000,3597,0
30000,6548,0
30000,13040,1
30000,3849,0
30000,4665,0
30000,3939,0
30000,8650,1
30000,10834,1
30000,10163,1
30000,8000,0
30000,13255,1
30000,4759,0
30000,5889,0
30000,10928,1
30000,3105,0
30000,12338,1
30000,11878,1
30000,8795,1
30000,6766,0
30000,6806,0
30000,11991,1
30000,13188,1
30000,8642,1
30000,9501,1
30000,6764,0
30000,4917,0
30000,11447,1
30000,8314,0
30000,6394,0
30000,10843,1
30000,4657,0
30000,8846,1
30000,8142,0
30000,6861,0
30000,13449,1
30000,4267,0
30000,12920,1
30000,11623,1
30000,12793,1
30000,6002,0
30000,6215,0
30000,12319,1
30000,11458,1
30000,3547,0
30000,5432,0
30000,13309,1
30000,11972,1
30000,8979,1
30000,4778,0
30000,7410,0
30000,3802,0
30000,3723,0
30000,6989,0
30000,8073,0
30000,13958,1
30000,8072,0
30000,7842,0
30000,4263,0
30000,3557,0
30000,3371,0
30000,4030,0
30000,10570,1
30000,11394,1
30000,12630,1
30000,9808,1
30000,13550,1
30000,4666,0
30000,7922,0
30000,10198,1
30000,13886,1
30000,13122,1
30000,10725,1
30000,3538,0
30000,7524,0
30000,6005,0
30000,5910,0
30000,6371,0
30000,12769,1
30000,9241,1
30000,5508,0
30000,4366,0
30000,4089,0
30000,4461,0
30000,9241,1
30000,8765,1
30000,5427,0
30000,13547,1
30000,11242,1
30000,7908,0
30000,13946,1
30000,4127,0
30000,9233,1
30000,11147,1
30000,3480,0
30000,7689,0
30000,13337,1
30000,10467,1
30000,12113,1
30000,11957,1
30000,7960,0
30000,3148,0
30000,5188,0
30000,8448,1
30000,9656,1
30000,12247,1
30000,4309,0
30000,9889,1
30000,7031,0
30000,13814,1
30000,9637,1
30000,10068,1
30000,11003,1
30000,10221,1
30000,5424,0
30000,5895,0
30000,7398,0
30000,11783,1
30000,10891,1
30000,6887,0
30000,7220,0
30000,11990,1
30000,4844,0
30000,8611,1
30000,11817,1
30000,3154,0
30000,10506,1
30000,12592,1
30000,8694,1
30000,7106,0
30000,5918,0
30000,8136,0
30000,5574,0
30000,6940,0
30000,3512,0
30000,10025,1
30000,10983,1
30000,9590,1
30000,11136,1
30000,9521,1
30000,13997,1
30000,8854,1
30000,6499,0
30000,11282,1
30000,5575,0
30000,8276,0
30000,13489,1
30000,7024,0
30000,6020,0
30000,5505,0
30000,7450,0
30000,9908,1
30000,3311,0
30000,8531,1
30000,7298,0
30000,13395,1
30000,13919,1
30000,12142,1
30000,11834,1
30000,10172,1
30000,8416,1
30000,10024,1
30000,13703,1
30000,9070,1
30000,8841,1
30000,7202,0
30000,7787,0
30000,3221,0
30000,9447,1
30000,13595,1
30000,8242,0
30000,4081,0
30000,10556,1
30000,12915,1
30000,7538,0
30000,10944,1
30000,9913,1
30000,13597,1
30000,6917,0
30000,9845,1
30000,4599,0
30000,5617,0
30000,11999,1
30000,13096,1
30000,10539,1
30000,12050,1
30000,5620,0
30000,4625,0
30000,12812,1
30000,7704,0
30000,8028,0
30000,4230,0
30000,13952,1
30000,8425,1
30000,12926,1
30000,10572,1
30000,8861,1
30000,5990,0
30000,9222,1
30000,11828,1
30000,12771,1
30000,8369,1
30000,10277,1
30000,6629,0
30000,5491,0
30000,5772,0
30000,12532,1
30000,3942,0
30000,3332,0
30000,13957,1
30000,4184,0
30000,8224,0
30000,13060,1
30000,10630,1
30000,3836,0
30000,9080,1
30000,9315,1
30000,6547,0
30000,3745,0
30000,5280,0
30000,5016,0
30000,7494,0
30000,10161,1
30000,10173,1
30000,9966,1
30000,6482,0
30000,5000,0
30000,10164,1
30000,5308,0
30000,3182,0
30000,10183,1
30000,12893,1
30000,3781,0
30000,5877,0
30000,13891,1
30000,12376,1
30000,12221,1
30000,3284,0
30000,9128,1
30000,9716,1
30000,6155,0
30000,12864,1
30000,9045,1
30000,7910,0
30000,11172,1
30000,3060,0
30000,3785,0
30000,3313,0
30000,4390,0
30000,13003,1
30000,11073,1
30000,11356,1
30000,11130,1
30000,3813,0
30000,4584,0
30000,13015,1
30000,7783,0
30000,12799,1
30000,10083,1
30000,12975,1
30000,3650,0
30000,9150,1
30000,3573,0
30000,13252,1
30000,13762,1
30000,13786,1
30000,5719,0
30000,12481,1
30000,5013,0
30000,7080,0
30000,7956,0
30000,12888,1
30000,11117,1
30000,3678,0
30000,10523,1
30000,3671,0
30000,10880,1
30000,4244,0
30000,12341,1
30000,5710,0
30000,3318,0
30000,6615,0
30000,10805,1
30000,6668,0
30000,11050,1
30000,8013,0
30000,6537,0
30000,8358,1
30000,9816,1
30000,13660,1
30000,10277,1
30000,6167,0
30000,5518,0
30000,10254,1
30000,6467,0
30000,13640,1
30000,10705,1
30000,4672,0
30000,10050,1
30000,7625,0
30000,10721,1
30000,10457,1
30000,6397,0
30000,8646,1
30000,7130,0
30000,4426,0
30000,3260,0
30000,12219,1
30000,9638,1
30000,10511,1
30000,13280,1
30000,13225,1
30000,7318,0
30000,4035,0
30000,5188,0
30000,3979,0
30000,5903,0
30000,9430,1
30000,11340,1
30000,7450,0
30000,13333,1
30000,6078,0
30000,11345,1
30000,6622,0
30000,4553,0
30000,3126,0
30000,6782,0
30000,11950,1
30000,12777,1
30000,7531,0
30000,10231,1
30000,3598,0
30000,7496,0
30000,11560,1
30000,7511,0
30000,6715,0
30000,7960,0
30000,4420,0
30000,5194,0
30000,5650,0
30000,11125,1
30000,12051,1
30000,6608,0
30000,3600,0
30000,13093,1
30000,9741,1
30000,8497,1
30000,4946,0
30000,9041,1
30000,7793,0
30000,11138,1
30000,10138,1
30000,12934,1
30000,4298,0
30000,13903,1
30000,4481,0
30000,7590,0
30000,12650,1
30000,8890,1
30000,13309,1
30000,9833,1
30000,8484,1
30000,8190,0
30000,4923,0
30000,11860,1
30000,4285,0
30000,5916,0
30000,3018,0
30000,10039,1
30000,10835,1
30000,3036,0
30000,6441,0
30000,9293,1
30000,11869,1
30000,3498,0
30000,8974,1
30000,9140,1
30000,3193,0
30000,9599,1
30000,10331,1
30000,10818,1
30000,9938,1
30000,8359,1
30000,5986,0
30000,10119,1
30000,8031,0
30000,5097,0
30000,7000,0
30000,12875,1
30000,9371,1
30000,12792,1
30000,4394,0
30000,4824,0
30000,4907,0
30000,6294,0
30000,7758,0
30000,8056,0
30000,13439,1
30000,5755,0
30000,8583,1
30000,9577,1
30000,6167,0
30000,6904,0
30000,4484,0
30000,8239,0
30000,12506,1
30000,6250,0
30000,11296,1
30000,11941,1
30000,6016,0
30000,10927,1
30000,3519,0
30000,7065,0
30000,7961,0
30000,10943,1
30000,4978,0
30000,5315,0
30000,5761,0
30000,5134,0
30000,9851,1
30000,6051,0
30000,13301,1
30000,3175,0
30000,7266,0
30000,13372,1
30000,9396,1
30000,6083,0
30000,6899,0
30000,11552,1
30000,12433,1
30000,9958,1
30000,6659,0
30000,8407,1
30000,6045,0
30000,5360,0
30000,4117,0
30000,10327,1
30000,9394,1
30000,4054,0
30000,3754,0
30000,5050,0
30000,13794,1
30000,10050,1
30000,8217,0
30000,9733,1
30000,9275,1
30000,6121,0
30000,11940,1
30000,9485,1
30000,3006,0
30000,13451,1
30000,6425,0
30000,10596,1
30000,5335,0
30000,9394,1
30000,10979,1
30000,6828,0
30000,8398,1
30000,12404,1
30000,7786,0
30000,9287,1
30000,13423,1
30000,4008,0
30000,7493,0
30000,5901,0
30000,8423,1
30000,10415,1
30000,10750,1
30000,10537,1
30000,4573,0
30000,4232,0
30000,5857,0
30000,10896,1
30000,5322,0
30000,4285,0
30000,7139,0
30000,5099,0
30000,13973,1
30000,9733,1
30000,5270,0
30000,8034,0
30000,3040,0
30000,7832,0
30000,4021,0
30000,5486,0
30000,6877,0
30000,6472,0
30000,12272,1
30000,11586,1
30000,10028,1
30000,6499,0
30000,4139,0
30000,5510,0
30000,6039,0
30000,9158,1
30000,7228,0
30000,11831,1
30000,11678,1
30000,13700,1
30000,3015,0
30000,8848,1
30000,8224,0
30000,5138,0
30000,12545,1
30000,4425,0
30000,12477,1
30000,4786,0
30000,3310,0
30000,6632,0
30000,6818,0
30000,3248,0
30000,8912,1
30000,12751,1
30000,5157,0
30000,5841,0
30000,12655,1
30000,9206,1
30000,10604,1
30000,7246,0
30000,4084,0
30000,12486,1
30000,8160,0
30000,12708,1
30000,4117,0
30000,4695,0
30000,8605,1
30000,4734,0
30000,10994,1
30000,9916,1
30000,5539,0
30000,10501,1
30000,13267,1
30000,8661,1
30000,7001,0
30000,4590,0
30000,12684,1
30000,12752,1
30000,3264,0
30000,13901,1
30000,6516,0
30000,12042,1
30000,13864,1
30000,3948,0
30000,10363,1
30000,12729,1
30000,9057,1
30000,3140,0
30000,9603,1
30000,5218,0
30000,13534,1
30000,9934,1
30000,6648,0
30000,6963,0
30000,12612,1
30000,5999,0
30000,7114,0
30000,9507,1
30000,4197,0
30000,6491,0
30000,9342,1
30000,10600,1
30000,6689,0
30000,3819,0
30000,4992,0
30000,9620,1
30000,11261,1
30000,8660,1
30000,12166,1
30000,11883,1
30000,6535,0
30000,10119,1
30000,7289,0
30000,7359,0
30000,6512,0
30000,11506,1
30000,11369,1
30000,4258,0
30000,6562,0
30000,4221,0
30000,13504,1
30000,6792,0
30000,3637,0
30000,3647,0
30000,12378,1
30000,11216,1
30000,4024,0
30000,3771,0
30000,9438,1
30000,9584,1
30000,13432,1
30000,13964,1
30000,10487,1
30000,11165,1
30000,3885,0
30000,13628,1
30000,10237,1
30000,7565,0
30000,6404,0
30000,13985,1
30000,11112,1
30000,4769,0
30000,7729,0
30000,5409,0
30000,4071,0
30000,7877,0
30000,13882,1
30000,13765,1
30000,10674,1
30000,3907,0
30000,12853,1
30000,12123,1
30000,5780,0
30000,4729,0
30000,3259,0
30000,6106,0
30000,12655,1
30000,4329,0
30000,10813,1
30000,8093,0
30000,13988,1
30000,6281,0
30000,5216,0
30000,13263,1
30000,11284,1
30000,8638,1
30000,8106,0
30000,3281,0
30000,13269,1
30000,10096,1
30000,11803,1
30000,11230,1
30000,10526,1
30000,8400,1
30000,7309,0
30000,4432,0
30000,6321,0
30000,3908,0
30000,10124,1
30000,9701,1
30000,5045,0
30000,3166,0
30000,4292,0
30000,3957,0
30000,3303,0
30000,7948,0
30000,12713,1
30000,8532,1
30000,11828,1
30000,3759,0
30000,8388,1
30000,4589,0
30000,3596,0
30000,8013,0
30000,11033,1
30000,13166,1
30000,9393,1
30000,13463,1
30000,4658,0
30000,7806,0
30000,6224,0
30000,4843,0
30000,5323,0
30000,10820,1
30000,4749,0
30000,6494,0
30000,12471,1
30000,6668,0
30000,7282,0
30000,11457,1
30000,12491,1
30000,13881,1
30000,6157,0
30000,9363,1
30000,5240,0
30000,9749,1
30000,3745,0
30000,9724,1
30000,6538,0
30000,6164,0
30000,11631,1
30000,8143,0
30000,11273,1
30000,5748,0
30000,6129,0
30000,6710,0
30000,3076,0
30000,3047,0
30000,3998,0
30000,6031,0
30000,6221,0
30000,13190,1
30000,9701,1
30000,11594,1
30000,5940,0
30000,9826,1
30000,6765,0
30000,7656,0
30000,3356,0
30000,8447,1
30000,3286,0
30000,5406,0
30000,7357,0
30000,10460,1
30000,5729,0
30000,3504,0
30000,11284,1
30000,11880,1
30000,6284,0
30000,7070,0
30000,6816,0
30000,4830,0
30000,4690,0
30000,10495,1
30000,4603,0
30000,13005,1
30000,9381,1
30000,13810,1
30000,7501,0
30000,4434,0
30000,6955,0
30000,9363,1
30000,6924,0
30000,5143,0
30000,12641,1
30000,9846,1
30000,8399,1
30000,8322,0
30000,8868,1
30000,4302,0
30000,13531,1
30000,8732,1
30000,3172,0
30000,4363,0
30000,9823,1
30000,5027,0
30000,13663,1
30000,6826,0
30000,6688,0
30000,8756,1
30000,8220,0
30000,4001,0
30000,8405,1
30000,4051,0
30000,3274,0
30000,12467,1
30000,9637,1
30000,3019,0
30000,7048,0
30000,10712,1
30000,9045,1
30000,8336,1
30000,9961,1
30000,8732,1
30000,7861,0
30000,13506,1
30000,12885,1
30000,13861,1
30000,6170,0
30000,13681,1
30000,7032,0
30000,9820,1
30000,10254,1
30000,13160,1
30000,13420,1
30000,12030,1
30000,4340,0
30000,13591,1
30000,3615,0
30000,13803,1
30000,11542,1
30000,12359,1
30000,8691,1
30000,6953,0
30000,13997,1
30000,8259,0
30000,3119,0
30000,6612,0
30000,3003,0
30000,11816,1
30000,12410,1
30000,12540,1
30000,3821,0
30000,8575,1
30000,13316,1
30000,10969,1
30000,7070,0
30000,7534,0
30000,4388,0
30000,7885,0
30000,8991,1
30000,7138,0
30000,10629,1
30000,6125,0
30000,6328,0
30000,9197,1
30000,3878,0
30000,11882,1
30000,6851,0
30000,12996,1
30000,11400,1
30000,4848,0
30000,3940,0
30000,3828,0
30000,11888,1
30000,4186,0
30000,8612,1
30000,9738,1
30000,13967,1
30000,13093,1
30000,3876,0
30000,9793,1
30000,13827,1
30000,11713,1
30000,9479,1
30000,3211,0
30000,4057,0
30000,7274,0
30000,13767,1
30000,12306,1
30000,13412,1
30000,7594,0
30000,13260,1
30000,12938,1
30000,5838,0
30000,5377,0
