Gender,Age,VillePays,Filliere,Mention,Bourse,ObtentionBac,Inscription,Niveau,Etat
1,17,3,3,4,1,2021,2021,0,0
2,19,3,1,4,1,2021,2021,0,0
1,18,3,1,4,1,2021,2021,0,0
2,18,3,3,4,1,2021,2021,0,0
2,17,3,3,4,1,2021,2021,0,0
1,18,3,1,4,1,2021,2021,0,0
1,18,3,1,4,1,2021,2021,0,0
1,17,3,1,4,1,2021,2021,0,0
1,18,3,1,3,1,2021,2021,0,0
2,17,3,1,4,1,2021,2021,0,0
1,18,3,1,3,1,2021,2021,0,0
2,17,3,1,3,1,2021,2021,0,0
1,19,3,1,3,1,2021,2021,0,0
2,18,3,3,3,1,2021,2021,0,0
1,20,3,1,4,1,2021,2021,0,0
2,18,3,1,4,1,2021,2021,0,0
1,18,3,1,4,1,2021,2021,0,0
1,18,3,3,3,1,2021,2021,0,0
1,20,3,1,4,1,2021,2021,0,0
1,19,3,1,4,1,2021,2021,0,0
1,18,3,1,3,1,2021,2021,0,0
1,19,3,1,4,1,2021,2021,0,0
1,19,3,3,4,1,2021,2021,0,0
2,17,3,1,4,1,2021,2021,0,0
1,18,3,1,3,1,2021,2021,0,0
1,18,4,3,4,1,2021,2021,0,0
1,19,4,3,4,1,2021,2021,0,0
1,18,4,3,4,1,2021,2021,0,0
1,17,4,1,3,1,2021,2021,0,0
2,19,4,3,4,1,2021,2021,0,0
2,20,4,2,2,0,2021,2021,0,0
1,18,5,5,3,1,2021,2021,0,0
1,18,5,3,4,1,2021,2021,0,0
2,18,5,3,3,1,2021,2021,0,0
1,18,5,1,4,1,2021,2021,0,0
2,19,5,3,4,1,2021,2021,0,0
1,19,5,1,1,0,2021,2021,0,0
2,17,5,3,4,1,2021,2021,0,0
1,19,5,1,4,1,2021,2021,0,0
1,18,5,1,4,1,2021,2021,0,0
1,19,5,1,3,1,2021,2021,0,0
1,19,5,1,3,1,2021,2021,0,0
1,18,5,1,4,1,2021,2021,0,0
1,19,5,1,4,1,2021,2021,0,0
1,18,5,1,4,1,2021,2021,0,0
1,19,5,1,4,1,2021,2021,0,0
1,17,5,1,4,1,2021,2021,0,0
1,18,5,1,4,1,2021,2021,0,0
2,18,5,1,4,1,2021,2021,0,0
2,19,5,1,1,0,2021,2021,0,0
1,18,5,5,3,1,2021,2021,0,0
1,20,5,5,1,0,2021,2021,0,0
2,19,6,3,4,1,2021,2021,0,0
1,20,6,3,4,1,2021,2021,0,0
2,18,6,3,4,1,2021,2021,0,0
1,19,7,1,4,1,2021,2021,0,0
2,20,7,1,4,1,2021,2021,0,0
2,19,7,1,3,1,2021,2021,0,0
1,20,8,1,4,1,2021,2021,0,0
1,19,8,3,4,1,2021,2021,0,0
1,18,8,1,4,1,2021,2021,0,0
1,18,9,1,4,1,2021,2021,0,0
2,19,10,1,4,1,2021,2021,0,0
1,19,11,1,4,1,2021,2021,0,0
1,19,11,3,3,1,2021,2021,0,0
1,19,12,1,2,0,2021,2021,0,0
2,21,12,5,1,1,2021,2021,0,1
2,24,18,6,1,1,2019,2021,0,1
1,22,19,6,1,1,2020,2021,0,1
2,19,18,6,1,1,2020,2021,0,1
1,20,20,6,1,1,2020,2021,0,1
2,19,20,7,1,1,2021,2021,0,1
1,23,18,2,1,1,2019,2021,0,1
1,19,19,7,1,1,2021,2021,0,1
2,20,18,6,1,1,2021,2021,0,1
1,20,19,2,1,1,2020,2021,0,1
1,22,21,7,1,1,2020,2021,0,1
1,22,18,2,1,1,2016,2021,0,1
2,22,21,7,1,1,2020,2021,0,1
2,21,18,6,1,1,2020,2021,0,1
1,17,22,6,2,1,2021,2021,0,1
2,23,19,7,1,1,2021,2021,0,1
2,24,18,6,1,1,2021,2021,0,1
2,25,23,5,2,1,2018,2021,0,1
2,21,24,6,1,1,2018,2021,0,1
1,22,21,6,1,1,2019,2021,0,1
1,19,21,2,2,1,2020,2021,0,1
2,22,1,2,1,1,2018,2021,0,1
2,23,18,1,1,1,2020,2021,0,1
2,21,18,2,1,1,2020,2021,0,1
2,24,24,2,1,1,2020,2021,0,1
2,22,18,2,1,1,2020,2021,0,1
1,19,20,2,1,1,2021,2021,0,1
1,19,19,2,1,1,2021,2021,0,1
1,17,24,1,2,1,2021,2021,0,1
2,17,25,1,1,1,2021,2021,0,1
2,17,25,2,1,1,2021,2021,0,1
2,18,19,1,1,1,2021,2021,0,1
2,19,24,1,2,1,2020,2021,0,1
2,18,1,1,1,1,2021,2021,0,1
1,18,1,3,1,1,2021,2021,0,1
1,18,1,1,1,1,2021,2021,0,1
2,20,1,1,3,1,2020,2021,0,1
1,20,3,1,3,1,2020,2021,0,1
1,18,3,1,4,1,2021,2021,0,1
1,17,2,2,1,1,2021,2021,0,1
1,18,3,1,3,1,2021,2021,0,1
2,23,1,3,1,1,2020,2021,0,1
1,21,26,1,3,1,2019,2021,0,1
2,28,1,3,4,1,2012,2021,0,1
2,20,27,4,1,1,2019,2021,0,1
2,25,21,2,1,1,2014,2021,0,1
2,21,28,2,1,1,2020,2021,0,1
2,17,20,2,1,1,2021,2021,0,1
2,21,18,1,2,1,2021,2021,0,1
2,21,14,2,4,1,2019,2021,1,1
1,20,15,6,1,1,2019,2021,2,1
2,22,19,2,3,1,2017,2021,2,1
2,21,1,1,1,1,2019,2021,2,1
2,25,1,1,1,1,2019,2021,2,1
2,23,17,4,3,1,2019,2021,2,1
2,20,24,2,3,1,2018,2021,2,1
2,25,25,1,3,1,2014,2021,2,1
2,21,16,1,3,1,2018,2021,2,1
1,22,1,2,1,1,2017,2021,2,1
2,22,1,1,1,1,2017,2021,3,1
1,28,1,7,2,1,2019,2021,3,1
2,26,26,3,1,1,2013,2021,3,1
2,30,27,1,1,1,2011,2021,3,1
1,33,25,7,1,1,2009,2021,3,1
2,27,26,3,2,1,2014,2021,3,1
1,38,29,6,1,1,2012,2021,0,0
2,24,26,6,1,1,2019,2021,0,0
2,17,22,2,1,1,2021,2021,0,0
2,23,21,2,1,0,2020,2021,0,0
2,24,21,4,1,1,2019,2021,0,0
1,26,28,5,1,1,2019,2021,0,0
2,20,22,5,1,1,2021,2021,2,0
2,21,21,2,2,1,2020,2021,2,0
2,22,25,2,1,0,2020,2021,0,0
2,25,25,2,1,0,2019,2021,0,0
2,21,25,2,1,1,2020,2021,0,0
1,22,25,5,1,1,2019,2021,0,0
2,20,25,6,1,0,2021,2021,0,0
2,24,25,5,1,1,2019,2021,0,0
1,18,22,5,2,1,2021,2021,0,0
2,26,25,7,1,0,2015,2021,2,0
2,28,3,7,1,0,2015,2021,2,0
2,28,13,2,1,0,2013,2021,2,0
2,27,1,7,1,0,2014,2021,2,0
2,26,1,1,1,0,2019,2021,2,0
2,26,1,1,1,0,2017,2021,2,0
1,31,1,1,2,0,2015,2021,2,0
1,32,1,1,3,1,2009,2021,2,0
1,40,4,1,3,1,2003,2021,2,0
1,24,1,1,1,0,2016,2021,3,0
1,24,1,2,1,0,2015,2021,3,0
2,27,1,1,1,0,2013,2021,3,0
1,28,1,5,1,0,2012,2021,3,0
1,29,1,5,2,0,2013,2021,3,0
1,25,1,5,1,0,2015,2021,3,0
2,24,1,5,1,0,2016,2021,3,0
1,29,1,2,1,0,2012,2021,3,0
1,26,3,1,1,0,2013,2021,3,0
2,26,4,7,2,0,2014,2021,3,0
1,28,3,5,1,0,2014,2021,3,0
1,29,1,2,1,0,2013,2021,3,0
1,28,1,7,1,0,2012,2021,3,0
1,30,2,2,1,0,2017,2021,3,0
1,25,1,5,1,0,2017,2021,3,0
1,26,2,5,2,0,2016,2021,3,0
1,26,1,1,1,0,2017,2021,3,0
1,26,1,1,2,0,2017,2021,3,0
2,33,1,5,3,0,2007,2021,3,0
2,31,13,1,1,0,2013,2021,3,0
2,26,1,1,2,0,2014,2021,3,0
2,25,1,1,3,1,2015,2021,3,0
1,30,1,2,1,0,2011,2021,3,0
1,25,1,2,1,0,2015,2021,3,0
2,26,3,1,1,0,2015,2021,3,0
1,28,1,2,1,0,2016,2021,3,0
1,38,1,2,2,0,2017,2021,3,0
2,26,1,2,1,0,2017,2021,3,0
,,5,,,,,,,
