Gender,Age,City,Tuition,Signup,Grades,ParentWage,CanAfford
1,19,5,30000,3000,3,12120,1
2,21,7,30000,3000,1,6742,0
2,22,8,30000,3000,3,12269,1
1,22,1,30000,3000,2,10334,1
1,20,7,30000,3000,4,9928,1
2,25,4,30000,3000,2,6277,0
2,20,7,30000,3000,4,4439,0
1,23,4,30000,3000,1,8341,1
2,22,6,30000,3000,3,7335,0
1,21,6,30000,3000,1,4284,0
2,25,3,30000,3000,4,3227,0
2,18,5,30000,3000,2,13680,1
1,21,1,30000,3000,2,5258,0
1,25,5,30000,3000,1,11307,1
2,25,3,30000,3000,4,6672,0
2,18,5,30000,3000,4,12307,1
2,19,8,30000,3000,2,8128,0
2,23,5,30000,3000,4,5243,0
1,23,5,30000,3000,1,13654,1
2,23,6,30000,3000,4,9075,1
1,20,6,30000,3000,1,9431,1
2,22,5,30000,3000,2,10817,1
1,21,8,30000,3000,1,12425,1
1,21,2,30000,3000,4,6429,0
2,25,2,30000,3000,1,4886,0
2,24,1,30000,3000,2,13427,1
2,23,4,30000,3000,2,6078,0
1,25,8,30000,3000,3,4344,0
1,20,5,30000,3000,4,3778,0
1,21,6,30000,3000,1,4375,0
1,18,1,30000,3000,2,11092,1
2,18,3,30000,3000,4,4234,0
2,19,7,30000,3000,1,4448,0
2,22,2,30000,3000,1,8499,1
1,19,6,30000,3000,1,8705,1
2,20,2,30000,3000,1,8200,0
1,22,1,30000,3000,3,13257,1
2,20,6,30000,3000,3,11729,1
1,21,4,30000,3000,4,12412,1
2,19,7,30000,3000,3,6244,0
1,18,1,30000,3000,3,13596,1
2,22,4,30000,3000,3,11715,1
2,22,1,30000,3000,2,3882,0
2,20,2,30000,3000,4,3044,0
1,23,1,30000,3000,1,13508,1
2,19,1,30000,3000,1,13644,1
2,19,8,30000,3000,4,4466,0
1,22,6,30000,3000,2,13263,1
1,22,1,30000,3000,3,9945,1
2,21,8,30000,3000,4,3409,0
1,24,2,30000,3000,2,6771,0
1,22,4,30000,3000,3,4852,0
2,21,7,30000,3000,3,12654,1
2,19,4,30000,3000,1,6330,0
2,25,2,30000,3000,3,3571,0
1,18,8,30000,3000,4,11665,1
1,19,7,30000,3000,4,6548,0
2,18,8,30000,3000,4,11349,1
2,18,2,30000,3000,3,10281,1
2,23,4,30000,3000,1,7669,0
1,23,2,30000,3000,3,11698,1
1,25,8,30000,3000,3,7155,0
2,21,1,30000,3000,3,10287,1
1,25,8,30000,3000,1,8647,1
1,19,6,30000,3000,4,4087,0
1,22,3,30000,3000,4,3333,0
1,19,3,30000,3000,3,10662,1
2,25,2,30000,3000,4,3510,0
2,18,5,30000,3000,1,10744,1
2,19,8,30000,3000,1,13667,1
2,19,6,30000,3000,3,4458,0
1,24,3,30000,3000,4,6144,0
2,23,3,30000,3000,1,10568,1
2,18,3,30000,3000,3,12329,1
1,19,5,30000,3000,2,8433,1
2,21,3,30000,3000,4,4400,0
1,24,3,30000,3000,2,5570,0
1,25,2,30000,3000,1,5030,0
2,20,1,30000,3000,4,11531,1
1,19,4,30000,3000,1,10067,1
2,18,4,30000,3000,2,10617,1
2,18,6,30000,3000,1,10974,1
2,25,6,30000,3000,3,10665,1
1,19,8,30000,3000,2,9881,1
1,24,3,30000,3000,3,4681,0
1,21,5,30000,3000,1,12772,1
1,18,5,30000,3000,4,4884,0
2,24,6,30000,3000,4,11625,1
2,24,3,30000,3000,1,7494,0
2,21,7,30000,3000,1,8469,1
1,20,3,30000,3000,3,9522,1
1,19,7,30000,3000,2,13283,1
2,20,7,30000,3000,4,12339,1
1,23,4,30000,3000,2,13946,1
1,19,2,30000,3000,4,12968,1
2,20,6,30000,3000,4,11821,1
2,20,7,30000,3000,4,8752,1
2,21,1,30000,3000,2,7900,0
1,20,6,30000,3000,2,3859,0
2,21,3,30000,3000,3,3951,0
2,24,5,30000,3000,1,9736,1
1,21,1,30000,3000,1,7454,0
1,25,5,30000,3000,2,6182,0
1,24,6,30000,3000,4,6135,0
2,21,1,30000,3000,2,6758,0
1,23,1,30000,3000,3,12685,1
1,23,7,30000,3000,2,4647,0
1,22,5,30000,3000,4,9445,1
1,23,3,30000,3000,4,12623,1
1,20,8,30000,3000,3,9568,1
1,19,1,30000,3000,3,9537,1
1,23,6,30000,3000,2,5614,0
2,18,8,30000,3000,1,7489,0
1,24,8,30000,3000,3,4701,0
1,23,7,30000,3000,3,11465,1
2,20,1,30000,3000,2,7573,0
1,18,7,30000,3000,1,11390,1
1,24,4,30000,3000,3,6738,0
2,21,8,30000,3000,4,11156,1
2,19,6,30000,3000,1,13368,1
2,25,8,30000,3000,3,3550,0
1,24,1,30000,3000,4,3308,0
1,22,8,30000,3000,3,8581,1
1,20,2,30000,3000,3,8100,0
2,23,7,30000,3000,2,5125,0
1,25,2,30000,3000,4,10357,1
1,19,8,30000,3000,1,8001,0
2,20,2,30000,3000,2,12608,1
1,25,8,30000,3000,4,9127,1
1,24,2,30000,3000,2,9257,1
1,18,3,30000,3000,4,4695,0
1,21,1,30000,3000,1,11195,1
1,23,2,30000,3000,3,8223,0
2,21,7,30000,3000,4,11595,1
1,20,8,30000,3000,2,11254,1
1,19,1,30000,3000,1,5406,0
1,20,3,30000,3000,2,12813,1
1,24,3,30000,3000,1,12724,1
2,18,1,30000,3000,2,11223,1
1,22,8,30000,3000,3,12566,1
2,25,1,30000,3000,3,8863,1
2,22,5,30000,3000,3,12057,1
2,25,8,30000,3000,2,12258,1
2,24,6,30000,3000,3,13737,1
2,18,1,30000,3000,4,8993,1
2,24,7,30000,3000,1,7386,0
1,20,1,30000,3000,3,3373,0
1,20,3,30000,3000,2,13192,1
2,23,8,30000,3000,1,13112,1
2,18,2,30000,3000,3,13655,1
2,21,5,30000,3000,4,6677,0
2,23,1,30000,3000,4,11726,1
2,23,3,30000,3000,3,5636,0
2,19,2,30000,3000,1,10223,1
1,24,1,30000,3000,4,3331,0
1,25,2,30000,3000,2,5227,0
1,22,1,30000,3000,4,10887,1
1,19,2,30000,3000,3,13255,1
1,23,4,30000,3000,1,4184,0
1,22,6,30000,3000,4,9798,1
2,19,5,30000,3000,1,10619,1
1,25,3,30000,3000,3,9401,1
1,20,2,30000,3000,2,12472,1
2,18,2,30000,3000,4,9475,1
2,21,7,30000,3000,1,10756,1
1,20,5,30000,3000,4,8372,1
2,25,7,30000,3000,3,12752,1
1,19,8,30000,3000,2,4566,0
1,23,2,30000,3000,3,5428,0
1,19,4,30000,3000,1,12960,1
2,23,2,30000,3000,4,9068,1
1,22,4,30000,3000,1,12851,1
1,23,1,30000,3000,4,3389,0
1,20,7,30000,3000,1,10378,1
2,24,3,30000,3000,2,13910,1
2,18,7,30000,3000,2,11479,1
1,25,4,30000,3000,3,13308,1
1,25,1,30000,3000,2,12049,1
1,24,4,30000,3000,4,9475,1
1,22,7,30000,3000,2,13045,1
2,21,8,30000,3000,1,5903,0
2,20,1,30000,3000,2,9647,1
2,25,1,30000,3000,3,13003,1
2,23,4,30000,3000,1,11396,1
2,22,1,30000,3000,3,8333,0
1,21,7,30000,3000,3,9319,1
2,23,7,30000,3000,4,13520,1
2,25,2,30000,3000,4,7922,0
1,22,2,30000,3000,3,7109,0
2,24,8,30000,3000,3,6482,0
1,23,2,30000,3000,1,11650,1
2,23,2,30000,3000,3,3836,0
1,22,4,30000,3000,3,10568,1
2,18,4,30000,3000,3,5399,0
2,24,2,30000,3000,1,3395,0
2,23,8,30000,3000,3,3807,0
1,18,3,30000,3000,1,5504,0
2,24,2,30000,3000,3,4813,0
2,24,4,30000,3000,1,6391,0
2,19,4,30000,3000,2,12687,1
1,19,7,30000,3000,3,9019,1
2,21,1,30000,3000,3,11566,1
1,19,5,30000,3000,3,8781,1
1,20,1,30000,3000,2,7271,0
1,23,4,30000,3000,3,8919,1
2,19,5,30000,3000,2,13025,1
1,20,5,30000,3000,4,13935,1
2,18,4,30000,3000,1,13574,1
2,25,1,30000,3000,4,5940,0
1,25,8,30000,3000,2,3638,0
1,21,2,30000,3000,1,6880,0
1,20,1,30000,3000,3,6109,0
2,24,4,30000,3000,4,10871,1
1,19,7,30000,3000,3,3398,0
2,18,3,30000,3000,2,5194,0
1,23,2,30000,3000,4,12775,1
2,21,2,30000,3000,3,7734,0
1,24,2,30000,3000,2,12894,1
2,21,8,30000,3000,4,11438,1
1,22,6,30000,3000,4,8009,0
1,22,4,30000,3000,3,6928,0
2,23,5,30000,3000,2,10029,1
1,24,5,30000,3000,1,3633,0
2,24,8,30000,3000,3,3472,0
1,20,6,30000,3000,1,11574,1
2,20,8,30000,3000,1,7592,0
2,18,3,30000,3000,2,7139,0
2,18,6,30000,3000,3,6278,0
1,23,7,30000,3000,3,8074,0
2,20,2,30000,3000,2,7057,0
1,22,2,30000,3000,3,8491,1
1,19,6,30000,3000,1,4920,0
1,22,7,30000,3000,2,13018,1
2,22,3,30000,3000,4,4427,0
2,22,8,30000,3000,4,7995,0
1,20,7,30000,3000,1,5195,0
2,18,2,30000,3000,1,4485,0
1,18,5,30000,3000,4,12768,1
1,19,1,30000,3000,4,4980,0
1,22,7,30000,3000,2,4697,0
1,18,5,30000,3000,1,4843,0
2,19,7,30000,3000,4,13449,1
2,23,3,30000,3000,2,7821,0
2,18,4,30000,3000,1,11679,1
1,23,4,30000,3000,4,13911,1
1,22,1,30000,3000,2,5891,0
2,21,1,30000,3000,1,4704,0
1,21,6,30000,3000,2,7404,0
1,21,2,30000,3000,3,11250,1
1,20,5,30000,3000,4,6782,0
2,20,6,30000,3000,3,6564,0
1,23,3,30000,3000,4,12817,1
1,20,5,30000,3000,2,10174,1
2,20,3,30000,3000,1,10638,1
2,24,5,30000,3000,3,6884,0
1,23,3,30000,3000,4,4918,0
1,22,6,30000,3000,4,5953,0
1,22,1,30000,3000,2,12552,1
1,22,5,30000,3000,3,13492,1
1,25,1,30000,3000,4,6316,0
2,21,8,30000,3000,1,5328,0
2,25,8,30000,3000,1,3962,0
2,24,6,30000,3000,3,12073,1
1,23,6,30000,3000,4,6667,0
2,24,3,30000,3000,4,5446,0
2,19,8,30000,3000,4,12516,1
1,18,8,30000,3000,4,6134,0
2,23,6,30000,3000,1,5342,0
1,18,8,30000,3000,3,4650,0
2,21,5,30000,3000,2,13574,1
1,22,2,30000,3000,2,8297,0
1,20,6,30000,3000,3,12979,1
1,25,2,30000,3000,3,11389,1
1,21,7,30000,3000,1,11352,1
2,22,2,30000,3000,4,13375,1
2,22,6,30000,3000,4,3631,0
2,24,3,30000,3000,3,6207,0
1,22,5,30000,3000,2,8717,1
1,22,7,30000,3000,3,4267,0
1,25,1,30000,3000,3,13839,1
1,19,8,30000,3000,1,10281,1
1,25,5,30000,3000,3,3207,0
2,23,4,30000,3000,2,10515,1
1,23,1,30000,3000,1,11011,1
2,22,4,30000,3000,4,9475,1
2,24,1,30000,3000,2,8814,1
1,20,6,30000,3000,1,11728,1
2,20,8,30000,3000,4,10609,1
1,24,1,30000,3000,2,7476,0
1,22,8,30000,3000,4,10960,1
1,22,1,30000,3000,3,4956,0
1,22,6,30000,3000,4,11352,1
1,22,1,30000,3000,2,10451,1
2,20,2,30000,3000,2,8308,0
2,21,2,30000,3000,4,6623,0
2,20,2,30000,3000,2,9411,1
1,19,6,30000,3000,3,11867,1
2,21,8,30000,3000,4,10663,1
2,23,6,30000,3000,4,5483,0
2,19,3,30000,3000,4,13133,1
1,23,8,30000,3000,3,10434,1
1,19,1,30000,3000,2,8750,1
2,21,1,30000,3000,1,11494,1
2,24,1,30000,3000,1,6138,0
1,24,3,30000,3000,3,4380,0
1,25,5,30000,3000,1,9886,1
1,20,1,30000,3000,4,3653,0
2,24,5,30000,3000,2,9738,1
1,21,3,30000,3000,1,5277,0
1,25,3,30000,3000,4,11979,1
1,18,8,30000,3000,1,6780,0
2,18,2,30000,3000,1,4464,0
1,18,8,30000,3000,2,6735,0
2,20,2,30000,3000,3,3719,0
2,23,6,30000,3000,3,5280,0
2,24,3,30000,3000,1,10453,1
1,25,2,30000,3000,2,4658,0
2,22,7,30000,3000,4,9853,1
1,24,5,30000,3000,4,4032,0
1,25,2,30000,3000,4,3395,0
1,25,3,30000,3000,2,13116,1
2,25,5,30000,3000,1,11435,1
1,23,2,30000,3000,3,3722,0
1,23,1,30000,3000,1,9134,1
2,20,4,30000,3000,2,13573,1
1,23,7,30000,3000,2,11764,1
1,21,7,30000,3000,2,10065,1
1,22,2,30000,3000,2,4921,0
1,24,2,30000,3000,4,4087,0
2,22,1,30000,3000,1,9949,1
2,22,8,30000,3000,3,4368,0
2,18,7,30000,3000,4,11806,1
1,21,8,30000,3000,1,12885,1
2,25,6,30000,3000,4,5888,0
2,25,1,30000,3000,1,7305,0
1,21,6,30000,3000,2,4833,0
2,18,4,30000,3000,1,6945,0
1,20,4,30000,3000,2,5610,0
1,23,7,30000,3000,3,3992,0
2,18,6,30000,3000,1,3618,0
1,18,3,30000,3000,2,12426,1
2,25,4,30000,3000,2,13908,1
2,24,4,30000,3000,1,13285,1
1,20,6,30000,3000,4,5527,0
1,22,6,30000,3000,1,8733,1
1,22,6,30000,3000,2,13064,1
1,18,1,30000,3000,1,13539,1
2,23,3,30000,3000,4,4023,0
2,21,5,30000,3000,4,9263,1
1,21,8,30000,3000,2,6385,0
1,21,2,30000,3000,1,7746,0
1,24,1,30000,3000,1,4157,0
2,18,6,30000,3000,3,5012,0
1,25,1,30000,3000,4,13670,1
2,20,7,30000,3000,1,12914,1
2,22,8,30000,3000,4,10949,1
1,19,4,30000,3000,3,10993,1
2,19,8,30000,3000,4,10229,1
1,24,1,30000,3000,2,13266,1
1,22,4,30000,3000,2,6826,0
1,25,2,30000,3000,3,11229,1
1,24,3,30000,3000,4,11002,1
1,18,3,30000,3000,1,12467,1
1,24,7,30000,3000,1,9928,1
2,20,2,30000,3000,4,5740,0
1,24,1,30000,3000,1,12368,1
1,20,1,30000,3000,3,6942,0
1,22,1,30000,3000,2,3688,0
2,18,4,30000,3000,1,13881,1
2,20,3,30000,3000,1,9370,1
1,25,6,30000,3000,4,12548,1
2,21,6,30000,3000,1,10618,1
2,20,7,30000,3000,1,10392,1
2,25,7,30000,3000,4,6921,0
1,21,8,30000,3000,4,13163,1
2,20,5,30000,3000,3,10737,1
2,25,7,30000,3000,2,7050,0
2,20,8,30000,3000,2,12341,1
2,20,1,30000,3000,4,7339,0
1,18,2,30000,3000,1,3018,0
1,24,8,30000,3000,2,13527,1
2,24,4,30000,3000,2,6704,0
2,22,1,30000,3000,4,8988,1
1,19,4,30000,3000,3,10417,1
2,18,3,30000,3000,3,5609,0
2,21,4,30000,3000,3,4563,0
2,18,6,30000,3000,1,11046,1
1,22,1,30000,3000,4,5400,0
2,24,5,30000,3000,4,12589,1
2,20,6,30000,3000,3,13308,1
1,19,5,30000,3000,3,5544,0
2,24,8,30000,3000,4,9695,1
2,23,4,30000,3000,2,10085,1
1,19,5,30000,3000,4,5051,0
1,24,5,30000,3000,3,13185,1
