"* Sexe
(M, F)",,"*Nationalité
(voir la liste des pays)","* Niveau de formation
(1, 2, 3, 4, 5, 6, 7 )",Interet,* Diplôme d'accès,,"* Année d'obtention du baccalauréat
(AAAA/AAAA+1)","Spécialité du diplôme d'accès 
(Hors baccalauréat)","* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,"* Boursier
(%)",,,Serie Bac,"* Date de naissance
(JJ/MM/AAAA)",Age
M,,Gabon,1,MDA,Baccalauréat,,2019/2020,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,Humaine,1/13/2000,22
M,,Gabon,1,MDA,Baccalauréat,,2019/2020,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,Lettre,7/25/2000,21
F,,Gabon,1,MDA,Baccalauréat,,2020/2021,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,Lettre,2/11/2004,17
M,,Gabon,1,MDA,Baccalauréat,,2020/2021,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,Humaine,1/26/1998,23
M,,Gabon,1,MDA,Baccalauréat,,2020/2021,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,Lettre,4/13/1997,24
M,,Gabon,1,MDA,Baccalauréat,,2017/2018,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,Economie,9/9/1996,25
M,,Gabon,1,MDA,Baccalauréat,,2017/2018,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,Lettre,8/27/2000,21
F,,Gabon,1,MDA,Baccalauréat,,2018/2019,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,Lettre,11/13/1999,22
F,,Gabon,1,MDA,Baccalauréat,,2019/2020,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,SVT,8/16/2002,19
M,,Gabon,1,CPTI,Baccalauréat,,2017/2018,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,SVT,2/14/1999,22
M,,Gabon,1,CPTI,Baccalauréat,,2019/2020,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,PC,7/8/1998,23
M,,Gabon,1,CPTI,Baccalauréat,,2019/2020,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,SVT,1/19/2001,21
M,,Gabon,1,CPTI,Baccalauréat,,2019/2020,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,SVT,4/6/1997,24
M,,Gabon,1,CPTI,Baccalauréat,,2019/2020,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,SVT,9/27/1999,22
F,,Gabon,1,CPTI,Baccalauréat,,2020/2021,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,SVT,6/4/2002,19
F,,Gabon,1,CPTI,Baccalauréat,,2020/2021,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,SVT,5/20/2002,19
F,,Gabon,1,CPTI,Baccalauréat,,2020/2021,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,PC,4/19/2004,17
M,,Gabon,1,CPTI,Baccalauréat,,2020/2021,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,PC,9/24/2004,17
M,,Gabon,1,CPTI,Baccalauréat,,2020/2021,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,SVT,7/16/2004,17
M,,Gabon,1,CPTI,Baccalauréat,,2020/2021,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,PC,9/5/2003,18
M,,Gabon,1,CPTI,Baccalauréat,,2019/2020,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,PC,5/10/2002,19
M,,Gabon,1,CPTI,Baccalauréat,,2020/2021,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,PC,3/15/2003,18
F,,Gabon,1,CPTI,Baccalauréat,,2020/2021,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,Math,5/4/2003,18
F,,Gabon,1,CPTI,Baccalauréat,,2020/2021,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,PC,4/29/2003,18
M,,Gabon,1,CPTI,Baccalauréat,,2019/2020,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,PC,8/9/2001,20
F,,Gabon,1,CPTI,Baccalauréat,,2019/2020,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,PC,7/15/2001,20
F,,Gabon,1,CPTI,Baccalauréat,,2020/2021,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,PC,7/11/2003,18
F,,Gabon,1,CPTI,Baccalauréat,,2020/2021,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,SVT,3/5/2004,17
F,,Gabon,1,CPTI,Baccalauréat,,2020/2021,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,PC,1/29/2003,18
M,,Gabon,1,CPTI,Baccalauréat,,2019/2020,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,Math,9/7/1998,23
F,,Gabon,1,CPTI,Baccalauréat,,2018/2019,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,PC,11/11/2000,21
M,,Gabon,1,CPTI,Baccalauréat,,2011/2012,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,Math,3/18/1993,28
M,,Gabon,1,CPTI,Baccalauréat,,2018/2019,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,Technique,9/2/2001,20
M,,Gabon,1,CPTI,Baccalauréat,,2013/2014,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,SVT,5/30/1996,25
M,,Gabon,1,CPTI,Baccalauréat,,2019/2020,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,SVT,1/3/2001,21
M,,Gabon,1,CPTI,Baccalauréat,,2020/2021,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,SVT,10/29/2004,17
M,,Gabon,1,CPTI,Baccalauréat,,2020/2021,Néant,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,PC,7/15/2000,21
M,,Gabon,2,ISI,Baccalauréat,,2018/2019,Ingénierie des Systèmes Informatiques,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,SVT,11/28/2000,21
F,,Gabon,3,ME,Brevet de Technicien Supérieur,,2018/2019,BTS GEC,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,Lettre,11/22/2001,20
M,,Gabon,3,ME,Diplôme de technicien spécialisé,,2016/2017,TS en Gestion des Entreprises ,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,SVT,11/1/1999,22
M,,Gabon,3,ISI,Diplôme de technicien spécialisé,,2018/2019,TS en Développement Informatique,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,PC,10/1/2000,21
M,,Gabon,3,ISI,Diplôme des études universitaires professionnelles,,2018/2019,"Sciences & technologies- 
Spécialité Mathématiques et Physique","* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,PC,6/10/1996,25
M,,Gabon,3,ISI,Diplôme de technicien spécialisé,,2018/2019,Technicien Spécialisé en Techniques des Réseaux Informatiques,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,Technique,8/22/1998,23
M,,Gabon,3,ISI,Licence des études fondamentales,,2017/2018,Informatique de Gestion,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,SVT,2/22/2001,20
M,,Gabon,3,ISI,Diplôme de technicien spécialisé,,2013/2014,Technicien Spécialisé en Techniques des Réseaux Informatiques,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,PC,9/26/1996,25
M,,Gabon,3,ISI,Diplôme de technicien spécialisé,,2017/2018,TS en Développement Informatique,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,PC,5/6/2000,21
F,,Gabon,3,ISI,Diplôme de technicien spécialisé,,2016/2017,TS en Développement Informatique,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,SVT,5/5/1999,22
M,,Gabon,1,MSTIC,Licence des études fondamentales,,2016/2017,Licence d'Etudes Fondamentales en Sciences Economiques et de Gestion - Parcours Gestion,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,PC,12/24/1999,22
F,,Gabon,1,MSTIC,Licence professionnelle,,2018/2019,"Licence Professionnelle en
 Banque et Assurance ","* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,Humaine,9/22/1993,28
M,,Gabon,1,MSTIC,Licence professionnelle,,2012/2013,"Licence Professionnelle en 
Administration Réseaux ","* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,Math,6/7/1995,26
M,,Gabon,1,MSTIC,Licence professionnelle,,2010/2011,"Licence Professionnelle en 
Sciences Economiques et de Gestion ","* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,PC,6/4/1991,30
F,,Gabon,1,MSTIC,Licence professionnelle,,2008/2009,"licence en Administration Economique 
et Sociale ","* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,Humaine,10/10/1988,33
M,,Gabon,1,MSTIC,Bac + 5 ans,,2013/2014,BAC+5 en Sciences et Technologies de l'Information et de la Communication,"* Mention du Diplôme d'accès
(p: Passable, ab :assez bien, b: bien, tb : très bien, e : excellent, ns : non spécifié)",,,O,,,Math,1/7/1995,27
,,,,,,,,,,,,,,,,,122
