Gender,Age,City,Tuition,Signup,Grades,ParentWage,CanAfford,ScholarshipGrades,SchGrAfford,Competence,SchGrComAfford,Rural,SchGrRuAfford,SchGrRuComAfford
Female,19,BeniMellal,30000,3000,Moyenne,19394,,,,,,,,
Female,20,Tadla,30000,3000,Passable,7049,,,,,,,,
Male,25,Rural,30000,3000,TresBien,10544,,,,,,,,
Male,24,Tadla,30000,3000,,15909,,,,,,,,
Male,18,Ouedzem,30000,3000,Moyenne,14630,,,,,,,,
Female,22,Khenifra,30000,3000,,16993,,,,,,,,
Female,25,Ouedzem,30000,3000,Bien,10207,,,,,,,,
Male,19,FqihBenSalah,30000,3000,TresBien,10902,,,,,,,,
Male,25,FqihBenSalah,30000,3000,TresBien,6421,,,,,,,,
Female,19,FqihBenSalah,30000,3000,,4500,,,,,,,,
Female,22,Tadla,30000,3000,Bien,4509,,,,,,,,
Male,18,BeniMellal,30000,3000,,11048,,,,,,,,
Female,20,Khouribga,30000,3000,Bien,18267,,,,,,,,
Female,24,FqihBenSalah,30000,3000,TresBien,10360,,,,,,,,
Male,19,BeniMellal,30000,3000,Passable,9468,,,,,,,,
Female,25,FqihBenSalah,30000,3000,Bien,11619,,,,,,,,
Male,22,Rural,30000,3000,,14780,,,,,,,,
Female,20,Azilal,30000,3000,Bien,5288,,,,,,,,
Male,24,BeniMellal,30000,3000,,9691,,,,,,,,
Male,21,Khouribga,30000,3000,Bien,17718,,,,,,,,
Female,22,FqihBenSalah,30000,3000,Passable,14120,,,,,,,,
Male,23,Rural,30000,3000,,15350,,,,,,,,
Female,21,Rural,30000,3000,Bien,17888,,,,,,,,
Female,24,Azilal,30000,3000,Passable,8733,,,,,,,,
Female,19,Azilal,30000,3000,Passable,18661,,,,,,,,
Male,21,Tadla,30000,3000,Passable,8712,,,,,,,,
Female,20,Ouedzem,30000,3000,Bien,16979,,,,,,,,
Male,18,Khenifra,30000,3000,Moyenne,15143,,,,,,,,
Male,23,Azilal,30000,3000,TresBien,8541,,,,,,,,
Female,21,BeniMellal,30000,3000,Bien,17991,,,,,,,,
Male,25,Ouedzem,30000,3000,Bien,16857,,,,,,,,
Male,24,FqihBenSalah,30000,3000,Bien,8858,,,,,,,,
Female,25,Tadla,30000,3000,,7090,,,,,,,,
Female,25,Azilal,30000,3000,Passable,7945,,,,,,,,
Male,25,Khenifra,30000,3000,Bien,15028,,,,,,,,
Male,21,FqihBenSalah,30000,3000,Passable,13727,,,,,,,,
Male,25,Khouribga,30000,3000,Moyenne,10603,,,,,,,,
Female,21,FqihBenSalah,30000,3000,Passable,7064,,,,,,,,
Male,23,Azilal,30000,3000,TresBien,10969,,,,,,,,
Female,18,Khouribga,30000,3000,Passable,14871,,,,,,,,
Female,22,Rural,30000,3000,Moyenne,8639,,,,,,,,
Male,22,Tadla,30000,3000,Moyenne,9246,,,,,,,,
Male,18,Rural,30000,3000,Bien,3803,,,,,,,,
Female,23,Ouedzem,30000,3000,,12396,,,,,,,,
Male,21,Khouribga,30000,3000,Bien,19681,,,,,,,,
Female,25,Azilal,30000,3000,TresBien,6059,,,,,,,,
Female,22,BeniMellal,30000,3000,,12863,,,,,,,,
Male,22,BeniMellal,30000,3000,Passable,11365,,,,,,,,
Female,18,FqihBenSalah,30000,3000,Bien,4836,,,,,,,,
Female,24,BeniMellal,30000,3000,Moyenne,17019,,,,,,,,
Female,22,Ouedzem,30000,3000,Moyenne,19458,,,,,,,,
Female,19,FqihBenSalah,30000,3000,Moyenne,8753,,,,,,,,
Female,24,Khouribga,30000,3000,Moyenne,16150,,,,,,,,
Male,18,Khenifra,30000,3000,Moyenne,5440,,,,,,,,
Female,24,FqihBenSalah,30000,3000,TresBien,14636,,,,,,,,
Male,21,Tadla,30000,3000,Moyenne,15436,,,,,,,,
Female,20,Tadla,30000,3000,TresBien,15911,,,,,,,,
Male,18,Ouedzem,30000,3000,,13609,,,,,,,,
Female,22,Ouedzem,30000,3000,Bien,14159,,,,,,,,
Female,19,FqihBenSalah,30000,3000,Passable,6084,,,,,,,,
Female,23,Khenifra,30000,3000,Bien,12038,,,,,,,,
Female,24,Azilal,30000,3000,TresBien,13324,,,,,,,,
Female,23,Azilal,30000,3000,Moyenne,3685,,,,,,,,
Male,22,Ouedzem,30000,3000,,18559,,,,,,,,
Female,20,Ouedzem,30000,3000,,12026,,,,,,,,
Female,20,Rural,30000,3000,Moyenne,13244,,,,,,,,
Male,22,FqihBenSalah,30000,3000,Bien,7132,,,,,,,,
Male,25,FqihBenSalah,30000,3000,Bien,19792,,,,,,,,
Female,19,Khouribga,30000,3000,Bien,4055,,,,,,,,
Male,21,FqihBenSalah,30000,3000,TresBien,14153,,,,,,,,
Female,19,FqihBenSalah,30000,3000,Bien,4990,,,,,,,,
Female,24,FqihBenSalah,30000,3000,TresBien,11546,,,,,,,,
Male,22,Azilal,30000,3000,Moyenne,10889,,,,,,,,
Male,21,BeniMellal,30000,3000,Bien,14085,,,,,,,,
Female,24,Khenifra,30000,3000,TresBien,6080,,,,,,,,
Female,21,Ouedzem,30000,3000,Moyenne,19446,,,,,,,,
Female,18,Ouedzem,30000,3000,,4901,,,,,,,,
Female,20,Ouedzem,30000,3000,,14869,,,,,,,,
Male,23,Azilal,30000,3000,Passable,6377,,,,,,,,
Female,22,Rural,30000,3000,Bien,19265,,,,,,,,
Female,24,BeniMellal,30000,3000,,9190,,,,,,,,
Female,20,FqihBenSalah,30000,3000,Passable,10756,,,,,,,,
Male,18,FqihBenSalah,30000,3000,Moyenne,8708,,,,,,,,
Male,21,BeniMellal,30000,3000,Bien,7603,,,,,,,,
Female,24,Khouribga,30000,3000,,19257,,,,,,,,
Female,21,Khenifra,30000,3000,Bien,17516,,,,,,,,
Male,21,Rural,30000,3000,Passable,6063,,,,,,,,
Female,19,Azilal,30000,3000,,17673,,,,,,,,
Male,21,BeniMellal,30000,3000,Passable,10986,,,,,,,,
Female,22,FqihBenSalah,30000,3000,TresBien,12579,,,,,,,,
Male,23,Ouedzem,30000,3000,,17745,,,,,,,,
Female,25,Rural,30000,3000,Bien,11836,,,,,,,,
Male,23,Khenifra,30000,3000,Moyenne,7345,,,,,,,,
Male,24,FqihBenSalah,30000,3000,Passable,9339,,,,,,,,
Female,24,FqihBenSalah,30000,3000,,4008,,,,,,,,
Female,19,FqihBenSalah,30000,3000,TresBien,18300,,,,,,,,
Male,18,Khouribga,30000,3000,Moyenne,3869,,,,,,,,
Male,22,Rural,30000,3000,TresBien,14559,,,,,,,,
Male,18,Khenifra,30000,3000,,9586,,,,,,,,
Male,20,Azilal,30000,3000,,14671,,,,,,,,
Male,23,Khouribga,30000,3000,Moyenne,14137,,,,,,,,
Male,23,Ouedzem,30000,3000,Passable,6695,,,,,,,,
Female,21,Ouedzem,30000,3000,,14438,,,,,,,,
Female,21,Khouribga,30000,3000,Moyenne,16266,,,,,,,,
Male,22,Azilal,30000,3000,,3791,,,,,,,,
Male,25,FqihBenSalah,30000,3000,Passable,18819,,,,,,,,
Female,24,BeniMellal,30000,3000,,12736,,,,,,,,
Female,20,Rural,30000,3000,,14910,,,,,,,,
Female,18,Rural,30000,3000,TresBien,16169,,,,,,,,
Female,23,BeniMellal,30000,3000,Bien,17180,,,,,,,,
Female,22,Rural,30000,3000,Moyenne,10310,,,,,,,,
Male,25,FqihBenSalah,30000,3000,Passable,3965,,,,,,,,
Male,23,Ouedzem,30000,3000,Moyenne,11487,,,,,,,,
Male,25,BeniMellal,30000,3000,Bien,19987,,,,,,,,
Male,21,Tadla,30000,3000,,6032,,,,,,,,
Female,22,FqihBenSalah,30000,3000,,4073,,,,,,,,
Female,18,Azilal,30000,3000,Passable,12004,,,,,,,,
Female,20,FqihBenSalah,30000,3000,TresBien,7824,,,,,,,,
Female,18,Khouribga,30000,3000,TresBien,17999,,,,,,,,
Male,23,FqihBenSalah,30000,3000,,9428,,,,,,,,
Female,20,Khenifra,30000,3000,TresBien,12011,,,,,,,,
Female,22,Khouribga,30000,3000,Bien,6916,,,,,,,,
Male,21,Azilal,30000,3000,TresBien,4844,,,,,,,,
Female,18,Khouribga,30000,3000,,19899,,,,,,,,
Male,18,Ouedzem,30000,3000,Bien,7778,,,,,,,,
Male,19,Rural,30000,3000,Moyenne,15432,,,,,,,,
Female,22,Ouedzem,30000,3000,Bien,7301,,,,,,,,
Female,23,FqihBenSalah,30000,3000,Moyenne,7928,,,,,,,,
Female,24,Khenifra,30000,3000,Moyenne,19134,,,,,,,,
Male,20,Ouedzem,30000,3000,TresBien,13007,,,,,,,,
Male,20,Ouedzem,30000,3000,Passable,5691,,,,,,,,
Male,20,BeniMellal,30000,3000,Moyenne,8039,,,,,,,,
Male,18,FqihBenSalah,30000,3000,Moyenne,15237,,,,,,,,
Male,19,BeniMellal,30000,3000,Moyenne,14143,,,,,,,,
Male,22,BeniMellal,30000,3000,Bien,6833,,,,,,,,
Male,21,Khouribga,30000,3000,,8851,,,,,,,,
Male,21,Tadla,30000,3000,TresBien,15462,,,,,,,,
Female,18,Khouribga,30000,3000,Moyenne,19414,,,,,,,,
Female,20,Rural,30000,3000,,9030,,,,,,,,
Male,21,BeniMellal,30000,3000,TresBien,4487,,,,,,,,
Female,23,FqihBenSalah,30000,3000,TresBien,9214,,,,,,,,
Female,25,Khouribga,30000,3000,,6196,,,,,,,,
Male,19,Tadla,30000,3000,TresBien,17814,,,,,,,,
Male,21,Ouedzem,30000,3000,Bien,6726,,,,,,,,
Male,19,Tadla,30000,3000,Moyenne,4428,,,,,,,,
Male,19,Tadla,30000,3000,Moyenne,14562,,,,,,,,
Male,20,Tadla,30000,3000,TresBien,16616,,,,,,,,
Male,23,Tadla,30000,3000,Bien,5648,,,,,,,,
Female,24,Ouedzem,30000,3000,TresBien,12757,,,,,,,,
Male,23,Rural,30000,3000,Moyenne,19377,,,,,,,,
Female,25,Rural,30000,3000,TresBien,9300,,,,,,,,
Female,24,Khenifra,30000,3000,Bien,15953,,,,,,,,
Male,25,Ouedzem,30000,3000,TresBien,6864,,,,,,,,
Male,18,Khouribga,30000,3000,,16808,,,,,,,,
Female,21,Tadla,30000,3000,Moyenne,12324,,,,,,,,
Female,25,Khouribga,30000,3000,,4165,,,,,,,,
Male,21,Rural,30000,3000,Moyenne,19895,,,,,,,,
Female,21,BeniMellal,30000,3000,Passable,8354,,,,,,,,
Male,22,BeniMellal,30000,3000,Bien,7890,,,,,,,,
Male,18,Ouedzem,30000,3000,Bien,7379,,,,,,,,
Male,24,Khouribga,30000,3000,,11177,,,,,,,,
Female,19,Azilal,30000,3000,Passable,4101,,,,,,,,
Female,21,Khouribga,30000,3000,Passable,4934,,,,,,,,
Female,24,Tadla,30000,3000,,16770,,,,,,,,
Male,23,Rural,30000,3000,Passable,9324,,,,,,,,
Female,21,Khouribga,30000,3000,Passable,18138,,,,,,,,
Male,23,Tadla,30000,3000,Bien,10678,,,,,,,,
Female,24,FqihBenSalah,30000,3000,Moyenne,8120,,,,,,,,
Male,20,Khouribga,30000,3000,TresBien,5116,,,,,,,,
Male,21,Khenifra,30000,3000,,15982,,,,,,,,
Male,21,BeniMellal,30000,3000,,7319,,,,,,,,
Female,21,Azilal,30000,3000,TresBien,3746,,,,,,,,
Female,24,Khouribga,30000,3000,Moyenne,18752,,,,,,,,
Male,20,FqihBenSalah,30000,3000,TresBien,13268,,,,,,,,
Female,19,Rural,30000,3000,Passable,11306,,,,,,,,
Male,24,Rural,30000,3000,TresBien,13458,,,,,,,,
Female,25,Khouribga,30000,3000,Passable,17025,,,,,,,,
Male,20,Khenifra,30000,3000,TresBien,3673,,,,,,,,
Male,21,Ouedzem,30000,3000,Moyenne,12550,,,,,,,,
Male,22,Azilal,30000,3000,TresBien,12169,,,,,,,,
Male,24,BeniMellal,30000,3000,Passable,13210,,,,,,,,
Female,24,FqihBenSalah,30000,3000,Passable,18242,,,,,,,,
Male,21,Khenifra,30000,3000,Passable,6367,,,,,,,,
Female,24,Rural,30000,3000,Passable,14644,,,,,,,,
Male,24,BeniMellal,30000,3000,Bien,4048,,,,,,,,
Male,20,BeniMellal,30000,3000,Passable,11559,,,,,,,,
Female,19,Tadla,30000,3000,Moyenne,14806,,,,,,,,
Male,21,Azilal,30000,3000,Bien,5743,,,,,,,,
Male,24,Khouribga,30000,3000,Passable,7784,,,,,,,,
Female,23,Tadla,30000,3000,,16277,,,,,,,,
Female,24,FqihBenSalah,30000,3000,Bien,3902,,,,,,,,
Male,20,BeniMellal,30000,3000,Passable,6918,,,,,,,,
Female,23,FqihBenSalah,30000,3000,TresBien,15678,,,,,,,,
Male,18,Tadla,30000,3000,TresBien,10367,,,,,,,,
Male,21,Azilal,30000,3000,TresBien,12130,,,,,,,,
Male,23,Tadla,30000,3000,,15508,,,,,,,,
Female,20,BeniMellal,30000,3000,,10765,,,,,,,,
Male,24,Ouedzem,30000,3000,Bien,15187,,,,,,,,
Female,23,Rural,30000,3000,TresBien,7083,,,,,,,,
Male,24,Ouedzem,30000,3000,TresBien,17154,,,,,,,,
Male,23,Khenifra,30000,3000,,8242,,,,,,,,
Male,24,Tadla,30000,3000,Moyenne,14240,,,,,,,,
Male,19,Ouedzem,30000,3000,Moyenne,12557,,,,,,,,
Female,18,FqihBenSalah,30000,3000,TresBien,17405,,,,,,,,
Female,25,Tadla,30000,3000,Bien,7423,,,,,,,,
Female,18,Azilal,30000,3000,TresBien,7781,,,,,,,,
Male,20,FqihBenSalah,30000,3000,Moyenne,16329,,,,,,,,
Male,22,Rural,30000,3000,,11834,,,,,,,,
Male,22,Ouedzem,30000,3000,,5863,,,,,,,,
Female,24,Ouedzem,30000,3000,TresBien,15499,,,,,,,,
Male,19,Azilal,30000,3000,Bien,17928,,,,,,,,
Female,25,Tadla,30000,3000,,9086,,,,,,,,
Male,25,Azilal,30000,3000,Bien,15491,,,,,,,,
Male,23,Ouedzem,30000,3000,,12296,,,,,,,,
Female,20,Khouribga,30000,3000,Moyenne,5770,,,,,,,,
Male,22,Tadla,30000,3000,TresBien,19041,,,,,,,,
Female,20,BeniMellal,30000,3000,TresBien,4283,,,,,,,,
Female,19,Ouedzem,30000,3000,TresBien,13429,,,,,,,,
Female,20,FqihBenSalah,30000,3000,,12799,,,,,,,,
Male,25,BeniMellal,30000,3000,Moyenne,13143,,,,,,,,
Male,25,Tadla,30000,3000,TresBien,7543,,,,,,,,
Male,20,Azilal,30000,3000,TresBien,10216,,,,,,,,
Male,22,Ouedzem,30000,3000,Bien,8363,,,,,,,,
Female,21,Tadla,30000,3000,TresBien,18059,,,,,,,,
Male,18,BeniMellal,30000,3000,Passable,17399,,,,,,,,
Male,20,FqihBenSalah,30000,3000,Moyenne,10808,,,,,,,,
Male,22,BeniMellal,30000,3000,Moyenne,6482,,,,,,,,
Female,23,Azilal,30000,3000,Moyenne,19819,,,,,,,,
Male,20,Khenifra,30000,3000,TresBien,19832,,,,,,,,
Male,25,Ouedzem,30000,3000,Bien,16711,,,,,,,,
Female,24,Khenifra,30000,3000,Moyenne,10796,,,,,,,,
Female,24,BeniMellal,30000,3000,Passable,8034,,,,,,,,
Male,20,FqihBenSalah,30000,3000,TresBien,17088,,,,,,,,
Male,25,Azilal,30000,3000,,9476,,,,,,,,
Male,23,FqihBenSalah,30000,3000,Bien,4023,,,,,,,,
Male,19,FqihBenSalah,30000,3000,Bien,6794,,,,,,,,
Female,19,Azilal,30000,3000,Passable,3421,,,,,,,,
Female,25,Khouribga,30000,3000,Bien,13357,,,,,,,,
Male,23,BeniMellal,30000,3000,,5129,,,,,,,,
Male,18,Khenifra,30000,3000,Bien,5340,,,,,,,,
Male,24,Rural,30000,3000,TresBien,4174,,,,,,,,
Female,19,Azilal,30000,3000,TresBien,15424,,,,,,,,
Male,24,Khouribga,30000,3000,TresBien,9038,,,,,,,,
Female,20,Tadla,30000,3000,Moyenne,8952,,,,,,,,
Female,18,Tadla,30000,3000,,9752,,,,,,,,
Male,20,Rural,30000,3000,Moyenne,13210,,,,,,,,
Female,22,Ouedzem,30000,3000,,19914,,,,,,,,
Female,21,Khouribga,30000,3000,Passable,19504,,,,,,,,
Female,23,Ouedzem,30000,3000,TresBien,3722,,,,,,,,
Male,23,FqihBenSalah,30000,3000,Bien,17269,,,,,,,,
Female,20,BeniMellal,30000,3000,Passable,16216,,,,,,,,
Female,20,BeniMellal,30000,3000,Moyenne,16381,,,,,,,,
Male,25,Azilal,30000,3000,Passable,15261,,,,,,,,
Male,20,Khouribga,30000,3000,,7925,,,,,,,,
Male,25,Tadla,30000,3000,TresBien,5130,,,,,,,,
Female,22,Ouedzem,30000,3000,Passable,8567,,,,,,,,
Male,19,BeniMellal,30000,3000,Moyenne,3868,,,,,,,,
Female,25,FqihBenSalah,30000,3000,Bien,11282,,,,,,,,
Female,20,Tadla,30000,3000,TresBien,11729,,,,,,,,
Female,20,Rural,30000,3000,,8911,,,,,,,,
Male,23,BeniMellal,30000,3000,TresBien,6936,,,,,,,,
Female,18,Ouedzem,30000,3000,Moyenne,4715,,,,,,,,
Male,18,Rural,30000,3000,Bien,15342,,,,,,,,
Male,19,Azilal,30000,3000,Passable,14953,,,,,,,,
Female,22,BeniMellal,30000,3000,TresBien,3586,,,,,,,,
Female,24,Khouribga,30000,3000,TresBien,15347,,,,,,,,
Male,21,Tadla,30000,3000,Bien,13856,,,,,,,,
Male,18,Tadla,30000,3000,Bien,16745,,,,,,,,
Female,25,BeniMellal,30000,3000,,9553,,,,,,,,
Male,21,BeniMellal,30000,3000,Bien,9278,,,,,,,,
Male,22,Khenifra,30000,3000,Moyenne,7025,,,,,,,,
Female,19,Ouedzem,30000,3000,TresBien,15684,,,,,,,,
Male,18,Ouedzem,30000,3000,Bien,14376,,,,,,,,
Male,21,BeniMellal,30000,3000,Passable,8447,,,,,,,,
Male,22,Khouribga,30000,3000,Passable,7628,,,,,,,,
Female,20,Ouedzem,30000,3000,Passable,16456,,,,,,,,
Male,21,Rural,30000,3000,Moyenne,13768,,,,,,,,
Female,23,Rural,30000,3000,TresBien,18664,,,,,,,,
Female,22,Azilal,30000,3000,,5035,,,,,,,,
Male,21,FqihBenSalah,30000,3000,Passable,14821,,,,,,,,
Male,24,Rural,30000,3000,Moyenne,14218,,,,,,,,
Female,22,Khouribga,30000,3000,,13531,,,,,,,,
Male,22,BeniMellal,30000,3000,Bien,10506,,,,,,,,
Female,21,BeniMellal,30000,3000,Bien,7105,,,,,,,,
Male,18,Azilal,30000,3000,,4956,,,,,,,,
Male,24,Khenifra,30000,3000,TresBien,11301,,,,,,,,
Female,25,Tadla,30000,3000,Bien,9643,,,,,,,,
Male,19,FqihBenSalah,30000,3000,Bien,19069,,,,,,,,
Female,25,BeniMellal,30000,3000,,3847,,,,,,,,
Male,18,BeniMellal,30000,3000,,4761,,,,,,,,
Male,21,BeniMellal,30000,3000,Passable,11118,,,,,,,,
Female,23,Tadla,30000,3000,Bien,11118,,,,,,,,
Male,23,Ouedzem,30000,3000,Passable,12208,,,,,,,,
