wage,costliving,gender,age,branch,userexperience,city,competence,merite
8004,2062,2,19,1,47,6,4,1
11518,1665,2,20,2,92,6,3,3
5555,1559,1,18,1,93,1,4,2
6949,1993,2,17,2,69,4,2,4
4146,1829,2,19,2,79,6,2,4
13471,1112,1,19,1,2,4,4,3
11078,710,1,19,1,36,1,3,1
9710,1745,2,17,1,93,5,2,3
5135,988,1,21,1,18,2,4,2
8528,895,2,19,1,94,5,2,1
7249,1367,2,18,2,86,3,3,2
10495,942,1,18,2,98,2,2,1
4285,786,2,18,2,80,1,2,3
14044,1938,2,21,2,29,6,2,4
4330,1148,2,18,2,20,2,1,2
13117,1011,2,21,2,75,2,3,1
4633,2044,2,17,2,81,2,2,1
12227,887,2,21,1,46,1,3,1
11087,1356,1,21,2,91,6,2,3
7600,1944,2,18,2,90,2,1,3
14197,983,2,17,2,73,2,3,2
8781,1784,2,17,2,27,3,2,2
12623,1213,1,21,2,6,2,2,2
8191,2049,1,18,2,17,1,3,2
7564,752,2,17,1,98,3,1,2
10103,1306,1,17,1,2,3,2,2
11815,964,2,20,2,38,5,4,2
14940,1402,1,20,2,61,1,1,3
8175,1439,2,20,2,55,3,1,3
12319,1189,1,21,2,67,1,1,1
7660,1218,1,19,1,86,3,1,1
14786,1830,2,20,1,98,5,1,1
4840,1780,1,20,2,83,2,1,3
7326,1558,2,21,1,18,4,1,1
8391,946,2,20,1,89,4,4,2
8444,1256,2,20,1,12,3,1,3
10856,1518,1,19,1,89,4,3,1
7269,979,1,20,1,89,5,3,1
6712,1173,2,17,1,41,5,1,2
4629,1709,2,19,1,70,4,4,2
6184,1402,1,18,1,79,3,3,1
14548,2046,1,19,2,40,1,3,4
4663,659,1,19,2,49,3,1,2
8094,1323,2,18,2,97,3,1,1
7223,1538,1,18,2,99,2,3,2
5459,1525,1,19,1,25,4,3,1
10494,1215,2,20,2,72,2,1,1
8629,873,1,20,2,26,2,1,4
5484,645,2,19,2,49,1,3,4
11924,1818,1,21,2,74,6,3,1
14588,667,1,19,2,1,1,2,2
14393,1766,1,21,1,70,6,3,1
12937,924,1,18,2,88,1,2,2
5261,1362,1,21,2,38,1,4,4
11878,1137,1,20,2,95,1,3,2
11027,825,1,20,1,72,3,1,1
4321,1523,2,18,1,80,4,3,3
13240,922,1,18,1,30,1,1,3
12267,834,2,21,1,91,5,1,4
4584,1431,2,18,2,36,1,2,3
10688,1825,2,18,2,54,5,2,2
13939,1527,2,17,1,30,4,4,2
11121,1680,1,20,1,33,5,4,1
10799,1353,2,17,1,59,2,4,3
12137,1924,2,21,2,38,6,1,4
10486,641,2,18,1,33,6,3,1
8182,1669,2,18,2,47,4,1,1
12494,1069,2,21,2,10,6,4,4
10713,1971,1,21,1,35,6,4,3
13790,1961,2,20,2,100,4,4,3
6189,1727,2,18,1,7,4,2,3
8794,693,2,20,2,38,5,1,2
4352,1803,1,21,1,79,2,4,1
5894,751,2,19,2,57,4,2,1
4123,1592,2,18,1,82,3,3,4
13819,1932,2,21,1,67,5,1,3
12537,1240,2,19,2,28,4,3,3
11005,840,1,19,1,32,2,4,2
9059,1032,2,20,1,73,4,1,4
12718,1612,2,19,2,76,1,4,1
9589,1205,2,19,2,85,2,3,3
13834,1202,1,17,2,7,6,3,4
14344,1999,1,21,2,40,2,2,1
12905,1114,2,17,2,90,3,4,3
4118,956,1,20,1,90,6,3,4
6632,1283,2,20,1,94,4,2,3
9578,1864,1,19,1,15,2,4,3
7492,1890,2,19,1,95,5,3,2
8317,1389,1,17,2,15,5,4,2
7750,684,2,18,2,79,6,1,4
7600,1058,1,21,1,96,5,2,4
12182,1341,1,21,1,69,1,2,3
9595,1731,2,19,2,95,1,1,1
7971,844,2,17,2,88,2,4,2
12372,1687,1,20,2,96,4,2,2
14294,1971,1,17,1,29,5,3,1
10221,1249,1,21,1,98,4,2,2
4381,1896,1,18,1,33,6,4,1
10955,2007,1,20,2,78,3,3,3
9177,1271,2,21,1,94,5,3,4
10115,1654,1,17,1,24,3,2,2
7754,918,2,18,2,3,6,1,2
14165,1035,2,19,1,87,5,3,1
12139,786,1,18,1,6,2,3,2
4602,1362,2,18,1,94,6,2,3
8195,1804,1,19,2,33,1,4,1
9857,1746,2,17,1,27,3,3,4
14186,1245,2,20,1,41,1,1,1
11719,1142,1,18,1,33,2,2,3
14989,1782,1,18,1,12,4,3,1
9929,1379,2,20,1,69,1,1,4
9765,991,2,21,2,51,4,3,3
7801,1337,2,17,1,10,1,3,2
4778,1745,1,18,1,31,4,3,4
11459,1876,1,17,2,73,2,2,4
6782,1360,1,21,2,6,6,1,4
13665,749,2,18,1,19,2,2,4
8506,737,2,17,1,63,6,1,1
14663,779,1,18,1,24,2,4,1
8355,1730,2,19,2,77,5,2,3
6406,819,2,18,1,9,6,3,2
13578,731,1,19,1,39,1,1,1
6187,1414,1,17,2,58,1,3,1
7661,1386,2,18,1,41,1,2,4
13985,1354,1,18,1,86,4,4,4
11221,1238,1,20,2,21,5,4,4
11170,1468,1,19,1,31,4,2,2
9823,971,2,18,1,39,5,2,3
9625,626,2,19,1,1,5,3,3
10480,1165,2,17,1,85,6,2,1
14579,2008,1,19,1,73,5,3,4
7044,1835,2,17,1,16,1,3,4
11228,1445,2,18,2,92,3,4,4
6406,1335,2,20,2,92,6,4,1
6596,857,2,19,1,66,6,4,2
4217,2009,1,17,1,39,4,1,1
11317,1888,2,19,2,79,6,4,2
8476,633,2,20,1,53,6,4,3
14272,1699,1,19,2,6,3,3,3
14149,899,1,20,2,28,2,1,2
8992,739,2,20,1,57,6,4,3
9002,1036,1,20,1,51,4,2,1
7478,1043,1,19,1,28,3,2,4
13443,1267,2,17,1,43,4,4,4
9202,770,1,19,1,100,5,1,2
5688,1344,2,20,2,38,4,3,4
9346,1294,2,17,2,8,5,1,4
10223,1388,1,20,2,96,3,1,2
11507,609,1,20,1,41,2,4,2
8355,603,1,19,1,10,3,3,4
10266,1826,2,19,1,10,6,4,4
12534,872,2,17,2,54,1,1,3
10500,1173,2,18,2,1,4,4,3
10050,637,2,19,1,48,3,2,2
12483,974,1,21,1,7,4,3,3
9253,1684,2,20,1,95,4,4,1
14851,1130,2,18,2,49,1,2,1
10674,804,2,21,2,76,3,4,3
12774,1403,1,20,2,39,3,4,2
10660,818,2,18,1,90,4,4,3
14488,1497,1,19,2,79,4,4,3
14503,2016,1,19,1,9,6,4,1
10861,1480,2,20,1,24,6,2,3
10657,1210,2,21,1,76,1,2,2
13633,914,2,20,2,55,4,3,1
10124,831,1,20,2,98,3,2,2
14858,1700,2,20,2,98,2,4,3
5738,2094,1,19,2,18,5,1,2
7033,636,2,17,2,30,5,1,4
12914,917,2,19,2,31,6,1,3
14103,1055,2,19,1,38,1,1,1
6488,1633,1,19,1,35,6,1,1
4337,1112,2,20,2,27,2,2,3
13149,1912,1,17,1,78,4,4,2
11988,730,2,20,2,38,5,4,3
10010,696,2,21,1,29,2,3,2
4992,2050,1,20,1,37,1,1,2
14638,1030,1,18,2,93,5,1,2
14276,1575,1,17,2,52,6,2,1
7604,1934,1,19,2,95,6,1,3
4591,1872,2,19,1,27,3,3,2
4245,1723,2,20,2,87,1,1,2
10333,845,1,21,1,59,3,3,2
5425,770,1,20,2,98,6,2,4
6229,901,1,18,2,84,2,1,1
12548,1918,1,20,1,79,3,1,4
13162,1859,1,18,2,43,4,2,4
7129,1123,1,18,2,92,1,2,3
13850,1099,1,21,1,53,2,4,1
4130,1397,1,21,1,9,3,3,3
6054,1298,2,18,2,6,6,1,2
11047,1524,2,17,2,53,6,1,4
4229,1611,1,17,2,72,5,4,1
8975,2093,2,19,1,59,3,3,4
6458,1932,2,17,1,42,6,1,4
5336,936,1,17,2,24,5,1,3
7310,1164,2,21,2,11,2,2,3
4611,1243,1,17,1,68,2,4,3
5826,635,1,21,1,63,2,3,1
11335,1106,1,19,2,95,1,2,3
8781,1607,1,18,1,88,4,3,1
4989,2069,2,20,2,76,3,2,2
12695,685,1,18,2,43,3,4,4
4247,1751,2,17,1,37,2,2,1
14923,1365,2,17,2,54,2,3,2
4606,1419,2,19,2,57,5,1,4
8961,730,2,17,2,35,2,3,2
7144,2073,1,19,2,37,4,3,3
5208,1308,1,21,2,93,4,4,4
8895,1399,1,20,2,49,2,3,1
12905,601,1,20,2,14,2,2,2
9287,1297,2,19,1,60,2,3,4
11737,1194,1,17,1,44,6,3,4
8212,1225,2,20,2,84,4,1,3
12640,773,2,17,2,55,4,2,4
9192,1692,1,20,2,75,6,3,1
4889,625,1,17,2,69,3,3,1
7444,918,2,18,2,33,4,2,4
8871,1396,1,18,2,84,2,2,1
10239,1274,2,19,2,86,6,4,4
6679,630,2,17,2,16,4,1,2
9600,1619,1,19,1,69,5,1,1
8019,1980,1,18,1,84,3,4,1
12985,777,1,21,1,67,5,4,3
12469,1659,2,21,1,41,3,1,1
14193,1136,1,18,1,52,6,1,1
7453,1061,1,20,1,4,3,4,1
9590,1515,2,21,1,75,6,2,3
14714,1469,2,17,1,10,2,3,2
10211,1721,2,21,1,9,5,2,2
8629,753,1,21,2,66,3,1,2
12014,1255,1,19,1,97,4,1,2
8438,720,1,19,1,26,5,4,4
12970,1620,1,17,2,79,5,1,3
6861,1537,2,20,1,39,6,1,1
12457,1755,1,18,1,60,1,1,2
7579,1422,1,21,2,60,5,2,4
4168,1979,2,19,2,28,6,1,1
5404,960,1,21,1,71,5,4,4
12241,1391,2,20,1,90,6,2,1
12827,955,1,17,2,29,3,1,3
11658,1479,1,21,1,31,1,2,2
6913,1914,1,18,1,74,4,1,4
8333,814,2,18,2,73,1,2,3
10731,1079,2,18,2,79,5,3,2
9123,1895,2,17,2,42,3,4,2
8225,1517,2,20,1,15,5,4,1
7055,647,2,20,1,7,5,3,2
8495,1547,1,17,1,62,2,3,2
13383,1388,1,18,1,1,4,4,1
4424,1208,1,20,1,86,6,1,2
7572,2095,2,21,2,16,6,1,1
8554,1590,1,20,1,97,5,1,2
8446,1832,2,20,1,44,3,1,4
5646,1066,2,19,1,95,5,4,1
7189,1885,2,21,2,51,2,4,1
9229,1082,2,20,1,27,1,2,4
14665,1532,2,17,2,35,2,3,3
12887,1864,1,18,1,29,6,1,4
6481,1821,2,17,1,95,2,1,3
11329,1410,2,17,2,67,4,3,1
14348,1826,1,21,1,37,1,3,1
10422,946,1,18,2,54,6,4,4
8062,2031,2,17,1,50,1,3,2
9966,1701,2,19,2,30,2,1,3
4488,1485,2,20,1,62,3,4,1
9787,2022,2,19,1,63,4,3,1
13998,1784,2,20,2,38,6,4,3
12783,719,2,19,2,13,2,3,1
7096,1879,1,19,2,68,2,2,2
13108,847,2,18,1,29,5,4,4
10629,623,2,18,2,22,6,2,3
5643,712,2,19,1,95,2,2,2
8252,713,1,20,1,37,6,4,1
13443,1941,1,20,1,51,4,3,1
11433,2010,1,19,2,37,2,2,2
10141,863,1,20,2,82,6,3,1
10941,1268,2,19,2,54,2,1,4
4635,1084,1,18,1,80,6,3,3
8368,1270,1,19,2,63,5,1,2
10911,1109,2,18,1,28,4,2,4
4372,750,2,20,2,66,3,3,4
9776,1273,1,19,1,49,5,3,4
11979,1907,2,19,2,51,2,4,2
12391,1504,2,17,1,6,1,1,3
12494,1789,1,17,1,92,6,3,3
12078,1400,2,20,1,46,1,3,2
11698,1237,2,19,1,65,2,4,2
7446,772,2,21,2,64,4,4,3
10356,1751,2,18,1,18,5,1,2
13349,1109,1,17,1,93,2,2,4
14402,1920,1,18,2,57,5,4,2
7617,1021,2,21,1,44,5,1,4
7554,1631,1,18,2,14,1,4,1
5029,1298,1,17,1,28,5,1,3
5130,1586,1,21,2,17,5,3,1
7860,1742,2,21,1,98,2,4,3
5626,1704,1,18,1,30,1,1,3
6035,605,1,19,2,79,5,1,4
10023,925,1,17,2,97,1,2,1
13814,1706,1,21,2,55,5,2,1
12414,997,2,21,2,95,2,2,1
11670,659,1,18,2,99,5,1,1
11852,1203,1,18,2,75,4,2,1
4520,913,1,18,1,77,2,1,1
10936,1550,1,17,2,31,2,4,3
12309,1956,2,18,2,70,6,3,3
12204,1243,2,19,1,44,5,2,3
8082,854,2,21,1,63,6,2,4
7326,1336,1,20,1,21,6,3,2
4022,854,2,17,1,100,4,2,1
4514,1148,2,17,1,56,2,3,1
6901,772,2,17,2,22,5,2,4
14708,1179,2,21,2,64,2,2,3
6720,1478,1,19,1,20,6,4,2
7130,665,1,19,2,29,4,1,4
11192,1940,2,21,2,67,6,1,1
4355,1130,2,18,2,100,1,1,3
10549,984,1,18,1,2,6,4,1
6540,1988,2,18,1,16,5,3,4
4478,1531,1,17,1,12,2,1,2
6771,2099,2,21,1,69,3,4,4
13373,1278,1,17,1,23,1,1,3
5609,1244,1,19,1,5,6,1,1
5170,1521,2,18,1,72,5,2,2
10893,1344,1,18,2,12,1,2,3
7242,1997,1,18,1,44,5,2,2
8060,1961,2,17,2,9,5,3,3
11276,1578,1,18,2,3,4,3,1
8053,1781,2,17,2,50,5,4,2
8054,1948,2,18,1,13,1,1,3
11898,1784,1,17,2,6,4,4,2
14702,1643,2,18,2,69,6,4,1
7660,1727,2,19,2,14,6,3,3
5229,928,2,17,2,28,1,3,4
5686,1097,2,21,1,42,2,2,3
7051,1593,1,21,2,14,5,1,3
13957,2005,1,17,2,85,2,3,1
12665,1233,1,19,2,50,3,2,3
12263,717,2,20,2,5,1,2,4
12195,2094,1,17,2,68,3,2,1
7138,2013,2,17,1,54,3,3,2
12455,1102,1,19,1,18,5,1,1
6161,781,1,18,1,16,2,4,1
7174,1958,2,18,2,8,4,1,1
4856,1553,2,17,1,57,2,4,4
7936,1055,1,19,2,12,5,3,1
5339,694,1,19,1,36,3,3,3
6363,1555,1,20,2,77,1,3,1
10611,1493,2,18,1,50,5,2,1
7945,1057,2,21,2,87,6,4,4
11612,2071,1,18,2,57,1,2,1
9892,1584,2,21,1,4,4,4,1
9823,1984,1,18,2,97,3,1,2
5521,1774,1,20,2,45,6,2,4
14505,1022,1,17,2,72,3,2,2
14217,1033,2,17,1,23,6,1,2
8330,1537,1,18,1,18,4,4,2
12497,722,2,19,2,2,6,1,3
6586,1950,2,21,2,20,5,2,1
4755,1016,1,18,1,72,2,3,3
14974,1912,2,18,2,65,6,2,2
7093,1111,1,20,1,37,2,1,2
4762,1543,1,20,2,6,2,4,2
14925,990,1,20,1,75,2,2,2
7386,1814,1,18,2,6,5,3,1
4614,612,1,19,1,14,2,3,2
13967,1037,1,21,1,85,4,1,3
12860,1779,2,21,1,36,3,4,4
5354,1888,2,19,2,100,6,3,2
9385,1786,1,17,1,1,2,1,4
11333,1079,1,19,1,40,3,2,4
11541,1103,1,17,1,63,2,3,3
14937,1014,1,20,2,23,3,2,1
11916,1815,1,21,1,40,2,2,3
6825,1022,2,18,1,100,4,3,4
14006,1354,1,20,1,11,1,4,1
5618,1644,1,18,2,15,5,3,3
6609,1257,1,21,2,98,5,1,3
9308,1617,1,19,2,58,4,3,2
8112,1291,2,17,2,67,5,3,3
11840,1469,1,18,1,69,3,2,2
4515,1064,2,21,1,43,4,4,2
13555,1949,2,17,1,77,1,3,1
11066,834,1,18,1,48,6,3,2
11962,1241,2,20,2,50,4,4,1
11831,1070,1,18,2,31,5,4,3
12936,1383,2,17,1,91,3,1,2
6899,1570,2,17,2,82,1,3,2
9667,1263,2,20,2,66,5,4,2
8001,1968,1,20,2,98,4,3,2
14722,1476,2,20,2,84,4,4,1
13809,1842,2,20,1,65,1,3,4
6494,1680,1,18,2,9,4,2,1
8486,1184,2,19,1,40,1,4,2
8638,1080,2,21,1,46,6,4,2
12737,1712,2,18,1,41,4,1,4
13412,1811,2,19,2,70,2,3,2
6770,848,1,19,1,91,1,1,2
7606,987,1,20,2,35,4,2,4
6465,1056,1,20,2,100,1,4,1
13264,1082,1,17,2,15,4,2,2
10859,1574,1,18,2,95,3,1,2
5242,1463,2,21,1,92,4,2,3
12244,1454,2,19,1,37,1,4,2
4156,957,1,19,2,78,3,4,4
4518,805,1,21,1,6,1,1,2
9217,1469,1,20,1,13,6,4,4
13954,895,1,18,2,12,3,2,1
5602,718,2,20,2,60,1,4,2
9791,1463,2,21,1,15,1,2,1
6707,1478,2,21,1,10,1,4,1
13190,1997,2,18,1,45,1,3,4
13184,1965,1,21,1,1,4,1,1
4092,758,2,18,1,94,5,3,4
8184,804,1,19,1,91,1,4,2
12883,945,1,19,2,71,3,3,2
6514,1749,1,21,1,82,3,2,3
7755,1173,2,17,1,64,2,4,4
14866,859,1,19,1,92,6,2,2
6328,1788,1,18,1,41,6,1,3
10304,1445,2,19,2,4,2,1,4
9288,958,1,18,2,54,5,3,3
10127,1321,1,18,2,42,6,3,4
6242,1841,2,21,1,72,3,3,4
5800,1260,2,18,2,40,2,4,2
7325,1273,1,19,1,42,4,3,4
6141,1607,2,19,2,50,1,3,4
9212,1814,1,18,1,57,5,3,4
11453,1716,2,21,2,82,2,1,3
13483,1945,1,21,2,8,4,1,3
7847,729,2,20,2,57,3,1,2
6050,687,2,17,1,35,3,4,1
10256,1146,1,20,2,39,5,1,2
7180,1597,2,18,1,88,6,2,3
6078,1052,2,20,2,83,1,1,4
9088,1404,2,21,2,35,6,3,1
6498,670,2,17,1,86,5,1,3
12436,2089,2,21,2,37,6,1,1
7618,1515,1,19,2,86,2,4,4
13444,1111,2,20,1,63,4,1,1
12085,1438,2,17,1,68,2,3,3
4245,1058,2,17,1,20,5,4,2
6478,1176,2,20,2,40,4,4,3
8930,1689,1,19,1,77,1,1,3
10904,1835,1,20,2,5,1,1,2
4724,1382,1,17,2,29,5,2,1
6612,1295,1,19,2,96,5,2,4
5227,1206,1,18,1,48,4,4,3
10149,1538,1,18,1,6,5,1,4
12847,1582,2,19,1,71,4,4,3
7570,1026,1,21,1,18,5,4,3
11468,1397,1,18,1,97,2,2,1
4425,1102,2,21,1,94,1,4,1
7977,877,1,20,2,98,4,4,1
9196,1003,2,17,1,16,2,2,4
8098,1133,1,18,1,78,5,3,1
4308,1128,1,20,1,12,1,2,4
11155,1506,1,19,2,88,1,2,3
9616,1094,1,17,1,87,4,4,4
4144,1990,1,21,2,83,3,4,4
5818,1909,1,19,2,89,4,2,4
5458,904,1,18,2,86,2,4,2
13103,1580,2,21,1,88,6,1,2
9519,1043,2,19,2,91,4,2,3
10123,1876,2,20,1,97,1,2,1
11187,1912,1,21,1,52,3,3,3
4255,1467,1,19,1,58,5,1,3
4582,1648,1,19,2,66,1,2,1
13375,927,1,21,1,14,4,4,1
10089,1793,1,17,2,43,3,2,2
7038,660,2,18,1,21,1,3,1
5826,651,2,19,1,2,5,2,1
7530,2033,1,21,1,43,1,2,4
4300,1433,1,19,1,86,3,2,4
4248,1368,2,19,2,56,1,2,2
11364,1655,1,18,1,73,5,1,3
10226,1278,2,17,1,60,3,1,2
13060,1842,1,20,2,68,5,3,3
10288,820,2,21,1,27,6,1,4
14955,1593,2,21,2,24,1,3,4
13467,965,1,21,1,48,5,1,3
10307,1178,2,20,2,36,1,2,3
12486,1983,1,20,1,16,4,2,2
10552,604,1,20,2,85,6,2,4
4686,1310,2,17,2,97,1,2,4
10573,1699,1,17,2,91,6,4,3
14216,1738,1,19,1,72,3,4,3
7257,1301,1,21,1,66,5,1,1
4672,1854,2,20,2,100,2,2,4
7916,1678,1,18,2,72,2,2,4
4150,1841,2,17,1,23,5,4,3
14412,745,1,19,1,22,1,2,1
11753,1682,2,21,2,88,6,2,3
4557,1690,2,17,1,80,5,2,1
13249,704,1,17,1,51,1,1,3
13897,2033,2,19,1,1,2,2,3
11578,1053,2,19,2,22,6,1,1
13637,957,1,21,2,40,1,1,3
12177,1855,1,17,1,61,2,4,1
11926,622,1,17,1,34,3,4,1
4922,1138,1,20,1,24,1,1,3
10942,710,1,19,2,15,6,3,3
8916,1314,2,17,2,76,5,1,1
6478,1610,1,19,2,19,4,1,2
8313,1251,2,18,1,7,1,3,2
13545,1437,2,20,2,6,3,4,3
8783,1592,1,17,2,21,4,1,2
9249,1087,2,19,2,52,4,3,1
12643,2024,2,17,2,68,4,2,2
5328,1659,2,21,1,40,4,2,3
10711,1816,2,17,1,27,5,1,1
11623,621,2,21,1,46,2,4,3
4740,1788,2,20,2,30,3,2,4
4567,2061,1,21,2,65,6,1,2
5057,1233,2,17,2,76,6,1,2
14168,1341,1,18,2,45,6,1,4
13816,833,2,17,1,90,1,3,3
6636,1188,2,20,1,39,2,1,2
6835,977,2,21,1,57,5,3,3
4871,1857,2,21,2,100,5,2,2
12003,876,1,17,1,86,6,3,1
14248,1211,1,20,1,50,1,3,2
11706,1394,1,18,2,40,5,3,3
8995,1661,2,17,1,70,3,1,2
4543,1833,2,17,2,74,3,1,4
6902,1832,1,21,2,48,5,2,2
10936,800,2,19,1,63,6,3,1
6237,1964,1,21,2,93,1,3,1
10779,1863,2,20,1,80,5,3,2
6626,1424,1,21,2,90,5,1,4
4634,1977,1,17,1,15,4,3,3
8871,620,2,19,2,9,4,2,3
8821,1831,1,17,1,12,3,4,4
9928,731,2,20,1,98,2,4,2
10377,1512,2,21,2,7,3,1,1
4611,1832,2,21,2,58,4,3,1
6769,2014,1,19,1,17,6,3,4
4417,1644,2,17,1,80,1,1,3
4571,1643,1,18,2,82,6,2,3
4533,912,2,20,1,32,1,3,1
10048,1508,1,17,1,6,1,1,2
5098,2007,1,20,2,69,2,1,3
5476,1308,1,19,2,22,1,3,4
9370,1702,2,20,1,24,3,3,4
11410,1728,1,18,1,63,6,3,2
8512,1340,2,19,1,88,2,3,3
11955,1350,2,18,1,24,4,1,1
9312,1410,2,20,2,68,4,3,1
14771,1949,2,18,1,58,5,4,3
5465,764,2,19,2,10,3,1,2
13559,803,1,20,2,37,5,2,2
14615,921,2,20,1,35,4,2,1
5003,948,1,19,2,79,6,3,1
7404,938,1,17,1,6,1,4,3
5013,1195,1,18,1,79,3,1,2
12960,1196,1,21,1,60,6,4,4
11116,901,2,18,2,92,3,1,2
4558,2021,2,21,2,4,4,3,2
9132,1952,1,20,2,98,6,1,2
7145,1746,2,19,2,92,6,1,1
8721,1101,2,20,1,50,1,1,3
6087,1872,2,18,1,61,6,1,3
5991,1388,1,18,1,14,4,4,1
5815,893,1,18,1,88,2,4,4
11833,1365,2,20,1,7,4,2,1
9722,1939,2,17,1,66,6,3,4
5358,621,2,20,1,58,3,4,3
10362,869,1,18,1,84,6,3,4
7856,841,1,19,2,52,2,3,3
4114,1323,1,21,2,80,5,3,4
7431,1978,1,18,1,60,4,3,4
9058,1231,2,21,1,31,1,1,1
8729,659,1,17,2,78,5,1,4
4212,1633,1,21,2,10,1,2,2
6656,1037,1,21,1,38,2,3,1
8097,1912,1,17,1,44,1,1,2
5087,1335,1,18,2,62,1,2,1
8720,650,1,18,2,20,2,3,1
9608,1566,2,17,1,77,6,2,2
12292,707,1,18,1,14,1,4,1
11158,874,1,21,2,11,2,4,2
8611,1874,1,19,1,39,5,1,3
10811,1864,2,17,1,70,1,3,4
5254,606,2,17,1,23,6,3,2
8966,765,1,18,2,34,6,2,1
11298,1755,2,17,1,10,1,4,2
9113,2096,1,18,1,34,1,4,4
4676,664,1,18,1,3,4,2,2
5570,931,1,19,1,15,4,3,4
