wage,grades,city,age,gender,afford
100306,4,4,21,1,1
90526,4,8,22,1,1
116777,3,1,21,1,1
235686,3,5,21,2,1
199315,3,2,19,1,1
226755,4,7,22,1,1
192368,4,8,18,1,1
179810,1,1,23,1,1
197807,3,3,25,2,1
121468,4,6,25,2,1
111503,2,8,24,1,1
77522,1,6,21,1,0
216036,4,3,20,1,1
105395,1,2,20,2,1
197763,3,3,18,2,1
175432,3,3,19,1,1
103558,1,2,20,2,1
147974,3,1,22,2,1
188427,3,3,23,1,1
84507,3,3,22,1,1
97848,4,2,18,2,1
214711,3,6,21,2,1
175416,4,5,21,1,1
163435,4,5,24,1,1
150678,1,1,25,1,1
200236,2,3,20,2,1
70699,2,1,24,2,0
143496,1,7,18,2,1
181989,4,8,24,1,1
193029,2,7,19,2,1
218671,1,7,20,2,1
180792,3,5,24,1,1
118784,3,1,23,1,1
229555,4,5,19,2,1
151874,1,2,19,2,1
190607,3,1,20,2,1
164027,2,6,21,2,1
174973,2,1,18,1,1
79062,4,6,24,2,1
186117,3,5,24,2,1
155604,4,3,21,1,1
99260,4,1,24,2,1
174536,1,8,24,1,1
118407,1,8,24,1,1
144347,3,2,24,1,1
199232,1,2,22,2,1
155957,3,3,21,2,1
110325,1,4,18,2,1
124607,4,7,25,1,1
168547,2,3,24,2,1
212531,2,4,20,2,1
218373,2,5,20,1,1
191113,4,7,19,2,1
91610,2,7,24,1,0
165196,4,4,18,2,1
80383,3,8,21,2,1
160272,3,6,22,2,1
181641,4,3,24,2,1
144883,3,6,19,1,1
111197,4,6,20,1,1
114110,3,7,18,1,1
183938,1,4,19,1,1
114713,2,8,25,2,1
77551,1,4,19,2,0
215152,4,1,22,2,1
133708,4,8,23,1,1
106653,4,5,25,1,1
127149,3,2,24,1,1
162110,1,4,22,1,1
135785,1,7,25,2,1
78682,3,5,25,1,1
103526,1,1,24,1,1
204987,4,2,19,1,1
169011,4,8,21,2,1
91476,4,2,21,2,1
83428,3,5,21,1,1
89692,3,1,23,1,1
113335,1,1,23,2,1
215367,1,6,18,1,1
193366,2,4,19,1,1
173389,2,2,22,1,1
174463,2,4,25,2,1
207855,4,5,21,1,1
183948,3,8,23,1,1
81094,3,1,21,1,1
229587,1,7,24,1,1
238421,1,4,21,2,1
73758,4,7,18,1,1
186848,1,5,19,2,1
189180,3,7,24,2,1
75538,2,4,22,2,0
76608,2,8,21,2,0
207613,2,7,21,1,1
155542,1,5,21,2,1
85469,1,5,18,2,0
72476,3,5,21,2,1
86587,2,6,23,2,0
187849,4,8,20,1,1
232236,2,2,24,2,1
170262,1,6,23,2,1
157076,3,3,20,1,1
231366,3,2,21,2,1
227566,3,5,18,2,1
165483,3,8,24,2,1
82324,2,7,21,2,0
89383,3,5,20,1,1
105850,1,4,25,2,1
165859,1,3,25,1,1
146526,2,7,22,2,1
177646,3,4,25,1,1
161203,2,1,18,2,1
170440,2,4,19,1,1
181879,4,7,21,2,1
221476,3,8,18,1,1
239961,4,8,23,1,1
136653,4,3,22,2,1
141041,1,7,23,1,1
131181,1,7,21,2,1
193563,3,2,22,1,1
205130,2,5,23,2,1
93154,1,7,22,1,0
154750,4,2,19,1,1
111484,2,1,20,2,1
105713,3,7,25,1,1
72417,2,5,21,2,0
140994,4,1,20,1,1
238513,2,6,23,2,1
114975,1,4,23,2,1
73097,1,4,19,1,0
156563,2,5,18,1,1
79318,2,1,25,1,0
150338,4,6,18,1,1
92344,4,6,25,2,1
199424,3,6,23,1,1
74314,2,5,24,1,0
91106,4,2,20,2,1
87103,4,4,21,2,1
221082,4,1,24,1,1
140137,2,4,18,2,1
150977,4,5,18,2,1
81460,1,6,23,1,0
102394,1,7,25,2,1
235298,2,5,23,1,1
117190,3,5,23,2,1
114014,2,5,23,1,1
86313,3,6,22,1,1
90308,2,8,18,1,0
150831,2,4,18,1,1
167032,4,8,24,1,1
191105,2,3,25,1,1
72207,2,7,18,2,0
191058,1,5,21,2,1
101816,2,2,23,2,1
209653,4,4,18,1,1
87427,3,7,25,1,1
76803,2,8,20,1,0
166774,1,8,20,2,1
75261,3,8,25,1,1
188120,4,1,21,2,1
84449,2,5,18,2,0
176683,2,3,18,2,1
237375,3,5,21,1,1
146637,1,8,19,1,1
128719,3,6,25,2,1
141956,4,6,24,2,1
98431,3,7,22,1,1
162878,1,3,23,1,1
134396,3,1,23,2,1
222969,4,7,20,1,1
85928,2,6,22,2,0
134850,3,3,23,2,1
217858,2,2,21,2,1
197643,4,7,19,1,1
233143,1,4,22,1,1
165946,4,6,19,1,1
102450,3,8,24,2,1
162205,1,1,23,2,1
163272,3,3,20,2,1
73657,2,7,21,1,0
103361,3,7,25,2,1
137516,3,3,23,2,1
228749,4,4,19,1,1
202176,3,8,18,1,1
108382,4,5,18,1,1
120161,3,8,20,2,1
128831,4,5,20,1,1
186473,4,4,21,2,1
214827,1,7,19,2,1
182527,1,8,23,2,1
117031,1,6,23,2,1
234208,1,2,22,2,1
237332,4,1,24,2,1
235895,1,3,22,1,1
168153,3,6,19,2,1
213609,1,1,20,1,1
182788,4,5,18,2,1
118157,1,3,22,2,1
190017,1,4,22,1,1
228243,1,7,25,1,1
194981,1,5,21,1,1
239613,4,4,19,1,1
203487,1,3,20,1,1
147044,3,2,23,1,1
209947,4,5,23,2,1
154333,3,1,21,2,1
220033,1,5,20,2,1
207965,2,3,18,2,1
164075,4,8,22,1,1
164942,1,7,19,1,1
215852,4,8,18,2,1
164212,4,4,20,2,1
95102,1,7,19,1,0
95765,4,8,21,2,1
100390,3,5,24,2,1
210124,3,7,19,1,1
183666,1,6,19,2,1
226778,1,5,21,1,1
93088,2,2,23,1,0
190615,2,6,24,2,1
83628,4,6,21,2,1
203092,1,3,21,1,1
132403,4,2,23,2,1
197305,2,2,25,2,1
88449,2,8,22,2,0
142520,3,6,24,2,1
106806,4,1,20,1,1
235051,4,6,18,2,1
164953,4,3,21,1,1
84951,2,8,20,2,0
81035,4,1,25,1,1
176568,3,1,23,1,1
103737,2,8,25,1,1
74102,3,3,18,1,1
123531,1,1,21,2,1
185712,1,1,20,1,1
187967,1,1,18,1,1
75697,4,6,21,2,1
72251,2,3,25,1,0
236385,2,3,20,2,1
101234,2,8,25,1,1
108717,4,4,20,2,1
76960,3,7,20,1,1
217551,4,6,25,2,1
77777,4,1,25,1,1
147621,1,1,18,2,1
197207,4,6,25,1,1
201944,1,5,24,1,1
174704,4,2,18,2,1
166318,2,4,18,1,1
220866,4,2,19,2,1
146434,1,2,19,1,1
89539,3,8,23,1,1
130424,2,4,19,2,1
228359,1,3,18,1,1
140115,3,4,22,2,1
228271,1,2,22,1,1
187225,1,5,23,1,1
213924,3,5,20,1,1
168262,3,3,24,1,1
212891,2,3,24,2,1
96356,2,5,20,2,0
197780,2,2,21,1,1
143108,3,6,20,1,1
110170,2,7,23,1,1
218925,1,5,21,1,1
188847,2,2,20,2,1
135651,2,1,22,1,1
84269,1,6,21,2,0
152114,1,5,24,1,1
86972,3,4,18,2,1
218932,2,4,22,1,1
107108,1,6,22,1,1
204587,2,4,20,1,1
81794,1,5,25,2,0
120495,3,7,21,1,1
132898,3,6,23,1,1
215090,1,8,21,2,1
218804,3,7,24,2,1
156796,4,1,23,2,1
211030,2,2,19,2,1
223569,2,3,20,2,1
196697,4,7,22,1,1
128388,1,2,20,2,1
205420,2,3,24,1,1
170109,2,5,20,2,1
232698,4,2,18,1,1
185540,3,5,21,2,1
235108,4,7,20,2,1
73719,2,3,18,2,0
89247,2,1,20,1,0
144582,4,3,18,1,1
237755,4,1,21,1,1
141163,3,6,22,1,1
189530,1,7,24,1,1
80773,2,7,23,1,0
202362,4,6,23,1,1
143497,4,2,22,2,1
79025,4,8,21,1,1
230573,1,8,22,2,1
161521,2,5,22,1,1
229536,1,1,21,1,1
112291,2,1,23,1,1
215995,2,7,20,1,1
80750,1,2,20,1,0
202719,3,2,20,2,1
134594,1,8,18,1,1
159355,2,6,19,2,1
149122,1,4,22,2,1
89132,3,8,20,2,1
192700,2,8,24,2,1
89333,1,4,21,2,0
136079,2,4,19,2,1
181784,1,6,23,1,1
177664,3,7,23,2,1
224626,4,3,25,2,1
176289,1,8,19,1,1
214897,1,5,21,2,1
147265,2,3,20,2,1
196225,2,2,19,1,1
109325,3,2,25,1,1
204339,4,1,19,2,1
83720,4,2,23,2,1
232605,2,6,24,1,1
90832,2,5,23,1,0
130226,4,7,20,1,1
98550,2,5,21,1,0
170653,2,5,24,2,1
199215,3,4,18,2,1
110956,3,6,20,2,1
208335,1,5,23,1,1
92296,4,8,21,2,1
179332,4,3,24,2,1
74594,3,6,21,2,1
187984,2,4,23,1,1
179836,4,6,18,2,1
118780,4,6,19,2,1
190178,3,2,23,1,1
212684,3,4,19,1,1
193024,2,5,18,2,1
197755,4,6,18,1,1
174790,2,7,18,1,1
158439,2,5,18,2,1
227094,3,3,20,1,1
199199,2,1,21,1,1
105221,2,8,24,2,1
175910,4,7,19,2,1
204980,2,1,22,2,1
77784,4,8,24,2,1
109859,1,6,24,1,1
142832,3,2,18,1,1
102500,2,5,19,1,1
143031,1,7,24,1,1
176708,4,2,25,1,1
202010,2,4,22,2,1
239882,3,3,22,2,1
220085,2,2,23,1,1
142950,3,3,21,2,1
130381,3,7,23,2,1
122979,4,1,19,2,1
186141,4,3,20,1,1
116280,2,4,23,1,1
127008,4,7,22,2,1
162879,1,6,22,1,1
150165,4,8,24,1,1
172929,2,4,19,2,1
159745,1,1,22,2,1
86170,2,4,25,2,0
113052,2,5,24,1,1
205243,4,6,23,1,1
146604,3,7,25,2,1
198691,3,2,19,1,1
102138,4,5,21,2,1
96064,2,2,25,2,0
206031,3,4,25,1,1
133377,4,5,19,1,1
229865,1,1,21,1,1
167782,2,3,21,1,1
171814,3,4,21,1,1
187216,1,7,20,1,1
154681,4,7,19,1,1
144577,1,4,20,2,1
148296,4,6,21,2,1
187751,4,6,21,1,1
190545,3,1,20,1,1
232429,1,5,23,2,1
115948,1,1,25,1,1
238306,1,6,24,2,1
115716,2,7,19,2,1
180272,4,7,25,1,1
116355,1,8,20,1,1
209225,3,3,20,1,1
86710,2,8,24,2,0
74410,4,7,21,1,1
112453,2,2,23,2,1
83009,3,1,21,1,1
237848,1,8,19,1,1
170925,1,5,20,1,1
224865,2,6,20,2,1
129894,2,8,21,2,1
171890,3,5,18,1,1
149160,2,8,20,1,1
159869,2,7,19,2,1
206302,1,4,24,1,1
127071,4,5,23,1,1
193208,1,3,22,2,1
203841,3,8,25,1,1
117575,1,4,23,1,1
93631,2,1,21,2,0
104897,1,6,21,2,1
113353,2,1,24,1,1
167650,3,3,19,2,1
201159,1,8,18,1,1
228582,1,1,20,1,1
121857,3,6,18,2,1
111150,3,5,23,1,1
85036,4,1,24,2,1
164416,4,6,19,2,1
77027,4,4,20,2,1
226961,3,7,18,1,1
81378,4,3,24,1,1
111405,1,7,18,2,1
110521,3,3,23,2,1
125715,4,7,21,2,1
79138,2,2,22,2,0
162820,3,8,18,2,1
182873,1,6,21,2,1
168289,4,8,24,2,1
231215,2,5,20,1,1
149859,3,1,18,2,1
84725,2,7,18,1,0
130877,2,3,24,2,1
135789,4,7,18,2,1
155655,3,1,21,1,1
80315,4,2,21,2,1
121720,2,4,25,2,1
116932,4,8,23,1,1
152834,2,6,19,2,1
74825,4,4,20,2,1
92707,3,5,19,1,1
72197,2,6,20,2,0
115622,2,5,18,2,1
182171,1,2,21,2,1
81569,4,6,19,2,1
84983,3,6,18,1,1
124551,4,1,25,1,1
136939,3,3,25,2,1
124542,1,4,23,1,1
198554,1,4,20,1,1
228844,4,3,22,2,1
120537,3,8,25,2,1
80014,1,2,18,1,0
105648,2,8,18,2,1
99056,1,5,18,2,0
157975,2,5,24,1,1
172063,1,3,20,2,1
100515,3,3,23,2,1
82672,4,6,21,1,1
184668,4,7,19,1,1
200241,1,5,20,1,1
214648,2,7,23,2,1
143749,3,5,21,1,1
123301,1,7,20,1,1
141977,2,5,21,1,1
136322,3,2,18,1,1
144951,3,5,24,2,1
180535,4,2,21,2,1
78747,3,3,24,1,1
149833,1,4,21,2,1
127805,4,5,19,1,1
181833,3,2,18,1,1
131567,4,8,19,2,1
203190,2,6,22,1,1
171751,3,7,18,1,1
91773,3,1,19,2,1
126415,4,1,21,2,1
226673,3,5,23,1,1
106845,4,4,22,2,1
83878,1,4,18,2,0
95732,2,2,22,1,0
181797,2,8,24,1,1
160488,3,8,22,2,1
122540,1,5,19,2,1
113186,1,7,22,1,1
114692,3,5,18,1,1
231791,3,8,22,1,1
196999,1,4,24,2,1
199643,1,3,25,2,1
120243,3,5,19,1,1
150526,1,2,22,2,1
146385,2,8,18,1,1
116115,4,8,18,1,1
130851,2,3,25,2,1
149333,3,2,22,1,1
177291,4,4,23,1,1
116858,1,1,22,1,1
165009,3,2,20,1,1
117485,2,5,24,1,1
123983,3,5,19,2,1
144474,3,6,18,2,1
235327,4,6,18,2,1
163924,4,6,20,1,1
230259,2,3,20,1,1
137347,3,6,22,1,1
172385,3,8,18,2,1
152433,2,1,19,1,1
124654,1,7,21,2,1
166613,2,1,25,2,1
180194,3,8,21,1,1
213291,4,3,25,1,1
126758,3,4,18,2,1
198389,3,5,22,2,1
152548,3,8,22,2,1
161694,3,6,24,1,1
130083,1,1,21,2,1
181606,1,4,19,2,1
194921,2,1,21,1,1
122439,3,5,22,2,1
83621,3,5,19,1,1
134832,3,8,19,2,1
127539,3,8,18,1,1
124338,2,4,24,1,1
216099,2,2,18,2,1
109880,1,8,19,1,1
158970,4,4,18,1,1
218940,1,6,23,2,1
73527,2,6,18,2,0
114965,1,2,21,2,1
136922,4,8,20,2,1
104490,4,3,22,2,1
193793,4,6,25,1,1
79890,3,6,25,1,1
187030,1,8,20,1,1
175451,3,6,24,2,1
228645,2,2,24,2,1
134507,2,3,21,1,1
132385,1,5,19,2,1
129596,2,3,21,2,1
184600,2,6,20,2,1
175251,4,3,23,1,1
138990,2,3,19,2,1
229049,4,1,25,1,1
191189,3,3,22,2,1
129246,3,8,22,1,1
215162,4,7,22,2,1
164419,3,5,18,1,1
162001,4,7,18,2,1
71075,3,1,25,2,1
199723,2,3,19,1,1
225340,3,5,24,2,1
117132,1,8,23,2,1
179555,1,5,21,1,1
113505,4,5,25,2,1
160392,4,7,19,2,1
75305,4,1,25,1,1
165054,1,3,18,1,1
95067,1,2,24,1,0
162738,4,1,18,1,1
214729,4,5,23,2,1
225673,2,5,20,2,1
140203,1,8,18,1,1
221244,4,2,21,2,1
123029,2,2,22,1,1
176695,2,2,25,1,1
139397,3,2,24,2,1
215784,4,5,24,1,1
99795,3,5,25,2,1
236614,4,3,20,2,1
133056,2,4,21,2,1
217607,3,6,22,2,1
127337,1,2,25,2,1
167182,1,1,25,2,1
175396,4,1,19,1,1
108413,2,2,21,2,1
104773,3,3,20,1,1
144867,2,7,22,2,1
89396,4,1,23,2,1
214072,3,3,25,1,1
173282,2,2,19,2,1
130549,2,4,23,1,1
106614,3,4,22,2,1
87615,2,1,21,1,0
141641,4,7,20,2,1
188596,1,3,23,2,1
107663,4,4,22,2,1
94062,3,4,21,1,1
141877,3,2,24,2,1
222540,4,6,25,2,1
222115,4,3,25,1,1
213437,4,4,22,2,1
213725,1,6,21,2,1
106001,2,2,23,2,1
201460,4,3,21,2,1
192393,3,2,24,1,1
229944,3,2,23,1,1
99067,2,5,24,1,0
77270,1,1,22,2,0
109472,2,4,20,2,1
180742,2,7,20,1,1
188870,1,2,24,2,1
163611,4,4,20,1,1
217735,1,5,21,2,1
73221,2,3,18,1,0
205236,1,3,20,2,1
179953,3,7,22,1,1
197610,3,6,19,2,1
74245,1,5,22,1,0
151397,1,7,23,1,1
204750,2,8,25,2,1
104197,1,7,19,2,1
230777,2,7,21,2,1
213170,2,5,19,1,1
111844,4,5,23,2,1
207953,2,7,19,2,1
206470,1,7,23,1,1
205171,1,6,22,1,1
147703,3,4,22,2,1
154018,3,2,19,2,1
209494,1,4,21,1,1
222788,1,1,20,1,1
134402,2,6,22,2,1
144333,3,4,25,1,1
176142,4,1,20,2,1
95006,4,2,18,1,1
186568,3,6,23,2,1
236392,3,6,25,1,1
185600,3,4,24,1,1
166315,4,4,23,2,1
228348,3,5,20,2,1
214436,3,3,20,2,1
73093,2,5,18,2,0
100946,1,5,20,1,1
207874,2,3,18,1,1
89941,3,4,22,1,1
116849,3,8,25,2,1
128772,1,3,18,2,1
182008,3,8,21,2,1
145116,4,2,18,2,1
204189,3,6,18,2,1
140371,4,4,23,1,1
239250,1,8,20,2,1
223996,1,2,23,2,1
109187,4,1,18,1,1
134661,1,7,25,2,1
78524,4,2,24,1,1
205033,3,6,20,2,1
107275,2,7,22,1,1
200543,3,5,20,2,1
199646,4,6,19,2,1
86570,2,5,24,1,0
222921,4,7,20,2,1
175227,1,1,20,2,1
194068,2,7,20,1,1
122295,3,6,23,1,1
234085,4,7,19,2,1
104613,4,2,19,2,1
147786,3,7,25,1,1
162326,4,5,22,1,1
167626,1,1,20,1,1
203057,1,2,19,1,1
184007,1,1,23,2,1
224441,4,5,25,2,1
73969,3,8,25,1,1
189836,1,1,21,1,1
139944,4,5,19,1,1
78233,2,4,25,2,0
113422,3,1,22,1,1
195961,2,7,25,1,1
231942,4,6,20,2,1
80951,4,8,23,1,1
81222,4,2,19,1,1
239126,2,7,21,2,1
144810,2,1,18,1,1
191079,4,7,22,1,1
104454,1,2,25,2,1
104963,1,8,18,1,1
169881,4,5,22,1,1
238861,1,1,24,1,1
173757,4,8,23,1,1
225481,3,3,18,1,1
203075,3,2,22,1,1
71516,4,5,18,2,1
223599,2,7,25,1,1
139160,1,8,21,2,1
72953,4,3,20,1,1
182672,1,2,23,1,1
163580,1,5,25,2,1
231441,1,4,20,2,1
135452,3,4,18,2,1
158622,1,8,18,1,1
125215,1,6,18,2,1
142444,3,3,20,1,1
238612,2,2,22,1,1
111052,1,7,23,1,1
138166,1,3,20,1,1
126417,4,7,21,1,1
221436,3,6,20,1,1
233541,2,8,22,2,1
224322,1,4,19,1,1
214340,4,5,23,1,1
70350,4,8,25,1,1
154398,1,6,18,1,1
73259,3,8,18,2,1
208845,2,1,20,2,1
234570,4,7,22,1,1
124324,1,3,22,1,1
211918,4,3,20,2,1
106709,1,4,19,2,1
107012,1,4,22,1,1
86985,4,8,19,2,1
225623,3,5,19,1,1
159752,1,8,25,1,1
169213,2,7,21,1,1
120080,2,3,19,1,1
182204,4,8,25,1,1
159473,1,2,23,1,1
157196,2,4,18,2,1
215732,3,7,19,2,1
203543,4,6,22,1,1
231614,1,2,22,1,1
84996,3,4,20,1,1
147684,2,1,23,2,1
150931,4,5,21,2,1
76834,1,5,19,2,0
192526,2,6,23,1,1
82549,2,5,22,2,0
164573,4,1,18,2,1
147487,4,7,18,1,1
105450,3,1,23,1,1
105947,1,2,25,1,1
154504,3,1,20,2,1
77618,4,1,21,2,1
209917,3,1,21,1,1
181138,4,5,23,1,1
191437,1,4,19,2,1
161499,1,1,20,1,1
224660,4,6,24,1,1
195754,3,7,20,1,1
115639,1,6,22,1,1
175431,1,7,18,2,1
113938,1,4,20,1,1
177037,2,4,18,2,1
223820,1,5,19,1,1
71388,2,5,19,1,0
140456,2,5,25,1,1
203152,2,4,22,2,1
129492,3,3,24,1,1
168510,1,7,21,2,1
110673,1,5,19,1,1
202863,3,3,18,1,1
202030,2,8,21,2,1
86928,3,8,25,2,1
151593,4,4,24,1,1
184876,1,1,20,1,1
110933,4,7,23,1,1
155493,1,2,19,2,1
176298,2,4,18,2,1
235792,1,8,22,1,1
72282,2,6,23,1,0
115290,3,5,24,1,1
203078,4,4,22,1,1
159110,2,2,24,2,1
132554,3,8,19,2,1
97025,1,7,18,1,0
101516,4,3,23,2,1
144036,4,1,22,2,1
162674,1,1,20,1,1
77325,2,2,19,2,0
214287,3,6,18,2,1
134586,3,8,23,1,1
238424,3,5,23,2,1
118972,4,6,25,2,1
144809,4,3,19,2,1
133983,1,5,18,2,1
90641,2,2,25,1,0
215728,4,2,23,1,1
113831,4,1,23,2,1
239843,2,2,20,1,1
116086,2,4,20,2,1
173299,4,8,21,1,1
192884,3,3,25,2,1
205984,4,2,20,2,1
145016,2,8,24,1,1
225408,2,5,22,1,1
179336,4,4,23,2,1
230450,4,6,21,1,1
78041,4,8,23,1,1
163111,1,6,22,2,1
159225,1,3,23,1,1
222466,2,5,25,2,1
133728,1,5,23,1,1
100030,2,3,22,1,1
179552,4,6,18,2,1
146217,2,4,22,1,1
119502,4,2,19,2,1
133622,2,3,23,2,1
125787,4,7,18,2,1
84697,1,5,25,1,0
139422,3,6,23,1,1
118889,2,4,18,2,1
75496,1,1,20,2,0
97860,4,5,20,2,1
