wage,yearlywage,thirdyw,tuition,signup,scholarship30,scholarship50,scholarship70,afford1,afford2,reduction,grade,afford3,afford4
4169,762,631,30000,3000,21000,15000,9000,620,656,50,4,220,226
10875,25,206,30000,3000,21000,15000,9000,708,81,50,4,423,530
8962,808,750,30000,3000,21000,15000,9000,704,52,50,4,809,103
19583,491,178,30000,3000,21000,15000,9000,873,150,50,4,136,561
7017,269,814,30000,3000,21000,15000,9000,26,892,50,4,719,397
7818,374,561,30000,3000,21000,15000,9000,800,995,50,3,668,178
12044,930,140,30000,3000,21000,15000,9000,360,922,50,4,802,152
10437,348,47,30000,3000,21000,15000,9000,782,413,50,3,389,95
8965,68,846,30000,3000,21000,15000,9000,831,652,50,4,829,920
5797,334,233,30000,3000,21000,15000,9000,568,657,50,1,183,784
15785,226,702,30000,3000,21000,15000,9000,333,514,50,1,851,639
5700,126,779,30000,3000,21000,15000,9000,808,700,50,1,507,370
12551,383,528,30000,3000,21000,15000,9000,347,429,50,2,858,954
12389,17,1,30000,3000,21000,15000,9000,761,688,50,1,799,610
10142,829,317,30000,3000,21000,15000,9000,97,525,50,3,666,828
14185,411,981,30000,3000,21000,15000,9000,373,680,50,4,517,838
9378,306,490,30000,3000,21000,15000,9000,33,525,50,2,115,431
5427,344,314,30000,3000,21000,15000,9000,597,508,50,1,203,88
16593,611,497,30000,3000,21000,15000,9000,643,162,50,4,336,153
8810,353,278,30000,3000,21000,15000,9000,197,231,50,1,733,830
11597,975,729,30000,3000,21000,15000,9000,766,254,50,2,713,785
18263,764,553,30000,3000,21000,15000,9000,345,179,50,2,184,163
6920,357,404,30000,3000,21000,15000,9000,272,203,50,2,187,968
11046,513,107,30000,3000,21000,15000,9000,287,997,50,2,240,117
14693,792,887,30000,3000,21000,15000,9000,543,923,50,4,560,690
4151,682,382,30000,3000,21000,15000,9000,568,3,50,3,966,396
10316,519,693,30000,3000,21000,15000,9000,685,20,50,4,74,975
7446,245,294,30000,3000,21000,15000,9000,461,389,50,1,790,846
12572,965,752,30000,3000,21000,15000,9000,994,764,50,2,596,543
9846,183,238,30000,3000,21000,15000,9000,86,400,50,3,933,14
5515,146,789,30000,3000,21000,15000,9000,917,512,50,3,359,163
14781,198,544,30000,3000,21000,15000,9000,968,706,50,1,559,842
16417,809,14,30000,3000,21000,15000,9000,169,394,50,3,252,586
16605,251,307,30000,3000,21000,15000,9000,624,715,50,1,196,734
12477,960,162,30000,3000,21000,15000,9000,666,831,50,3,938,106
12978,726,932,30000,3000,21000,15000,9000,347,971,50,1,815,758
19624,74,809,30000,3000,21000,15000,9000,692,231,50,3,204,18
13617,774,372,30000,3000,21000,15000,9000,411,191,50,2,834,335
4046,131,237,30000,3000,21000,15000,9000,235,784,50,1,763,143
5572,609,825,30000,3000,21000,15000,9000,602,944,50,2,673,812
10132,702,216,30000,3000,21000,15000,9000,38,946,50,2,202,256
19163,497,108,30000,3000,21000,15000,9000,480,324,50,4,511,747
5327,803,519,30000,3000,21000,15000,9000,557,831,50,2,971,306
18430,854,110,30000,3000,21000,15000,9000,597,932,50,1,765,354
5194,936,369,30000,3000,21000,15000,9000,813,939,50,3,522,938
4728,594,681,30000,3000,21000,15000,9000,643,980,50,4,509,918
10724,223,381,30000,3000,21000,15000,9000,277,390,50,2,676,925
14794,234,427,30000,3000,21000,15000,9000,402,910,50,2,784,563
12864,51,443,30000,3000,21000,15000,9000,645,145,50,4,446,144
19913,236,508,30000,3000,21000,15000,9000,423,158,50,1,847,410
5766,687,914,30000,3000,21000,15000,9000,319,192,50,3,197,568
7241,264,214,30000,3000,21000,15000,9000,951,612,50,3,906,453
9121,610,704,30000,3000,21000,15000,9000,72,911,50,4,865,34
6003,993,185,30000,3000,21000,15000,9000,70,24,50,1,68,711
10678,845,464,30000,3000,21000,15000,9000,75,121,50,4,584,383
12436,653,379,30000,3000,21000,15000,9000,212,119,50,2,725,844
7131,479,53,30000,3000,21000,15000,9000,203,967,50,1,227,560
4414,841,146,30000,3000,21000,15000,9000,162,196,50,3,319,25
6059,754,689,30000,3000,21000,15000,9000,120,307,50,4,229,124
15920,222,964,30000,3000,21000,15000,9000,209,849,50,2,27,455
6458,752,778,30000,3000,21000,15000,9000,77,592,50,3,255,796
10749,852,806,30000,3000,21000,15000,9000,641,203,50,3,128,383
17394,688,721,30000,3000,21000,15000,9000,129,247,50,4,542,289
14760,661,461,30000,3000,21000,15000,9000,65,336,50,2,260,618
15493,274,572,30000,3000,21000,15000,9000,468,828,50,4,794,577
8883,17,752,30000,3000,21000,15000,9000,207,488,50,3,207,447
6515,68,432,30000,3000,21000,15000,9000,892,984,50,3,663,747
10189,114,246,30000,3000,21000,15000,9000,38,709,50,2,889,980
6115,576,342,30000,3000,21000,15000,9000,435,189,50,1,391,88
15707,185,581,30000,3000,21000,15000,9000,476,743,50,1,787,825
10867,122,60,30000,3000,21000,15000,9000,268,490,50,4,364,141
5703,653,237,30000,3000,21000,15000,9000,299,607,50,4,952,178
14087,493,756,30000,3000,21000,15000,9000,915,34,50,2,395,956
7426,904,217,30000,3000,21000,15000,9000,57,817,50,1,308,287
11374,463,305,30000,3000,21000,15000,9000,208,943,50,4,728,972
17338,400,111,30000,3000,21000,15000,9000,143,728,50,2,886,758
17892,139,938,30000,3000,21000,15000,9000,195,790,50,4,696,712
7157,854,863,30000,3000,21000,15000,9000,702,471,50,3,87,262
4742,555,931,30000,3000,21000,15000,9000,343,56,50,4,441,851
16279,470,320,30000,3000,21000,15000,9000,826,257,50,3,277,667
16211,378,456,30000,3000,21000,15000,9000,650,58,50,3,262,700
15165,288,95,30000,3000,21000,15000,9000,135,674,50,1,712,958
6504,586,562,30000,3000,21000,15000,9000,339,591,50,2,319,709
16810,832,797,30000,3000,21000,15000,9000,679,117,50,3,192,912
11041,495,371,30000,3000,21000,15000,9000,139,950,50,2,927,850
7132,779,842,30000,3000,21000,15000,9000,57,707,50,3,641,709
7298,100,983,30000,3000,21000,15000,9000,300,9,50,4,303,668
17681,97,313,30000,3000,21000,15000,9000,275,856,50,3,435,755
5435,990,413,30000,3000,21000,15000,9000,734,205,50,2,117,339
16475,463,534,30000,3000,21000,15000,9000,919,716,50,4,12,771
8636,950,415,30000,3000,21000,15000,9000,547,703,50,4,326,809
11763,818,964,30000,3000,21000,15000,9000,531,726,50,4,753,894
6389,355,421,30000,3000,21000,15000,9000,442,477,50,1,689,423
14057,718,576,30000,3000,21000,15000,9000,164,506,50,4,443,449
7967,934,517,30000,3000,21000,15000,9000,435,214,50,3,356,721
5342,645,764,30000,3000,21000,15000,9000,134,909,50,1,970,767
19457,429,301,30000,3000,21000,15000,9000,320,899,50,2,965,77
16526,216,908,30000,3000,21000,15000,9000,661,308,50,2,754,639
16558,431,501,30000,3000,21000,15000,9000,643,931,50,4,979,938
4653,963,384,30000,3000,21000,15000,9000,955,329,50,4,487,764
5034,946,588,30000,3000,21000,15000,9000,412,213,50,2,817,975
11083,59,172,30000,3000,21000,15000,9000,352,235,50,2,118,900
19595,33,894,30000,3000,21000,15000,9000,509,76,50,2,505,649
5493,842,298,30000,3000,21000,15000,9000,29,644,50,1,287,789
7616,282,86,30000,3000,21000,15000,9000,170,819,50,1,970,618
5242,861,526,30000,3000,21000,15000,9000,330,981,50,2,59,292
4590,480,487,30000,3000,21000,15000,9000,769,681,50,2,440,161
16098,143,813,30000,3000,21000,15000,9000,463,186,50,2,913,268
11568,61,407,30000,3000,21000,15000,9000,489,771,50,3,987,124
15792,388,52,30000,3000,21000,15000,9000,849,94,50,1,9,642
11176,260,413,30000,3000,21000,15000,9000,534,932,50,2,122,757
6280,614,89,30000,3000,21000,15000,9000,916,616,50,4,643,831
15334,69,392,30000,3000,21000,15000,9000,62,668,50,4,686,187
13445,767,436,30000,3000,21000,15000,9000,322,854,50,3,119,891
13985,359,607,30000,3000,21000,15000,9000,218,256,50,4,261,234
10982,665,843,30000,3000,21000,15000,9000,676,868,50,3,300,968
17585,602,192,30000,3000,21000,15000,9000,721,443,50,1,727,964
12765,766,695,30000,3000,21000,15000,9000,709,912,50,2,163,283
17588,883,155,30000,3000,21000,15000,9000,325,861,50,3,283,785
6923,400,404,30000,3000,21000,15000,9000,729,119,50,4,962,183
9742,606,403,30000,3000,21000,15000,9000,534,991,50,1,161,454
10976,312,217,30000,3000,21000,15000,9000,57,415,50,3,592,885
8204,552,561,30000,3000,21000,15000,9000,159,901,50,4,645,170
8364,998,502,30000,3000,21000,15000,9000,932,533,50,4,657,636
19440,476,666,30000,3000,21000,15000,9000,504,970,50,4,998,687
15172,742,593,30000,3000,21000,15000,9000,236,811,50,3,55,609
19125,224,581,30000,3000,21000,15000,9000,157,853,50,3,188,618
14095,48,149,30000,3000,21000,15000,9000,914,71,50,3,906,325
10058,68,520,30000,3000,21000,15000,9000,937,112,50,1,467,709
13023,146,312,30000,3000,21000,15000,9000,727,5,50,3,461,511
15734,83,688,30000,3000,21000,15000,9000,23,695,50,4,266,109
8577,592,759,30000,3000,21000,15000,9000,450,661,50,4,216,289
7380,533,893,30000,3000,21000,15000,9000,595,712,50,3,944,873
19800,172,621,30000,3000,21000,15000,9000,310,360,50,1,265,838
7508,357,241,30000,3000,21000,15000,9000,927,980,50,2,287,614
4161,108,146,30000,3000,21000,15000,9000,476,613,50,3,838,742
11029,645,650,30000,3000,21000,15000,9000,952,888,50,4,759,14
15918,332,476,30000,3000,21000,15000,9000,913,682,50,2,317,288
17033,22,278,30000,3000,21000,15000,9000,978,778,50,1,911,99
17757,807,883,30000,3000,21000,15000,9000,703,492,50,1,1000,558
8070,87,266,30000,3000,21000,15000,9000,266,706,50,4,310,74
14194,273,380,30000,3000,21000,15000,9000,738,202,50,1,821,148
8332,330,173,30000,3000,21000,15000,9000,233,531,50,1,966,315
6469,38,247,30000,3000,21000,15000,9000,528,706,50,1,353,299
7613,158,991,30000,3000,21000,15000,9000,106,376,50,2,903,511
12698,760,986,30000,3000,21000,15000,9000,538,689,50,3,960,159
12818,83,794,30000,3000,21000,15000,9000,98,700,50,1,49,690
8593,407,896,30000,3000,21000,15000,9000,840,364,50,2,381,708
10939,73,688,30000,3000,21000,15000,9000,447,845,50,4,676,295
19277,492,477,30000,3000,21000,15000,9000,103,284,50,1,716,430
7431,42,46,30000,3000,21000,15000,9000,838,131,50,4,527,680
19159,993,137,30000,3000,21000,15000,9000,56,477,50,4,819,451
16320,687,900,30000,3000,21000,15000,9000,89,766,50,2,787,900
18237,967,659,30000,3000,21000,15000,9000,650,894,50,4,561,995
19939,817,506,30000,3000,21000,15000,9000,183,330,50,4,432,885
13007,907,767,30000,3000,21000,15000,9000,929,103,50,2,138,308
17025,415,278,30000,3000,21000,15000,9000,695,767,50,1,472,712
16856,185,441,30000,3000,21000,15000,9000,8,145,50,1,33,756
11899,479,519,30000,3000,21000,15000,9000,925,902,50,1,558,951
5352,596,901,30000,3000,21000,15000,9000,40,649,50,3,166,388
5671,408,954,30000,3000,21000,15000,9000,957,848,50,3,460,720
18235,580,744,30000,3000,21000,15000,9000,556,897,50,4,597,177
5032,557,867,30000,3000,21000,15000,9000,176,6,50,4,373,150
15700,97,3,30000,3000,21000,15000,9000,925,79,50,3,616,323
8561,366,588,30000,3000,21000,15000,9000,655,937,50,4,655,945
16630,151,623,30000,3000,21000,15000,9000,440,626,50,2,289,793
