gender,age,city,institution,userexperience
1,18,4,14,369
3,24,8,20,60
19,24,19,20,385
2,20,4,7,409
19,20,3,28,838
18,25,9,30,247
5,24,19,3,651
7,25,10,3,361
2,25,16,17,226
10,23,1,50,462
9,22,3,31,244
14,18,17,51,535
18,18,15,35,56
4,25,15,18,703
11,18,4,31,762
6,23,4,59,659
7,26,20,22,592
3,19,6,36,345
19,19,4,9,522
17,20,7,19,179
13,22,20,6,59
11,22,10,54,523
16,20,2,3,815
14,19,15,7,569
10,18,16,44,548
6,23,4,49,691
17,23,10,44,104
18,22,1,48,470
11,24,1,10,50
13,24,4,27,177
9,21,12,29,452
9,21,19,52,138
2,18,17,38,6
13,18,2,33,401
15,21,16,7,823
7,19,7,13,280
20,20,3,29,242
14,24,10,27,536
4,23,13,12,775
14,25,12,44,89
17,21,12,45,705
19,18,19,59,177
8,20,16,24,60
11,24,3,46,232
17,21,19,18,120
9,24,7,13,3
11,24,2,42,686
20,25,17,29,487
19,18,19,53,501
1,26,18,1,736
18,22,13,1,429
9,18,4,56,787
2,20,19,34,293
2,19,11,17,27
9,21,5,20,806
19,23,8,39,997
6,21,15,5,746
19,24,6,18,569
5,21,7,5,412
11,19,12,12,450
2,19,18,5,402
12,22,4,20,545
10,24,12,40,670
13,19,18,2,731
18,20,18,54,537
17,22,8,46,658
9,24,14,25,704
15,24,13,34,179
15,20,14,29,422
15,23,1,47,545
10,23,7,37,177
3,19,1,43,705
20,21,8,54,670
11,25,8,11,195
18,21,8,57,33
19,22,1,7,17
4,23,14,27,40
6,23,3,55,492
5,18,18,28,792
11,24,11,48,356
16,20,13,32,422
13,24,8,36,337
5,22,8,1,965
6,19,7,13,993
19,21,1,10,887
10,18,3,60,200
12,21,9,52,201
15,26,4,8,973
2,21,8,57,487
4,24,5,11,457
5,25,19,12,61
16,22,11,48,642
19,20,14,18,725
20,22,4,60,523
17,19,20,12,95
11,18,16,2,636
5,21,7,50,283
10,24,12,53,476
3,26,11,56,379
12,22,2,28,267
14,18,12,52,274
17,21,4,20,119
9,19,11,35,734
7,24,3,56,428
15,24,19,60,768
12,26,5,52,457
17,26,11,48,115
18,24,16,38,204
12,20,9,38,395
3,25,13,50,639
18,18,5,59,202
2,23,16,5,934
14,26,10,55,933
10,23,7,12,125
1,22,9,6,245
6,25,11,15,874
1,20,15,37,348
4,26,20,42,960
18,20,17,31,466
6,21,17,4,358
12,26,16,13,622
1,24,13,56,548
6,24,16,56,383
9,25,5,42,505
17,24,9,26,526
2,24,11,37,725
17,19,18,17,781
4,26,14,35,24
15,19,10,44,126
11,19,7,28,287
4,22,17,4,914
19,24,17,24,604
12,26,14,33,415
9,23,12,14,985
16,20,20,34,324
20,25,5,13,897
16,18,20,15,808
17,25,19,17,148
2,23,20,27,590
13,24,13,21,230
10,26,7,39,697
16,18,13,55,805
9,18,5,18,529
14,22,16,23,206
3,23,5,51,400
10,23,19,25,979
11,23,15,10,643
1,19,1,44,144
11,18,12,29,286
9,26,20,45,867
16,24,19,1,789
15,18,13,43,258
1,21,6,2,188
17,21,7,42,402
13,26,19,41,456
18,25,2,46,814
6,23,14,11,977
15,22,13,50,883
6,18,5,30,77
19,23,4,14,255
6,23,3,15,883
6,20,14,59,385
3,24,5,54,651
7,24,13,36,123
12,20,19,28,352
6,24,17,39,428
14,25,9,38,53
20,18,6,32,277
11,23,10,26,212
3,25,3,57,867
17,22,13,38,873
5,20,6,15,264
12,21,8,54,2
8,21,15,29,888
20,26,19,41,313
11,18,2,11,263
9,19,15,34,625
19,26,10,13,140
16,26,9,6,979
5,25,18,21,41
12,20,4,12,667
13,19,4,37,701
20,22,13,38,11
6,18,7,28,746
3,18,17,41,422
12,26,12,27,856
4,23,16,24,947
13,22,2,30,952
7,22,4,4,828
19,23,4,26,765
1,21,2,56,946
14,24,9,4,251
18,25,6,3,697
13,26,15,53,767
19,19,12,60,494
4,26,13,28,621
17,26,17,22,556
4,23,18,36,682
12,18,18,24,90
19,25,10,5,19
16,22,3,20,588
6,21,18,32,151
1,20,2,1,819
4,18,7,2,154
19,26,2,8,144
14,20,20,20,231
17,24,10,52,322
20,21,10,58,752
9,19,14,45,734
9,18,5,23,134
14,25,3,40,492
17,19,10,23,551
8,21,8,51,705
12,26,12,55,437
15,22,4,12,515
9,18,13,48,380
1,25,3,41,384
7,20,2,18,121
5,25,6,5,222
4,26,8,15,731
14,21,12,14,610
4,26,11,7,490
3,20,9,2,767
3,18,13,60,397
10,21,7,3,797
6,21,9,28,134
16,25,4,10,4
18,18,4,32,324
9,21,14,57,817
3,22,18,2,738
2,20,11,38,453
20,22,8,22,464
7,25,3,32,132
2,26,19,50,344
17,18,2,55,90
17,18,17,55,866
12,19,9,54,506
9,21,6,59,86
15,24,16,54,286
3,25,2,21,75
16,22,13,52,335
6,23,8,26,602
13,19,14,41,335
6,22,12,27,710
14,21,14,46,602
4,24,14,40,451
9,25,7,39,745
14,25,11,27,337
2,22,17,2,863
16,24,1,3,337
15,19,12,40,527
18,26,13,28,822
14,20,10,14,843
20,24,5,9,21
8,23,13,9,60
19,26,6,49,766
4,20,6,39,576
14,21,14,23,641
3,20,15,22,491
2,20,18,55,544
14,20,5,16,26
3,21,2,34,167
16,25,2,45,828
17,22,2,31,682
15,24,13,44,153
7,19,11,37,467
5,19,4,60,691
11,25,11,25,533
15,21,17,20,610
18,26,1,54,182
20,19,9,41,392
14,21,11,2,777
16,22,17,2,77
11,20,15,30,341
1,18,14,57,843
2,19,8,36,441
14,26,16,19,582
1,22,20,49,49
19,24,4,32,865
5,20,9,24,365
4,26,6,45,771
2,21,19,4,498
8,20,11,52,489
14,18,6,16,113
14,23,20,7,902
18,23,13,29,725
11,26,6,60,115
5,23,18,38,331
3,26,13,34,496
6,22,5,23,104
20,22,12,23,249
20,24,5,58,979
10,21,18,31,59
1,22,8,46,579
19,20,13,27,694
4,26,6,17,783
19,25,20,53,922
19,24,19,58,956
13,21,15,36,255
7,20,7,33,636
15,19,4,10,445
6,25,7,27,898
8,20,15,19,199
12,23,10,36,991
14,21,8,29,727
15,23,11,54,600
5,26,14,51,367
13,22,14,52,555
9,18,13,10,824
6,19,20,35,419
9,26,7,33,726
4,23,12,17,658
12,25,8,51,710
4,24,19,10,947
20,25,19,51,199
20,18,5,36,223
9,26,7,30,159
9,24,5,53,289
6,20,8,15,964
18,20,16,21,368
4,22,1,8,460
17,20,5,51,776
3,20,6,53,362
7,23,3,8,381
20,25,1,56,229
16,26,1,30,456
7,25,1,26,837
2,26,14,32,969
11,26,9,35,531
8,24,2,37,118
19,25,11,35,678
2,23,18,28,110
18,20,5,2,573
7,20,19,1,950
10,26,14,14,796
16,19,4,33,318
15,22,12,54,590
13,20,16,21,504
7,23,11,37,347
17,22,8,18,685
19,19,14,47,702
7,20,17,17,64
10,20,6,3,468
19,22,16,18,327
18,19,3,43,317
18,18,3,53,231
14,26,3,59,877
7,24,5,42,656
14,23,3,37,48
10,26,4,10,545
6,26,16,9,507
15,18,2,30,192
2,18,11,5,406
13,21,15,39,816
8,25,4,37,706
17,22,16,51,138
4,19,4,49,285
6,25,1,40,493
10,18,11,25,879
6,22,10,45,860
17,23,14,51,883
3,26,18,7,424
5,21,6,36,871
18,23,20,47,308
3,19,1,28,439
11,20,5,40,810
17,22,11,60,493
14,24,18,49,674
8,22,17,10,514
2,23,6,51,988
9,25,7,59,681
15,25,7,46,204
9,25,6,3,365
13,24,13,57,333
11,18,5,38,994
14,24,4,34,813
9,25,19,57,548
12,18,15,12,879
10,24,10,8,979
3,24,6,12,239
2,22,10,23,584
9,23,14,1,726
12,23,3,3,466
7,21,13,11,119
8,24,20,50,11
9,24,16,10,394
1,18,17,18,459
4,19,1,31,164
11,21,3,59,806
11,26,13,24,345
2,20,16,40,825
7,19,14,7,504
2,20,7,59,236
16,22,15,33,506
9,19,11,58,72
10,21,13,46,20
5,21,20,3,384
14,24,2,39,416
17,24,3,60,829
2,25,1,22,885
16,22,7,22,246
18,18,18,38,263
8,19,18,11,194
16,26,14,23,740
20,23,11,38,66
7,26,4,17,797
19,25,2,43,837
9,24,15,35,406
3,20,4,30,413
6,23,5,40,771
14,18,17,48,959
10,22,12,23,180
17,19,12,6,626
18,20,18,35,473
3,26,9,30,629
11,21,3,26,29
10,18,3,9,561
7,18,14,57,811
10,21,13,54,654
18,24,9,2,701
3,24,20,21,255
16,22,13,55,332
11,21,19,50,450
4,23,5,60,300
18,18,13,40,606
18,25,4,5,601
3,25,5,17,383
20,18,10,44,246
2,19,10,37,892
17,24,8,36,525
7,26,1,15,798
13,26,8,60,714
11,20,3,33,969
13,19,9,25,754
20,18,17,26,47
5,23,19,53,377
15,22,13,60,575
13,21,9,6,388
3,19,1,40,630
16,18,10,10,665
10,25,18,45,520
6,24,13,7,686
16,22,16,28,264
10,20,4,58,714
12,19,17,10,107
5,26,12,21,448
12,22,16,3,346
10,22,10,40,618
9,19,7,39,218
5,23,17,33,432
12,19,4,1,904
1,26,17,9,689
5,26,6,55,64
15,22,5,31,773
8,24,17,22,270
4,22,19,54,428
18,24,10,33,533
1,21,12,20,181
11,24,7,47,851
3,18,19,4,369
19,26,4,9,531
4,24,5,51,744
1,22,17,45,819
16,21,3,5,89
13,25,15,23,219
5,24,19,54,107
2,26,9,31,38
12,18,12,15,233
15,18,20,49,699
8,26,14,39,626
14,19,16,30,331
17,22,13,4,730
2,24,9,32,808
18,19,16,58,836
2,23,7,28,986
15,25,20,13,841
3,22,4,47,626
10,22,17,5,940
8,21,19,28,325
10,25,9,26,983
1,23,16,22,440
5,24,14,39,451
3,25,14,28,975
16,20,11,25,468
17,21,6,15,107
1,23,18,47,812
12,25,1,57,995
14,24,4,32,69
17,22,2,25,339
5,20,7,19,150
3,26,17,22,934
20,18,11,51,98
9,22,17,12,854
11,21,8,42,908
14,20,17,42,920
8,25,11,47,288
13,26,7,29,253
19,19,14,19,167
19,22,13,37,92
7,19,16,21,714
4,23,4,22,470
13,26,1,25,698
17,23,17,8,948
16,20,6,36,919
15,25,9,6,672
1,18,7,6,684
14,24,4,27,64
4,25,10,42,865
18,24,4,52,984
20,21,15,27,662
18,25,8,10,261
4,22,11,2,394
18,23,13,41,780
10,20,1,3,706
17,26,20,54,740
16,26,12,31,671
4,20,8,24,261
2,22,5,44,410
16,25,18,4,825
9,21,9,52,962
3,21,12,52,752
15,24,14,47,37
20,18,6,58,3
20,23,15,51,605
4,26,13,42,848
18,19,9,10,777
10,22,15,35,448
19,22,11,1,645
2,20,8,58,457
13,24,11,50,857
6,26,8,36,507
5,20,7,18,416
15,25,15,13,731
17,21,11,28,843
6,20,8,7,944
15,18,1,39,314
8,19,17,40,808
19,21,6,5,723
9,25,3,37,9
4,23,20,47,80
1,26,6,5,154
19,25,10,24,361
2,24,6,59,834
15,21,15,15,175
1,18,18,40,448
5,22,14,25,53
13,25,8,39,715
17,21,8,16,496
5,21,14,5,220
6,20,4,36,3
18,23,10,4,625
8,18,17,23,497
14,20,9,5,902
7,21,20,43,300
20,26,13,52,828
13,21,8,7,799
1,26,2,36,411
9,18,15,59,746
12,24,5,56,449
14,22,11,34,627
2,20,12,2,109
19,18,2,38,607
20,19,18,54,562
14,24,9,32,325
3,24,12,19,315
12,20,12,44,518
14,18,6,24,960
14,24,18,8,104
14,18,14,50,959
10,21,14,25,829
5,26,4,28,729
8,19,1,29,459
11,21,18,51,808
11,23,13,18,172
14,25,12,28,92
8,20,5,35,39
6,25,2,49,275
6,26,6,50,682
3,24,16,60,371
16,19,19,56,788
20,20,15,44,991
18,20,20,1,195
13,18,18,25,323
18,24,11,43,682
4,24,10,29,879
2,18,20,33,855
9,24,10,12,813
4,22,14,14,317
9,21,16,52,479
3,18,17,40,875
3,21,11,13,401
18,21,2,29,630
19,21,17,25,749
13,24,12,13,197
20,24,16,37,736
18,21,15,37,134
3,19,16,37,210
11,25,7,40,42
16,18,16,52,326
13,25,12,28,929
3,25,15,14,979
17,23,10,47,517
14,19,5,29,306
2,25,11,32,50
7,22,12,2,490
9,25,15,39,652
14,20,10,29,879
4,26,2,60,599
16,20,14,4,53
2,23,2,12,179
12,20,18,58,101
1,21,1,45,4
13,22,16,26,636
18,25,9,17,70
7,19,18,56,515
14,20,19,13,888
9,18,16,60,733
6,23,2,60,384
16,20,16,34,354
2,19,13,45,394
2,26,15,52,411
1,22,20,33,151
10,24,9,41,581
10,20,6,5,180
18,23,17,5,379
9,19,19,2,696
19,21,18,46,392
12,26,4,50,263
13,23,15,52,651
18,21,13,21,666
20,22,18,40,415
2,22,4,15,273
15,21,4,8,84
1,26,12,22,12
16,26,11,29,95
3,25,2,29,3
5,20,7,12,906
10,25,13,50,149
6,20,11,8,769
3,25,5,2,428
13,21,16,13,625
6,23,7,40,825
14,22,9,52,287
6,24,17,40,894
8,19,2,45,623
4,24,14,4,441
11,21,11,35,120
13,20,11,57,155
2,21,3,57,432
19,23,19,15,858
10,19,12,60,408
10,19,7,2,955
19,24,18,4,87
13,19,10,54,283
4,22,8,1,503
14,25,13,27,372
16,22,10,37,366
8,22,20,30,776
12,26,2,5,767
4,22,16,12,183
4,25,14,30,963
17,20,9,31,839
13,25,20,6,67
11,26,11,40,106
4,20,3,27,320
12,21,16,51,67
20,23,3,41,983
20,23,18,31,159
4,26,19,51,246
9,22,18,1,158
16,19,14,8,53
6,22,5,51,752
11,26,2,12,796
5,26,17,8,688
13,20,19,7,690
11,26,20,36,157
2,22,13,48,868
11,23,18,33,500
6,26,20,7,95
1,25,13,11,935
9,26,18,34,895
19,21,16,48,870
20,24,2,26,904
1,23,10,38,286
3,19,15,58,857
16,20,12,49,508
7,23,10,57,632
16,22,9,39,459
19,23,11,16,668
15,26,3,23,548
17,18,2,39,13
11,23,6,26,378
17,20,14,35,526
7,18,11,2,336
15,18,2,17,677
4,20,6,11,833
4,22,11,54,73
3,22,2,58,388
17,22,9,59,273
20,18,19,32,909
16,25,18,40,755
14,18,19,51,415
14,22,7,36,374
1,20,7,40,638
13,18,18,6,337
20,24,10,47,156
13,18,20,34,125
10,26,9,58,925
14,24,6,3,164
12,23,5,51,179
12,25,13,49,369
12,26,4,39,781
7,25,4,40,17
1,24,10,17,231
14,21,15,2,774
14,23,4,48,669
2,19,20,1,337
2,26,13,30,1
3,22,16,49,278
18,19,5,21,279
9,18,6,41,965
14,24,19,28,218
18,26,18,47,57
8,22,12,49,885
15,24,15,39,619
15,19,1,13,177
15,24,9,10,447
9,20,9,22,108
14,26,15,13,417
6,22,16,9,731
15,21,17,33,431
17,26,15,12,7
2,21,7,50,786
5,21,15,48,245
20,20,6,47,596
11,21,3,12,176
12,21,18,49,78
10,23,18,18,873
10,26,17,28,900
16,25,12,42,360
17,25,8,18,409
8,18,5,26,883
8,19,8,3,878
16,21,3,27,156
14,23,3,54,661
11,22,19,10,281
6,25,17,36,194
4,26,7,37,715
2,23,16,59,605
19,18,6,33,457
2,18,18,22,60
19,25,17,27,19
7,26,5,38,766
18,22,16,4,716
6,25,13,41,327
14,22,12,4,275
6,20,7,54,900
6,22,9,40,598
1,18,20,57,35
15,26,14,1,1000
14,23,18,34,400
6,23,8,29,334
19,24,13,31,628
12,24,8,18,100
7,18,17,52,840
19,25,18,20,377
17,26,16,42,491
11,23,15,38,623
20,22,3,22,596
15,22,11,60,129
16,26,17,57,743
12,24,7,35,81
11,24,1,60,195
3,24,15,40,360
8,23,6,33,100
5,26,1,47,737
5,23,19,27,284
19,19,4,60,241
17,18,4,8,478
2,25,19,45,468
12,25,10,15,576
11,19,11,22,903
14,21,11,15,216
7,19,8,8,231
15,20,6,26,617
16,24,5,28,251
16,24,5,22,423
18,23,18,11,605
11,24,6,22,905
13,19,12,32,955
19,26,9,9,387
16,22,8,24,671
5,20,19,34,211
17,20,2,51,452
10,21,6,20,747
16,20,20,31,787
19,22,4,10,631
1,20,1,22,977
5,21,17,47,610
7,18,13,39,415
12,25,7,54,773
7,25,9,39,154
10,25,9,26,852
16,26,9,2,614
12,23,16,58,464
13,20,10,35,492
13,24,20,40,722
3,25,19,13,110
10,25,20,55,825
12,24,15,3,65
14,23,14,45,866
14,25,4,30,206
17,22,9,48,101
15,25,20,54,915
1,18,10,58,549
4,22,6,37,232
8,21,6,37,609
19,20,1,27,905
2,24,13,1,108
19,23,3,31,342
20,24,17,7,812
18,21,14,59,372
8,24,11,20,834
8,25,9,51,115
9,23,15,55,8
12,25,2,53,655
17,20,8,28,526
13,26,8,49,4
20,18,1,38,741
4,19,18,55,926
5,18,16,3,724
6,24,14,51,54
5,21,3,12,325
1,23,19,59,42
4,21,4,24,44
10,23,15,21,631
18,18,12,15,193
16,23,6,22,350
12,21,9,35,916
1,20,11,51,979
19,25,4,16,533
18,20,7,31,845
19,18,2,25,390
7,23,2,51,616
7,26,5,32,896
12,20,19,55,925
9,24,7,50,842
1,18,14,43,15
7,25,2,53,847
5,22,14,6,625
7,18,8,34,12
18,19,3,22,331
20,20,3,33,703
9,19,15,47,434
17,20,9,58,746
6,20,9,27,195
18,25,8,60,273
9,25,1,55,129
5,19,4,2,356
16,20,11,43,759
6,21,19,3,30
15,22,3,32,760
2,24,11,15,381
13,23,3,44,413
8,18,9,28,548
15,24,13,49,234
12,25,6,47,271
16,19,2,3,666
3,19,11,10,724
20,25,6,43,877
7,25,17,57,749
20,18,10,25,980
5,23,11,51,897
5,20,10,43,79
10,25,2,10,147
12,23,13,3,682
18,26,15,50,781
10,24,19,5,91
3,24,18,17,198
11,19,9,12,739
19,18,14,17,122
3,20,4,36,977
15,20,10,59,936
19,24,19,36,739
15,19,19,37,826
11,19,16,13,40
10,25,1,5,472
2,19,1,24,1000
12,20,1,46,95
12,24,5,18,631
15,26,8,49,830
6,22,5,48,764
11,18,13,28,882
18,19,20,7,301
19,23,2,27,103
19,26,2,19,750
9,25,20,16,978
18,26,19,38,707
14,20,1,3,752
13,22,18,59,860
18,20,6,5,375
14,19,9,17,753
20,23,2,43,360
3,25,15,29,548
6,24,7,60,600
5,21,13,44,867
20,22,11,59,993
8,19,2,37,103
2,24,15,42,995
18,20,8,53,993
18,23,9,28,811
14,23,6,20,415
6,22,4,28,898
6,26,13,25,835
3,22,20,4,547
3,18,3,2,337
8,26,15,29,252
16,20,13,3,716
12,25,7,4,382
19,18,8,47,444
12,25,13,29,645
20,23,4,42,322
14,20,13,33,313
15,22,1,47,510
1,21,10,58,443
4,24,15,28,46
12,20,6,54,836
5,21,8,16,633
16,20,14,45,374
8,19,18,36,60
13,22,16,28,417
2,20,14,34,679
11,24,1,20,61
10,24,5,58,742
20,21,15,3,313
15,26,17,54,15
7,23,19,21,117
11,18,1,58,806
20,20,6,58,251
1,19,12,6,38
1,19,20,7,520
3,26,14,35,509
8,19,2,44,292
3,19,1,56,932
15,21,1,12,439
9,24,7,22,392
6,20,1,39,148
9,26,2,11,367
17,26,9,30,241
1,18,19,14,219
11,24,19,52,31
11,21,14,28,383
12,26,6,32,333
17,25,2,41,118
6,25,12,2,841
6,23,5,17,713
5,20,20,44,376
3,20,1,48,834
7,19,18,52,62
5,20,18,44,193
15,20,13,23,472
6,23,12,9,850
16,24,16,33,572
13,22,6,54,819
14,18,16,52,906
14,20,4,23,731
10,20,16,1,804
13,26,11,52,917
6,22,5,26,559
2,20,18,7,861
11,26,8,5,765
2,23,1,31,505
8,23,10,37,470
20,22,13,55,246
7,26,5,49,61
14,19,12,45,318
19,18,13,10,282
4,23,12,10,355
15,20,13,35,283
19,20,15,15,920
15,22,2,47,37
4,22,5,26,291
16,25,20,43,599
4,19,12,9,602
3,26,19,19,115
17,25,16,43,51
15,21,3,16,922
19,19,13,37,259
15,18,18,25,893
10,23,12,42,39
3,25,17,44,324
13,19,17,30,897
1,22,1,58,1
17,24,12,8,316
17,19,9,54,671
15,24,7,21,655
20,20,7,60,309
12,18,8,24,210
12,21,2,24,139
16,20,2,55,47
18,18,18,15,720
19,23,9,27,538
3,19,20,27,769
5,24,19,51,759
10,25,9,21,300
20,26,5,39,639
7,24,2,2,914
20,19,13,5,909
18,21,19,58,720
5,21,13,5,545
12,23,4,60,493
1,23,2,26,238
19,26,16,15,366
20,22,5,13,303
8,21,11,43,385
4,20,20,37,177
3,19,7,48,648
20,26,17,52,197
11,18,14,18,559
15,22,12,31,618
11,20,1,29,382
3,18,2,33,486
20,21,2,16,996
6,18,6,27,510
2,19,18,15,939
3,21,12,13,403
7,20,2,7,608
12,24,6,37,173
11,20,20,24,513
2,19,1,22,403
2,23,2,9,524
9,18,1,6,406
10,20,11,35,636
2,19,6,27,649
1,23,20,16,485
4,19,5,56,916
16,25,10,2,374
4,21,3,45,506
3,21,5,8,778
9,22,7,53,230
19,21,18,53,849
1,23,12,30,656
11,26,18,20,987
11,24,4,22,199
2,26,5,19,892
13,21,9,5,296
18,22,7,52,250
19,22,17,9,793
13,21,1,14,190
18,25,1,53,519
20,26,2,60,320
4,18,5,10,784
4,24,9,46,377
14,21,5,48,158
16,22,5,11,167
19,25,6,55,742
3,24,12,14,510
20,24,8,35,261
9,26,5,1,147
19,23,3,48,475
1,23,7,5,297
4,18,13,20,105
16,18,17,37,76
18,22,14,54,349
20,19,15,8,258
5,18,7,4,754
6,25,6,2,658
1,20,18,27,813
4,21,7,43,96
13,25,14,17,695
7,23,12,27,674
12,18,14,18,333
20,25,4,41,38
12,20,15,41,454
10,22,20,22,538
1,23,16,12,508
3,22,20,39,528
15,20,17,30,82
1,23,14,18,400
17,24,3,52,807
6,26,12,34,707
18,22,15,25,310
9,18,15,9,765
3,18,16,23,497
17,20,4,42,516
12,20,15,47,303
9,24,13,3,210
1,19,12,44,228
8,22,12,2,446
14,24,6,53,291
8,20,11,34,386
7,19,3,35,58
17,20,19,2,232
5,19,7,22,413
3,20,5,54,349
13,26,1,5,70
18,20,5,23,261
1,21,2,9,63
7,24,4,37,451
14,26,17,40,819
14,21,15,23,113
16,19,1,44,711
8,22,12,60,234
20,24,16,43,123
18,20,7,1,250
17,20,4,15,561
2,23,11,6,316
10,25,7,21,263
10,18,20,10,592
8,24,2,31,370
16,26,15,22,815
12,24,5,34,791
8,25,14,1,12
19,25,1,19,220
19,26,3,7,964
9,24,3,59,306
8,22,9,60,938
1,19,6,25,717
16,26,1,18,749
10,18,9,47,192
15,19,10,56,173
20,21,17,9,604
3,22,15,47,469
18,20,13,44,52
9,26,9,33,299
12,24,11,19,518
18,22,20,20,140
10,24,3,41,161
13,21,20,8,41
8,23,18,44,204
6,23,16,39,238
4,22,6,35,388
8,19,5,8,539
19,26,16,53,898
9,18,18,27,823
20,19,16,43,996
3,25,10,8,815
17,21,16,32,127
12,20,16,58,690
3,22,9,52,130
8,18,14,56,861
8,22,17,52,944
8,18,6,36,396
16,19,16,32,795
10,22,9,2,277
10,23,9,33,604
18,20,3,14,327
12,25,11,12,195
9,26,12,43,604
10,21,15,1,562
19,18,11,53,542
8,19,19,3,758
7,25,18,7,931
6,19,12,5,480
13,23,13,56,716
12,19,18,30,377
20,18,6,45,663
17,23,20,29,476
4,25,5,2,780
16,23,7,54,11
20,21,5,10,711
16,24,2,50,569
17,20,17,10,864
12,21,12,36,757
12,22,5,34,757
6,20,9,13,751
18,23,7,20,982
17,21,20,15,444
10,18,11,43,11
8,25,13,49,10
8,21,5,44,485
12,21,9,45,34
20,18,3,35,58
5,24,14,37,142
17,18,13,14,671
4,19,4,42,423
19,25,15,51,963
15,19,5,27,211
10,25,4,52,657
10,18,20,24,491
12,24,15,25,830
14,25,6,11,307
7,26,11,9,668
3,18,5,37,458
6,20,1,20,78
17,20,19,36,379
8,21,8,22,943
1,24,11,46,778
8,23,4,36,798
13,26,3,19,172
20,24,5,57,356
6,24,18,32,976
13,19,3,13,171
7,18,10,36,946
14,26,11,1,191
10,19,17,51,531
16,25,12,35,843
18,26,14,36,675
19,24,17,11,885
8,26,4,30,940
19,18,8,22,750
13,18,13,55,104
8,26,6,11,669
11,20,13,5,424
17,18,20,60,75
9,24,4,42,316
19,26,9,2,250
17,18,11,23,790
18,24,17,2,658
9,19,20,27,943
5,23,9,28,245
11,19,19,30,176
1,24,13,44,920
19,21,2,48,559
14,20,8,44,481
6,23,18,20,317
9,26,13,60,786
13,26,19,26,686
2,19,11,1,790
12,24,7,48,148
3,20,8,49,349
16,19,7,17,748
12,24,3,47,632
6,23,3,14,515
5,23,17,39,796
2,18,9,46,501
11,21,14,47,439
12,20,11,36,924
18,24,16,15,601
19,23,2,57,253
9,24,14,26,473
12,19,12,42,859
12,26,4,19,497
4,24,7,14,675
