wage,costliving,gender,age,bactype,branch,userexperience
3565,1808,1,20,1,2,12
12484,2036,2,22,1,2,29
3265,1851,1,18,1,1,20
12271,2487,2,18,1,2,76
7330,2156,2,19,1,1,80
8729,1521,2,23,1,2,14
14731,1890,1,26,1,2,70
14903,2040,2,23,1,1,60
13162,1593,2,19,1,2,82
7679,2405,2,23,1,1,85
3334,1872,2,19,1,1,71
14385,2127,1,17,1,2,45
8100,1489,2,18,1,1,96
10047,1946,1,19,1,2,97
5111,1584,1,23,1,2,64
4168,1598,1,26,1,1,17
13144,1782,1,25,1,2,49
11347,1821,2,18,1,2,19
8943,2413,1,19,1,2,54
3526,1589,2,22,1,1,85
5634,1633,2,18,1,1,70
10249,1506,1,22,1,2,32
9232,2272,2,17,1,1,52
14594,1445,2,18,1,1,10
13398,1448,1,26,1,2,48
12664,1570,1,23,1,2,87
12713,1925,1,19,1,1,60
14963,1442,2,25,1,1,93
6838,2055,1,23,1,2,10
13065,1574,2,17,1,1,86
7313,1452,1,21,1,1,50
6239,1906,2,18,1,1,33
11283,2479,2,19,1,2,53
10326,1785,2,24,1,2,1
9141,2307,2,18,1,1,24
14628,2433,1,19,1,2,56
3741,1744,1,21,1,1,39
3445,1563,2,22,1,2,62
10112,1750,2,20,1,2,92
14246,1608,1,23,1,2,49
11249,2121,2,20,1,1,34
12225,1631,2,19,1,1,59
6066,1837,2,19,1,2,64
9155,1517,1,22,1,2,40
9415,1600,2,18,1,1,92
14580,1462,1,25,1,2,83
7447,2061,2,22,1,1,2
4516,2358,2,23,1,1,5
7397,2416,2,19,1,2,40
6887,2202,2,19,1,1,2
8869,1708,1,23,1,2,96
3884,2056,1,23,1,2,68
7625,2313,2,26,1,2,12
12241,2026,1,24,1,1,52
12712,2445,1,19,1,1,59
5615,2339,2,20,1,1,82
7939,1717,2,21,1,2,93
6951,2164,1,22,1,2,95
13150,2158,1,20,1,2,36
11640,2258,2,24,1,2,1
6806,2342,1,21,1,2,15
8033,2119,2,18,1,2,53
14563,1667,2,22,1,1,17
6362,1571,2,23,1,1,19
5423,1659,1,17,1,2,15
3630,1920,2,19,1,1,71
14554,2156,1,22,1,1,100
5951,2262,2,17,1,1,9
7815,2152,2,17,1,1,72
11354,2222,2,18,1,2,82
12724,1429,2,19,1,1,12
8710,1508,1,26,1,2,39
7823,2353,1,22,1,1,16
5117,1968,1,23,1,1,32
9028,1549,1,22,1,2,44
8495,2084,1,17,1,1,20
5611,1509,2,19,1,2,55
12100,1760,2,21,1,2,49
8032,2310,2,24,1,1,40
13001,2396,1,24,1,1,58
9896,1680,2,24,1,1,88
13327,2023,1,23,1,1,6
11437,1539,1,23,1,1,45
14481,2081,2,22,1,1,4
6386,1425,1,20,1,1,73
7768,2030,1,26,1,2,1
14790,1459,2,22,1,1,47
11185,1526,1,22,1,2,33
14530,1900,2,24,1,1,28
5499,2103,2,20,1,1,29
11857,2066,2,24,1,2,30
12933,1951,2,20,1,2,63
12802,1565,2,19,1,1,72
5905,2206,1,23,1,1,59
11541,1753,1,25,1,1,76
7560,2189,2,20,1,2,58
9981,2419,2,20,1,2,43
7438,2241,2,18,1,1,31
9637,2376,1,18,1,1,62
14163,1455,1,20,1,2,81
8216,1733,1,17,1,2,10
11152,2135,1,20,1,1,65
12358,2366,2,20,1,1,100
5690,1484,1,18,1,2,48
5148,1714,2,25,1,1,21
12460,2189,1,26,1,2,70
13714,1615,1,19,1,1,78
5673,1930,1,22,1,2,5
3446,2055,1,25,1,2,7
7281,1458,2,22,1,2,89
4061,1756,2,22,1,1,57
11410,1808,2,22,1,2,3
6067,2359,2,24,1,2,77
8633,2320,2,26,1,1,43
13071,2175,1,22,1,2,42
3538,2327,1,22,1,2,50
4751,1405,2,26,1,1,86
9480,1775,2,26,1,1,71
6164,2053,1,17,1,2,89
12825,2444,1,23,1,2,33
9974,1453,1,22,1,1,64
13491,2040,2,25,1,1,99
9319,2443,2,26,1,2,86
14476,1568,1,25,1,1,45
9026,2409,1,25,1,2,26
14636,2242,2,25,1,2,15
5386,2022,1,21,1,1,1
6449,2457,1,18,1,1,85
3931,1504,1,25,1,2,44
10507,1938,1,25,1,2,56
3529,1401,2,22,1,2,77
3071,1635,1,18,1,1,37
7278,2014,1,25,1,1,47
7806,1980,1,19,1,2,9
6044,1630,1,20,1,2,60
13496,1743,1,23,1,2,2
10165,2376,2,20,1,1,50
9423,1710,2,26,1,2,92
12050,2498,1,26,1,2,36
14287,1735,2,17,1,2,71
7208,2369,1,21,1,1,94
8754,2246,1,25,1,1,35
13667,2086,1,18,1,1,95
5345,1579,2,23,1,1,94
14118,1601,2,25,1,2,2
7760,1876,2,20,1,1,36
10643,2077,1,26,1,1,10
10137,1968,2,23,1,2,38
4120,1538,1,26,1,1,18
8084,2003,1,26,1,2,99
8854,1559,2,25,1,2,48
5742,1623,1,25,1,1,59
10717,1640,1,24,1,2,72
5038,2387,1,19,1,2,56
5587,1685,1,21,1,2,1
9115,2370,1,18,1,1,91
10709,2192,2,17,1,1,31
8003,1907,2,21,1,1,73
11566,2154,1,19,1,1,81
10949,2068,2,25,1,1,61
5891,1827,1,17,1,1,14
6466,1738,1,26,1,2,78
8445,1954,2,22,1,2,91
7531,1567,2,21,1,2,46
7038,2164,1,23,1,2,3
8492,2097,2,23,1,2,79
9482,2167,1,17,1,2,55
10999,1576,2,25,1,2,24
10867,2375,2,19,1,1,1
11386,2296,2,20,1,1,100
3618,2346,2,20,1,2,48
13807,1807,2,19,1,1,58
8725,1805,2,26,1,1,66
12887,2162,1,26,1,1,40
10103,2004,1,19,1,2,47
10985,2183,2,19,1,2,31
10156,2192,1,23,1,1,20
11720,1951,1,19,1,1,26
10091,2113,1,26,1,1,18
11470,2039,1,26,1,1,38
4395,1454,1,17,1,2,41
7590,1687,1,19,1,2,33
13123,2107,1,24,1,2,20
3546,1805,2,17,1,2,50
12564,1779,1,25,1,2,94
7060,1685,2,17,1,1,94
7345,2041,1,20,1,1,84
3828,2230,2,26,1,1,33
8583,1639,2,18,1,2,93
14713,2456,2,17,1,1,23
9551,1725,2,24,1,1,49
7006,1911,2,20,1,2,23
4306,1894,1,21,1,1,97
10999,1401,1,26,1,1,54
12728,1740,2,20,1,1,9
5667,1961,2,24,1,2,77
12071,1798,2,17,1,2,46
11442,2136,2,21,1,2,84
8920,1940,1,18,1,2,67
4498,1979,1,25,1,2,28
6140,1861,2,26,1,2,77
11788,2110,1,17,1,2,14
4561,2010,2,22,1,1,70
3055,1488,2,22,1,2,79
8648,1751,2,17,1,1,3
13005,1972,2,21,1,2,47
14916,1417,1,20,1,1,70
13382,2243,2,19,1,1,64
6063,1602,2,18,1,2,12
3761,1649,2,25,1,2,56
7044,1820,1,24,1,1,22
7746,2221,2,19,1,2,95
12911,2081,2,20,1,1,27
11099,1673,1,21,1,2,89
11488,2241,2,19,1,2,39
13698,2179,1,19,1,1,44
14081,1475,1,22,1,2,8
10546,1710,2,17,1,1,36
10871,2334,2,24,1,1,17
6351,1760,2,25,1,2,47
12033,2053,1,17,1,1,30
13996,1733,1,19,1,2,23
12252,1724,1,19,1,1,6
3865,1994,2,18,1,2,46
6124,1842,2,24,1,1,85
6023,2353,2,21,1,1,94
7977,1432,2,18,1,1,45
8023,2095,1,25,1,1,45
6317,1645,2,22,1,1,12
6696,1899,2,23,1,1,53
6135,1597,2,24,1,2,97
5451,1914,2,20,1,1,97
8719,2460,1,25,1,2,26
9558,2394,2,21,1,2,85
4517,1682,1,20,1,1,62
8838,2458,1,20,1,2,75
13295,1470,2,20,1,2,91
6360,2124,1,22,1,1,88
12850,2344,1,18,1,1,36
12405,2390,1,20,1,2,16
13602,1969,2,19,1,2,65
14359,1888,2,24,1,1,71
11238,2267,2,24,1,2,8
7816,2290,2,21,1,1,76
4235,2184,1,17,1,1,18
7174,1696,1,26,1,1,60
12325,2194,1,19,1,1,58
9303,1793,2,24,1,1,93
12768,1431,2,25,1,2,96
3660,2187,2,23,1,1,87
5844,2101,2,20,1,2,91
13707,2477,1,19,1,2,88
14023,2054,1,23,1,1,40
10715,1460,2,25,1,2,22
5510,2366,1,22,1,2,45
11792,1413,2,18,1,2,5
6972,1686,2,17,1,2,84
9308,2066,2,26,1,1,85
14904,1751,1,19,1,1,86
6876,2204,1,19,1,1,46
14598,2071,1,25,1,2,77
8667,2259,1,17,1,2,46
8241,2371,1,23,1,1,38
9092,2357,1,21,1,2,36
7122,2131,2,20,1,2,66
10731,1940,2,23,1,1,2
3641,2265,1,24,1,2,2
7285,1777,2,21,1,1,19
12243,2106,1,19,1,1,43
4634,2356,1,21,1,1,29
13872,1729,1,26,1,2,75
6883,1556,1,24,1,2,96
6661,2148,1,21,1,2,66
4093,1515,1,19,1,2,51
7966,2150,2,24,1,2,72
8025,2308,1,17,1,2,71
14379,2045,2,25,1,1,4
11558,1630,2,18,1,2,72
3636,2442,2,20,1,2,73
9589,2022,1,23,1,1,94
11594,2454,1,23,1,2,12
4460,1665,1,17,1,1,42
13111,1492,1,24,1,1,98
12648,2446,1,21,1,1,97
7156,1909,2,20,1,2,20
13579,2448,2,23,1,1,75
14534,2275,1,26,1,1,78
4657,2094,2,21,1,2,55
12246,2168,1,21,1,1,80
8686,2311,1,18,1,1,50
10688,1850,2,17,1,1,56
7999,1890,1,23,1,1,67
3098,2343,2,24,1,1,26
8624,1898,1,25,1,1,7
5002,1483,1,23,1,2,2
8282,1586,2,21,1,2,52
5026,2202,1,26,1,1,34
6502,1952,1,25,1,1,40
9995,1651,1,19,1,2,30
12540,2441,1,23,1,2,32
7803,1624,2,18,1,2,59
9520,2262,1,21,1,2,96
4519,1616,2,21,1,1,36
7279,2084,1,23,1,2,64
3377,1930,1,17,1,1,25
10686,2180,1,25,1,2,29
5726,2149,2,17,1,1,51
3376,2056,2,20,1,2,49
8898,1624,2,17,1,1,77
11016,2040,1,24,1,1,31
13323,2101,2,17,1,2,3
6232,1579,2,25,1,1,39
3775,1783,1,26,1,2,7
14276,1781,2,21,1,2,95
3500,2088,2,21,1,2,87
9874,2044,2,24,1,1,78
7535,2281,1,24,1,2,92
13848,1888,2,17,1,1,53
14092,2312,1,24,1,2,96
6171,1818,2,20,1,2,93
11687,1593,2,20,1,1,49
7704,1723,1,20,1,2,71
6151,2079,2,18,1,2,91
6059,1745,2,19,1,1,3
4536,2443,1,18,1,1,89
6090,1798,2,20,1,1,30
10074,2468,1,24,1,1,51
7195,2404,2,25,1,2,74
12346,2225,1,19,1,1,40
10945,1920,2,25,1,2,1
11262,1733,1,22,1,2,89
4532,2256,1,24,1,1,21
14450,1811,2,20,1,1,81
8796,1566,2,17,1,2,27
9680,1729,1,25,1,1,46
12841,1924,2,24,1,2,82
11429,1851,2,26,1,2,46
4618,1745,1,22,1,1,5
10012,1565,2,20,1,1,22
11477,2399,1,20,1,1,48
6841,2134,1,20,1,1,59
13927,1651,2,19,1,2,55
5403,1991,2,18,1,2,66
6060,2496,1,17,1,1,6
8459,2234,1,22,1,1,59
12150,1961,2,18,1,1,96
13724,1679,2,21,1,1,66
3972,2131,1,18,1,2,37
13984,2353,2,19,1,1,56
3357,2118,1,19,1,2,67
6782,1711,2,17,1,2,84
7532,1902,1,26,1,2,98
7330,1808,2,26,1,2,30
10227,2417,2,20,1,1,63
3293,2452,1,18,1,2,84
7511,1451,2,17,1,2,87
12925,1703,2,20,1,2,70
9534,1814,1,24,1,2,89
14545,2381,1,26,1,1,23
8338,1855,2,19,1,1,72
4632,1672,1,26,1,2,29
3659,2446,1,21,1,2,78
10972,2335,1,23,1,2,50
14954,1782,1,25,1,2,87
3430,1477,2,23,1,2,88
11915,2297,1,18,1,2,8
14264,1737,1,22,1,1,31
14287,2156,1,26,1,2,50
11001,1467,1,20,1,1,83
12487,1448,2,22,1,2,61
13520,2127,1,24,1,1,50
3789,2313,2,17,1,2,82
10912,2325,1,20,1,2,10
3617,2123,1,20,1,1,8
12520,1801,1,21,1,1,87
5135,1406,1,23,1,2,35
7327,1626,1,19,1,1,75
4415,2063,2,24,1,1,62
6090,2357,1,21,1,2,32
14037,2380,1,18,1,1,2
8624,2493,2,22,1,1,36
3579,2176,2,24,1,1,45
5442,2180,2,24,1,2,67
14474,1535,1,20,1,2,78
10094,2046,1,22,1,1,89
4881,1683,1,19,1,1,90
6403,2481,2,20,1,2,58
14434,2225,2,17,1,2,15
8105,2416,1,26,1,1,96
4797,2131,1,25,1,1,51
10820,2269,2,17,1,1,39
10566,2344,2,19,1,1,14
14212,2014,1,18,1,1,92
4158,1622,2,17,1,2,53
4598,2234,1,23,1,2,40
10376,1911,1,17,1,1,85
14899,1402,1,26,1,2,29
10468,1951,1,26,1,1,11
7566,2480,1,25,1,1,47
7272,1583,2,18,1,2,31
7724,2281,1,25,1,2,62
3386,1461,1,24,1,2,84
4237,2304,2,25,1,2,63
12121,1695,1,23,1,2,17
4914,1862,1,17,1,1,16
7192,1416,1,25,1,2,42
3191,2393,1,24,1,2,56
10927,2221,1,17,1,2,12
12096,2401,1,18,1,2,47
5652,2411,2,19,1,1,15
14086,1778,1,17,1,2,30
6174,2321,2,21,1,1,47
10386,1812,1,22,1,2,70
5970,2253,1,19,1,2,56
7243,1438,1,26,1,2,16
11478,1436,1,24,1,2,4
12375,1936,1,21,1,1,44
9534,1886,2,21,1,1,81
14467,2476,1,23,1,1,30
10931,2103,2,26,1,1,52
14682,1453,2,22,1,1,55
9836,2201,2,21,1,2,48
13309,2490,1,21,1,2,96
6605,2138,2,20,1,2,41
13128,2223,2,19,1,2,65
3252,1704,1,25,1,2,84
4523,1489,2,19,1,1,67
4077,2053,1,17,1,2,39
12028,1934,2,22,1,2,90
14451,1468,2,22,1,2,50
5121,1674,2,21,1,2,95
12413,1812,2,23,1,2,1
11577,2162,2,18,1,2,76
7474,1828,2,19,1,1,60
11185,2017,2,20,1,2,29
12214,2057,2,21,1,2,41
8732,2284,2,19,1,2,90
12211,2085,2,18,1,2,69
4395,1516,1,20,1,1,71
3672,2355,1,21,1,1,51
10607,1465,1,23,1,2,24
12752,2218,1,25,1,2,53
5254,2117,1,21,1,1,29
4975,1818,2,19,1,1,50
9781,2100,1,19,1,1,58
11180,2112,2,19,1,2,28
4276,2174,2,18,1,2,66
9455,2164,2,17,1,1,7
3988,2497,2,17,1,1,18
5145,1662,2,19,1,2,10
4656,2332,1,23,1,2,87
11078,2329,1,22,1,1,62
9350,2309,2,26,1,2,43
11112,1529,1,25,1,2,85
6602,2061,1,19,1,1,92
13347,2466,1,22,1,1,8
7523,1788,2,20,1,2,50
7025,1734,1,23,1,1,90
6220,1449,1,18,1,2,93
13281,2494,2,21,1,1,25
4183,1674,2,20,1,1,66
8442,2065,2,22,1,2,73
7165,1778,1,25,1,1,38
9577,1813,2,20,1,1,88
11130,1579,1,26,1,2,6
6818,2436,1,26,1,2,43
13140,1422,2,19,1,1,1
3256,2169,2,19,1,2,75
5654,1956,2,26,1,1,51
14634,1579,2,18,1,2,56
10477,1617,2,25,1,1,13
6215,2008,1,17,1,2,54
4475,2106,2,19,1,2,70
11706,1504,1,25,1,2,19
3693,2105,1,22,1,2,61
6260,1844,1,17,1,2,65
11999,1486,1,20,1,1,23
10535,1733,2,23,1,1,48
9032,1711,1,17,1,2,38
3092,2245,2,22,1,1,32
7181,1589,2,20,1,2,73
12497,1677,2,17,1,2,57
8975,1645,2,19,1,1,19
7825,1420,2,25,1,2,66
10725,2120,1,25,1,2,82
14101,2100,1,23,1,2,83
7327,1920,1,18,1,2,98
6702,1682,1,22,1,2,56
5535,1712,2,26,1,1,80
14167,2105,2,19,1,2,60
4940,1542,1,19,1,2,73
11209,2238,2,24,1,1,73
3709,1785,1,20,1,2,94
13592,2027,1,22,1,1,31
9862,1713,2,21,1,2,2
9600,1537,1,18,1,2,59
12447,2237,2,23,1,1,21
10143,1904,1,26,1,1,57
13721,1536,1,20,1,1,6
6548,1711,1,25,1,2,55
6391,2025,1,23,1,2,42
9495,1934,2,26,1,1,15
5372,1432,2,23,1,2,71
14585,2169,2,23,1,2,97
8694,2411,1,26,1,2,44
6871,1483,2,21,1,1,46
6700,1647,2,20,1,2,60
10516,2054,1,20,1,1,45
12215,2092,2,26,1,2,60
4632,1675,2,25,1,2,37
11443,1503,1,21,1,1,39
13572,1693,2,22,1,1,42
12585,2418,2,25,1,1,79
12864,2090,1,19,1,2,93
14132,2004,1,22,1,1,67
4440,2259,2,18,1,2,71
5411,1841,1,25,1,2,92
4544,2005,1,19,1,1,95
8658,2027,2,24,1,1,8
5764,2428,1,17,1,2,4
7331,1497,2,24,1,1,99
6716,2010,1,18,1,2,36
5120,2021,1,19,1,2,93
3877,2274,1,18,1,1,65
13150,1662,1,22,1,1,56
4219,2236,2,23,1,2,7
7005,1808,1,25,1,2,67
12597,1762,1,26,1,1,93
5706,2151,1,24,1,2,52
13145,1936,2,24,1,2,26
7302,2315,1,19,1,2,17
14195,2382,2,26,1,1,70
5602,1863,1,26,1,1,21
10209,2237,2,26,1,1,48
12143,2097,2,20,1,2,14
8475,2424,1,26,1,2,33
11913,2150,1,26,1,1,28
12787,2163,1,23,1,1,54
9700,2412,1,26,1,2,29
7509,1667,2,23,1,1,28
8589,1636,2,20,1,1,93
13176,1868,1,25,1,1,47
12007,1714,2,18,1,1,37
14827,1564,2,21,1,2,79
3937,1965,1,23,1,1,45
5276,2379,2,22,1,1,37
11869,1868,2,22,1,1,5
5052,1772,2,21,1,1,49
6987,2077,2,19,1,2,49
3516,1894,2,26,1,2,97
4325,1472,1,26,1,1,36
13844,1900,1,23,1,1,68
3099,2135,1,24,1,2,76
11458,1491,2,19,1,2,59
6173,1576,1,20,1,1,96
8783,1988,1,23,1,1,92
7766,1947,1,17,1,1,53
6043,2185,1,25,1,2,84
10329,1502,1,26,1,1,27
12764,2149,1,18,1,2,59
3852,1477,2,24,1,1,53
6722,2037,2,18,1,1,64
3260,1893,2,21,1,2,71
11908,1823,1,24,1,2,71
8831,2478,1,20,1,2,93
11532,2460,1,21,1,2,91
13966,1951,2,26,1,2,64
4425,1891,2,17,1,2,14
6292,1449,1,23,1,1,40
3428,2375,2,22,1,1,77
13019,2396,1,19,1,1,27
4992,1464,1,26,1,2,44
9216,2214,2,19,1,1,4
7528,2281,2,17,1,2,80
10207,2496,2,25,1,2,66
4633,2068,1,21,1,1,58
7912,2415,2,17,1,1,87
10944,1592,2,20,1,2,100
6579,2328,2,25,1,2,99
6773,2204,2,20,1,2,40
4151,1467,1,19,1,1,6
8488,1578,1,23,1,1,74
14189,2474,1,18,1,1,32
4170,2399,2,20,1,1,44
3379,2240,2,23,1,1,58
13585,2455,1,19,1,2,59
10836,2054,1,22,1,1,62
3212,2110,1,20,1,2,55
6489,1444,2,19,1,2,33
6911,2007,2,22,1,1,27
9021,1757,1,19,1,2,34
3938,1829,1,18,1,2,82
4514,2354,1,26,1,1,52
12548,2180,2,18,1,2,3
9754,1600,2,26,1,2,49
13943,1450,2,21,1,1,80
3746,2240,2,26,1,2,59
9812,2043,2,17,1,2,8
9435,2367,1,26,1,1,19
12030,1628,1,25,1,1,97
9035,2401,1,22,1,1,69
10652,2369,2,26,1,2,54
13431,2247,2,19,1,2,33
10294,1491,2,26,1,2,95
4475,2037,2,21,1,2,83
5497,1516,1,20,1,1,21
10554,2158,1,21,1,1,11
9652,1711,2,25,1,1,85
13299,1784,2,26,1,1,79
3708,2144,1,18,1,1,98
13140,2121,1,19,1,1,38
14056,1479,2,19,1,1,25
3529,2282,2,17,1,1,92
7541,1927,1,19,1,1,100
7377,2174,2,26,1,1,86
6669,2112,2,21,1,2,34
4187,1923,2,23,1,1,78
8237,1900,2,26,1,1,2
7979,2242,2,20,1,1,20
10494,1866,1,23,1,2,56
9471,1824,1,24,1,2,96
14650,1468,2,21,1,2,52
6099,2004,1,22,1,1,54
8048,1671,2,18,1,2,93
4557,1459,1,26,1,2,79
7219,1783,2,22,1,1,84
10132,2003,1,19,1,2,17
9984,2123,1,17,1,1,50
9190,2045,2,18,1,1,54
14370,2280,2,20,1,2,9
5012,1651,1,21,1,2,76
10501,1478,2,17,1,2,50
14567,1439,2,18,1,1,68
4650,1789,1,18,1,2,60
8877,2072,1,25,1,2,98
4081,1738,2,24,1,2,12
7387,1584,2,20,1,2,20
3124,1994,2,26,1,1,9
6498,1842,1,26,1,1,98
11342,1998,1,18,1,1,96
13648,1931,1,19,1,2,98
4001,2157,2,22,1,2,9
9169,1947,2,21,1,2,11
9131,2456,2,26,1,2,93
14155,1449,1,22,1,2,46
6333,2162,1,24,1,1,49
6035,1494,1,21,1,2,17
12829,2385,2,23,1,2,19
8904,1961,2,17,1,2,69
3838,1517,2,19,1,1,17
13067,2421,2,24,1,2,27
13320,2022,2,26,1,1,12
5251,1911,1,22,1,1,24
8890,1750,2,21,1,2,68
10143,1643,1,23,1,1,43
4324,1753,2,23,1,2,67
11995,2164,1,24,1,2,14
7469,1580,2,18,1,2,10
8391,1666,2,17,1,1,67
13115,2305,2,26,1,1,93
6904,2398,1,19,1,2,15
6392,1885,2,24,1,2,67
5435,1543,2,26,1,2,96
9436,1932,1,26,1,2,8
12944,1593,1,23,1,1,96
6792,1476,1,24,1,1,85
9333,1414,1,22,1,1,57
12912,1885,1,19,1,1,11
7905,2032,1,24,1,1,3
14785,1769,1,17,1,2,20
3965,2233,1,26,1,1,79
9145,2069,1,24,1,2,9
10893,2453,2,17,1,1,36
10582,1508,2,25,1,1,59
4480,2247,1,19,1,2,20
5231,2406,1,19,1,2,8
3369,1775,1,22,1,2,30
9784,2094,2,25,1,1,26
7269,1915,1,18,1,2,92
4869,1418,2,24,1,1,52
11824,2054,2,26,1,1,27
6584,1694,2,17,1,2,9
4391,1605,1,23,1,1,32
6877,1984,2,21,1,2,51
5430,2116,2,21,1,2,17
10332,2441,1,17,1,1,49
11194,2034,2,22,1,1,21
12419,1561,2,18,1,1,34
8424,1663,1,20,1,1,48
6863,1881,2,23,1,1,76
8863,2394,2,22,1,1,51
10124,2070,2,20,1,1,97
5773,2396,2,25,1,1,98
10714,1811,2,25,1,2,59
12727,1719,1,17,1,2,19
12249,2279,2,19,1,2,51
8791,1580,1,18,1,2,6
4291,2232,2,25,1,1,76
5861,2241,2,21,1,2,72
14043,1771,1,23,1,1,65
11052,1863,1,24,1,2,36
6700,2185,1,17,1,1,2
9302,2141,1,22,1,2,100
6412,1590,1,25,1,2,47
9089,1874,1,21,1,2,30
7153,1781,2,23,1,2,100
12719,1687,2,19,1,2,20
3086,2392,1,26,1,1,90
5467,2377,1,19,1,1,80
9996,1619,2,22,1,1,56
6328,1489,1,18,1,1,91
4976,1892,2,26,1,1,13
6340,2059,1,19,1,1,97
8307,1898,2,18,1,1,43
13645,1966,1,23,1,1,17
6340,1812,1,18,1,1,2
3826,2300,1,22,1,1,7
5984,1750,1,21,1,1,7
10090,1558,2,20,1,1,61
6043,1461,1,20,1,1,28
3404,1743,2,26,1,1,73
13555,2020,1,23,1,2,21
6359,2389,1,26,1,1,58
14260,1521,1,26,1,2,1
11353,1744,2,25,1,2,49
4294,1866,1,22,1,1,35
14775,1543,1,21,1,2,5
5194,1751,2,18,1,1,37
8192,1807,2,22,1,1,14
10639,2337,1,23,1,2,45
7903,2007,1,17,1,2,69
3997,2019,2,24,1,1,48
9641,2352,2,26,1,2,18
5707,2313,2,26,1,2,80
10821,2182,1,25,1,1,3
11554,1760,1,17,1,1,1
14516,2481,1,22,1,2,30
12355,2230,2,26,1,1,63
3266,1644,1,17,1,2,87
11087,2399,2,19,1,1,14
12505,2422,1,18,1,1,14
12861,1764,1,26,1,2,43
14862,1488,1,24,1,1,23
14541,1981,1,21,1,2,96
10070,1986,1,26,1,2,83
7806,1475,2,20,1,2,99
5641,2260,2,24,1,1,45
13806,1735,1,25,1,1,53
7928,1668,2,26,1,1,60
12786,2270,1,18,1,2,7
13579,1478,1,19,1,2,88
10138,2500,2,25,1,2,16
14759,1918,1,25,1,2,75
13344,2101,1,19,1,2,6
14605,1658,2,26,1,2,34
13547,2274,1,22,1,2,38
6705,2364,2,17,1,2,28
