wage,costliving,gender,age,branch,userexperience
13030,1199,1,19,1,7
11536,1439,1,19,1,93
5497,1911,1,19,2,47
12350,1583,2,18,1,37
8169,1451,2,20,2,86
9484,1573,1,19,1,8
3672,1880,2,19,2,32
8296,1025,2,17,2,69
11169,2062,2,20,1,14
3133,1663,2,18,1,58
3509,1223,1,17,1,81
9463,645,2,18,2,29
3262,1398,2,19,1,87
3045,1923,1,19,2,86
5757,912,2,19,2,21
3609,1116,2,20,2,5
10712,1473,1,18,2,71
10289,1658,2,19,2,12
7501,1014,2,18,1,3
6298,2004,1,21,1,64
13801,1807,2,19,1,95
9507,768,1,17,1,23
11627,1058,2,20,1,37
14718,1086,2,17,2,55
3168,1312,1,17,2,13
13701,1153,1,17,2,93
10832,1762,1,18,1,96
5807,1221,1,17,2,31
8372,2075,2,20,2,79
13118,2021,2,18,1,47
4125,620,1,19,2,27
10049,1209,2,17,1,46
7818,866,2,18,2,82
11777,1388,2,19,2,2
12458,914,1,17,1,79
4248,1224,2,18,1,53
3825,1130,2,17,2,54
6947,1582,2,20,1,14
4763,805,1,21,1,11
3371,852,1,20,2,84
8041,1303,2,17,2,87
9330,1617,2,19,2,16
13074,1456,1,19,1,34
9772,1897,2,19,1,65
12341,1482,1,19,2,80
9107,1081,1,21,1,91
7647,1205,2,21,1,41
13477,925,1,17,2,66
10100,912,2,18,1,21
9304,1539,1,21,1,82
5349,1564,2,19,2,39
14530,1445,2,21,2,93
12102,1426,1,20,2,59
7881,2076,2,19,1,65
4341,704,2,18,2,53
3012,1948,2,18,2,41
9838,1800,1,19,2,22
5895,1081,1,17,1,44
13890,1468,1,18,1,47
10472,738,1,17,1,15
10988,644,2,21,1,47
13946,1113,2,17,1,74
14491,1435,2,21,1,61
7374,714,2,19,1,45
14088,1676,2,20,2,44
14296,1799,2,17,2,4
8898,1429,1,18,2,98
14725,783,1,17,1,52
12933,1168,1,18,1,64
7692,1465,2,21,1,74
8091,914,2,17,2,83
5671,1766,2,20,2,87
8685,1743,2,17,2,80
12863,1224,1,19,2,62
6876,1835,2,19,2,3
5630,696,1,19,2,15
9716,1203,1,20,2,1
11427,1801,1,19,2,33
7962,1027,2,17,2,15
3248,1510,2,21,1,23
14734,969,2,17,2,88
8707,1910,1,17,2,89
4979,2024,2,20,1,37
9693,1533,2,17,1,3
5738,1852,2,17,2,30
8255,2054,2,20,2,62
10330,1030,2,17,2,79
5820,1551,2,17,1,18
5517,1641,1,21,2,68
8753,1138,2,21,1,21
6812,721,1,17,1,90
11327,1166,1,19,1,52
3711,1039,2,18,2,77
8180,1949,2,18,1,98
9160,1626,2,19,1,54
10932,814,1,20,2,34
8736,1610,2,19,1,31
3491,1870,1,20,1,53
5602,1329,2,17,2,62
13065,1386,2,19,1,73
6728,1374,1,21,1,27
3934,1627,2,17,1,90
13279,612,1,18,1,59
5178,1650,2,19,1,13
14057,2037,2,20,1,60
4011,834,1,21,2,32
5459,1186,2,17,1,76
5283,2049,1,17,1,43
11612,1039,1,20,1,4
5025,1006,1,19,2,89
4935,1549,2,19,2,27
6939,1840,1,21,2,21
6009,1672,2,17,1,38
3512,616,1,19,2,83
4666,1964,2,18,1,86
8236,1131,2,17,2,15
7453,1567,2,18,2,53
8751,811,1,21,1,8
9179,2059,2,21,1,8
10035,983,2,20,2,23
9334,2077,2,18,1,80
3286,1498,1,21,1,37
8116,775,2,17,2,1
7775,1859,1,21,1,6
11503,718,2,18,2,44
12817,1885,2,21,1,21
9544,1526,2,18,2,3
14039,1229,2,19,2,77
12086,1343,2,20,1,83
14558,1653,1,18,1,14
5839,1490,1,18,2,7
7671,1421,2,17,1,26
10258,821,2,19,1,39
13411,1193,2,19,1,89
4771,989,1,19,2,5
9730,1259,1,21,2,35
12317,1107,2,17,1,93
9227,652,2,19,1,33
13347,1056,2,18,2,54
13103,1064,1,17,2,85
4985,603,1,20,1,60
6064,1451,2,18,2,81
13477,1330,2,21,2,96
8002,754,1,17,2,33
11808,1082,1,19,1,15
8872,2044,2,18,2,61
3097,923,1,17,2,1
7530,2025,2,20,2,48
3982,756,2,20,1,4
12267,719,1,20,1,56
12233,827,2,18,2,25
13334,1188,1,19,1,23
6105,735,2,20,1,12
12393,1538,1,21,2,13
4380,849,1,19,2,50
5391,701,2,17,1,54
6462,1788,1,19,1,48
3272,1786,1,17,2,44
12313,1418,1,18,2,37
11864,1821,2,19,1,2
10466,1342,2,18,2,68
9314,1863,2,17,2,91
11956,1535,2,21,1,4
3191,1566,1,17,1,7
5103,1829,1,17,1,82
9427,1631,2,21,2,14
6475,1398,1,17,1,64
11511,2060,1,21,1,33
14614,713,2,19,1,84
11720,1291,1,18,2,23
3583,1129,1,19,1,81
5414,1004,2,21,1,15
5734,1968,1,17,2,98
14923,1748,2,19,1,60
10249,1167,2,20,1,92
3351,918,1,20,2,37
11002,1893,2,19,1,71
5909,1348,2,18,1,67
5047,1485,2,18,2,95
3048,2081,2,17,1,46
11374,1319,1,18,2,25
3060,1885,1,19,1,4
6325,1319,2,21,2,50
7045,1497,2,19,1,81
14447,1567,2,20,2,55
11498,905,2,21,2,82
13082,1839,2,19,2,80
5117,1525,2,21,2,73
9936,1953,1,17,2,71
8860,1318,1,17,1,70
5093,2040,2,18,2,57
6693,1377,2,19,1,48
3913,1650,1,17,1,39
13159,1692,1,20,1,90
5524,969,1,18,1,36
6125,1093,1,20,1,65
12603,1321,2,21,2,50
9261,1301,2,18,2,44
8201,829,1,17,2,18
6933,621,1,21,1,64
13332,1887,1,18,2,23
8791,1720,1,19,1,32
11977,1936,1,20,1,25
14947,650,1,20,2,42
9361,1134,2,20,1,7
10079,1831,1,20,2,23
3417,1009,2,17,1,21
9391,1540,1,18,1,13
14243,1523,2,18,1,84
6132,629,1,17,1,52
12106,714,1,19,1,85
6417,918,1,18,1,81
5904,1205,1,17,2,23
3564,623,2,17,1,62
13363,888,2,18,2,73
9726,1606,2,19,2,25
5997,2040,1,18,2,3
12134,2080,2,20,2,1
5756,1982,1,20,1,28
7963,1601,1,18,2,37
5070,2098,2,19,1,98
14553,2093,2,17,2,82
14591,1160,1,18,1,34
13126,1042,2,18,2,40
14818,1809,1,18,2,6
5447,1441,2,21,2,8
8957,2055,1,20,2,32
9911,1548,2,21,1,13
13387,963,2,21,2,72
11508,1128,2,18,2,98
10821,1553,1,18,2,66
9392,1492,2,21,1,95
13416,813,2,18,1,7
11729,990,1,21,1,74
9998,946,2,17,1,32
12576,1986,1,17,1,73
6409,1714,2,18,1,3
9461,2062,2,21,1,66
10796,663,2,20,2,60
6964,1979,1,20,1,49
11377,825,1,19,2,12
5776,1717,2,19,1,75
4266,699,2,19,2,21
3014,754,1,18,2,76
12168,1813,1,20,1,5
6672,1153,2,17,2,53
3742,1532,1,21,1,11
12808,1277,1,17,2,16
6699,612,2,20,1,9
10778,824,2,21,2,47
3397,2085,1,18,1,15
6970,1570,2,21,1,64
6790,792,1,20,1,33
12340,1698,1,19,1,74
4497,930,2,20,2,63
4636,1659,2,19,1,90
6844,895,1,20,2,13
6267,1844,1,21,1,57
14101,1775,1,19,1,7
6059,699,2,18,1,43
9039,1044,1,17,1,97
12769,1937,1,18,1,36
14395,1921,2,18,1,12
3943,1983,1,17,2,12
13892,1219,2,20,1,93
11325,999,2,20,1,42
13263,841,2,20,2,15
9449,1478,2,21,2,89
4450,1556,2,21,2,79
3927,733,1,20,1,54
4590,641,2,19,1,6
6226,1841,1,20,2,57
7224,1262,1,20,2,66
14362,1755,1,17,1,96
4227,1595,2,20,1,4
6843,1753,2,21,1,98
8473,861,1,19,1,13
10025,713,2,17,1,35
14940,644,2,20,1,63
12272,1039,1,21,1,32
7774,1140,1,19,1,38
5810,1613,2,19,1,37
12970,1898,2,21,1,100
13230,782,1,21,1,83
4783,617,1,21,1,94
5555,823,1,17,1,23
9501,1782,1,19,1,30
11812,2097,2,17,2,24
8033,1643,1,20,2,9
10780,1309,1,21,2,65
3423,1108,1,18,1,14
6283,999,1,18,1,34
11410,904,1,21,1,52
12512,2078,1,19,1,6
8218,719,2,19,1,43
3780,2079,2,21,1,84
14773,661,2,17,1,47
3474,1280,2,18,1,13
4021,1064,2,20,1,9
5024,746,1,18,2,3
7682,635,2,19,1,41
4550,1469,1,19,1,36
5927,893,2,17,1,8
14324,1693,1,21,2,28
10581,829,2,21,1,63
13649,1991,2,19,1,25
4738,1549,1,18,1,60
3548,1722,1,18,2,2
14847,1793,1,21,1,9
9921,688,1,18,1,100
5791,875,1,18,2,46
10525,1522,1,20,1,64
9563,2006,1,18,1,3
13583,932,2,18,2,42
7872,1827,1,19,1,64
6394,1110,1,21,1,47
11138,1974,2,17,1,17
3168,1758,2,20,1,62
9873,927,2,21,1,26
11356,1116,2,19,2,37
5049,817,2,17,2,92
13871,908,2,19,1,55
13204,2084,2,17,1,19
14437,1240,1,18,2,76
5258,878,1,18,1,1
4138,1509,1,18,1,33
14978,1233,2,21,1,89
3665,920,1,19,1,99
12519,1127,2,17,2,61
12776,662,1,19,2,85
7910,1323,2,20,2,56
11669,1639,1,19,1,70
4277,1610,1,20,2,99
6689,1662,1,17,1,7
11519,684,1,21,2,10
11018,1904,2,20,1,21
12738,643,2,21,1,22
12425,1664,1,18,2,47
11047,2059,2,21,2,75
4921,654,1,17,1,15
5791,1700,2,17,1,52
3382,789,1,17,2,64
11144,995,2,21,1,15
12163,942,2,19,1,86
6108,808,1,20,1,68
14059,768,2,20,2,12
14139,1472,1,21,1,9
10787,1169,1,19,1,4
12915,1712,1,20,1,84
3119,1588,1,20,1,86
10551,796,1,20,2,74
8929,968,2,21,2,1
11132,738,2,17,2,89
13574,1956,1,19,1,39
12233,996,1,21,1,99
6222,1302,1,19,1,31
14821,1163,2,19,2,58
10880,1874,1,21,2,70
11622,1906,1,17,2,94
9813,637,1,21,2,36
10832,2051,2,19,1,86
3959,758,2,17,2,73
12018,2076,2,18,1,53
11045,1138,1,20,1,64
6516,982,1,17,1,9
7441,1427,1,17,2,93
10872,1382,2,21,1,22
5730,639,1,17,1,4
3003,1465,2,20,2,84
13770,718,1,19,1,86
7757,776,1,17,1,35
14295,842,2,20,1,42
11413,855,2,18,2,29
12498,796,2,20,2,22
3160,1488,2,18,1,36
6639,1943,1,19,2,62
7747,1215,1,20,1,66
13241,1035,2,17,1,100
12652,1662,1,17,2,18
7938,615,1,20,2,41
10487,640,1,21,1,69
7264,1927,2,18,1,32
6772,765,1,18,1,74
14754,1294,1,18,1,4
11999,931,1,21,1,95
9080,1907,1,18,1,70
14939,1566,2,20,2,57
10748,633,2,20,2,55
7298,1035,2,21,1,45
11894,1602,2,17,2,89
10109,832,2,17,2,66
3309,1436,2,17,1,27
4017,1554,2,17,1,86
11459,1997,2,19,2,68
7752,1938,1,18,1,97
4639,1411,1,19,2,30
9329,653,2,17,1,92
5694,1115,2,21,1,49
7841,1401,1,20,1,100
4780,1359,2,20,2,41
9212,1130,1,20,2,36
14416,1744,1,19,2,30
10949,1249,2,18,1,12
12036,1069,2,20,1,87
9719,1307,1,19,2,5
13637,1998,1,17,2,24
3677,1067,1,19,2,65
13853,1105,1,19,2,37
7725,777,2,21,2,98
7362,1034,1,21,1,34
9071,1937,2,21,1,8
10698,809,2,17,1,16
5651,1036,2,17,2,79
10288,655,2,18,2,41
14256,1596,1,19,2,95
6908,1092,2,20,2,60
10940,631,1,19,1,65
7972,1422,2,17,2,45
4056,1120,1,21,2,97
13827,1208,1,17,2,31
6027,1575,2,21,2,82
10471,757,2,17,1,91
8323,2100,2,17,2,8
4292,932,2,17,1,24
10094,1805,1,20,1,14
13415,663,1,21,2,53
11434,1240,2,20,1,31
6899,1726,1,19,1,79
3314,1308,2,21,2,41
10823,1137,1,17,1,80
8977,994,2,20,1,50
14632,1152,2,21,1,27
3335,1848,2,19,2,38
4959,1119,1,21,2,55
6574,1633,1,21,2,11
9770,1344,2,17,1,54
13633,1210,2,19,2,33
13159,1292,1,20,2,89
11631,2091,1,18,2,55
9086,1189,1,20,2,19
11733,1242,2,19,2,13
4673,1474,1,18,2,39
4778,2096,1,21,1,23
9665,859,1,20,1,46
13011,1005,1,17,1,86
6687,2088,1,21,2,96
3583,1233,1,20,2,65
14229,1539,2,17,2,11
8609,1359,2,19,2,100
8057,1378,1,17,2,20
5920,1234,2,20,1,55
5568,1860,1,19,2,9
7199,954,1,20,1,16
14773,628,1,18,1,3
9672,1438,1,21,1,89
13229,1060,1,21,2,75
5291,1722,1,18,2,84
12998,1433,1,18,1,18
11758,986,1,17,2,23
10412,1088,2,20,2,79
12847,1409,2,20,1,24
5797,1944,1,19,2,67
12233,682,2,17,1,28
4217,1183,2,20,2,64
7979,1118,2,18,1,7
12423,815,2,20,2,97
8712,1798,2,21,2,58
4931,1263,1,19,2,6
12843,1592,2,21,1,97
9647,1653,1,18,2,43
4860,1979,1,21,2,4
4929,1568,1,18,1,40
13516,1697,1,17,1,3
5960,1347,1,18,1,12
4904,829,2,17,2,39
6836,1257,2,19,1,49
7327,1494,2,21,1,22
14620,1268,1,19,1,71
3934,1398,2,21,2,77
4408,803,1,20,1,46
5863,1436,1,20,2,40
12589,687,2,17,1,44
6686,1917,2,19,1,67
10537,1802,1,17,2,26
6912,1985,2,17,2,70
12556,770,2,21,1,23
10820,1494,2,18,2,94
8860,885,1,19,2,81
4174,1126,2,19,2,80
8972,839,2,18,2,10
12007,1727,1,19,2,76
7089,2041,2,19,2,87
6121,1788,1,19,1,44
7513,1722,1,21,2,29
12197,1573,1,18,1,25
8532,1312,2,21,1,90
12986,809,2,18,2,9
6151,1308,2,19,2,62
8391,1473,1,18,2,10
14434,1853,1,18,1,2
11343,1391,1,18,2,35
8321,2011,1,19,1,85
10003,1485,1,21,1,19
8972,876,2,20,1,22
10630,1726,1,18,2,2
10615,1412,1,19,1,33
11908,1928,1,20,2,57
4428,1185,1,21,2,7
5490,1186,2,18,2,99
5669,1995,2,18,2,43
14365,1459,2,18,2,41
5734,1121,1,21,1,91
11079,1507,1,19,2,72
3986,1415,1,21,2,34
6103,1915,2,20,2,1
3930,1858,2,20,2,20
10703,788,2,18,2,97
12203,1490,2,20,2,32
6494,1767,2,18,2,14
6724,1823,1,21,2,16
9891,1471,2,17,2,60
6148,976,2,21,1,81
13623,1428,2,21,2,55
6551,640,1,18,1,21
11379,1621,2,18,1,93
13289,801,1,21,1,69
14846,1747,2,19,2,4
3094,1540,1,19,2,43
12504,1253,2,18,1,89
12233,1089,2,17,2,61
7861,1569,2,21,2,42
9756,1523,1,21,1,13
10163,1245,1,17,1,15
6598,921,2,18,2,50
3138,1438,1,17,1,92
8875,1495,2,20,2,32
4740,1473,2,20,2,46
4856,616,1,19,2,74
7905,1301,2,20,2,25
14490,926,1,20,1,1
11349,1391,2,21,2,29
9057,792,2,20,1,18
11431,2017,2,18,2,59
3868,1731,1,20,2,3
11643,1098,2,17,1,12
8846,1693,1,17,2,98
14771,1034,1,20,1,33
9546,654,2,20,2,38
6138,1356,1,19,2,80
10680,713,2,18,2,6
3296,1204,1,19,2,90
6349,1931,2,19,2,37
12453,1929,1,20,2,89
8390,882,2,17,2,47
6671,1246,2,17,1,84
5381,1526,1,18,2,2
10019,1772,2,18,2,22
13047,1080,1,18,1,55
5746,1230,1,21,1,34
10396,819,2,19,2,3
8676,1880,2,19,2,78
6531,1182,1,20,2,48
3143,757,2,20,1,45
5244,1723,2,18,2,23
5584,1923,1,19,1,44
4921,1720,1,18,2,86
6533,1904,1,18,2,65
8043,1796,1,20,1,50
3258,1581,1,18,1,6
13174,1193,2,18,2,40
11598,1864,2,17,2,50
12362,911,1,17,2,2
7239,1938,1,20,1,19
3820,802,2,20,1,38
14830,1257,1,21,1,98
9888,1235,1,17,1,59
14545,853,2,17,1,34
5176,1726,2,17,2,64
8204,676,2,21,1,17
8457,601,2,18,1,41
6053,684,2,20,1,37
14612,1611,1,19,1,87
6500,1447,1,19,2,19
4052,1169,1,20,2,71
8525,1967,1,18,2,16
4444,773,1,20,2,9
14588,1136,1,18,1,82
12550,718,1,20,2,5
8796,839,2,19,1,29
7643,1722,2,18,2,62
13322,807,1,21,2,25
4281,1259,2,20,1,2
7814,1945,2,21,2,20
3264,1020,1,21,1,45
4273,1247,2,19,1,91
3432,1745,1,19,2,45
5470,743,2,19,1,47
14416,2026,1,20,1,33
13483,1927,1,19,1,74
8954,1776,2,21,1,68
10108,922,1,21,2,56
4691,2007,1,17,2,28
13960,704,2,21,2,85
3901,1225,1,18,2,1
12960,1801,2,17,1,42
14820,1542,2,21,2,30
10301,1334,1,20,1,77
10343,1439,2,19,2,99
8530,1144,1,18,1,46
9353,636,1,20,1,75
9568,1852,2,18,2,89
8585,1356,1,18,1,3
8463,1109,1,19,2,98
13393,1698,1,18,2,85
14396,1919,1,18,2,68
3731,601,2,19,2,33
12437,872,1,18,2,28
9662,617,1,18,1,35
13908,2060,1,17,1,49
13777,1173,2,18,2,30
7520,1068,2,17,2,51
6836,1084,2,20,2,93
12421,1408,1,20,2,45
7123,646,2,19,1,62
5835,864,2,18,1,97
14422,1006,1,17,2,90
14016,871,1,20,1,90
7769,865,1,21,2,61
11598,874,2,20,2,64
13254,993,2,18,1,32
14648,987,1,17,1,35
5960,1317,1,17,1,67
14870,772,2,18,1,22
6246,1359,1,20,1,73
14042,806,2,20,2,8
10817,1082,1,20,1,30
6584,906,2,17,1,32
5029,839,2,20,1,19
6411,1965,1,20,2,5
7283,738,2,21,1,76
8366,1263,1,19,2,57
3284,870,2,18,2,66
8129,1583,1,17,1,67
12750,776,2,17,2,79
7757,1464,1,19,1,98
14725,606,2,17,1,65
11556,1611,2,17,1,55
12712,764,2,20,1,97
4336,611,1,18,2,94
11449,1616,1,17,2,4
5246,2088,2,19,2,38
6535,1197,2,17,1,45
5580,862,2,20,2,46
9879,746,2,20,2,50
8776,614,2,17,2,58
6543,955,2,18,1,87
5453,1822,2,21,2,53
7373,1952,2,17,1,84
14105,1332,1,17,2,91
12506,1692,1,21,1,93
13793,2070,2,17,1,6
12989,1791,2,20,2,69
9530,1554,1,21,2,36
7171,1326,1,17,1,65
4946,1742,2,21,2,65
8529,1107,1,20,2,72
7077,1432,2,21,2,14
11975,1909,2,19,1,95
13604,1404,1,18,1,4
13077,1237,2,20,1,18
4349,1958,1,17,2,54
9979,1559,1,17,2,49
9568,843,2,21,2,78
10900,1196,2,21,2,27
5956,2023,1,19,2,20
9714,688,2,21,1,68
6483,963,2,21,2,9
8212,1484,1,21,2,69
12841,1842,2,20,2,93
11753,631,2,19,1,25
4984,1427,2,19,1,75
6638,1535,2,17,1,93
8695,1352,2,18,2,96
5969,1450,1,20,1,2
3151,1634,2,20,2,55
12134,1866,2,18,2,93
7470,1071,1,17,1,99
7674,1415,2,20,2,89
6966,1067,1,17,2,3
11054,2013,1,20,1,86
6740,1232,1,21,1,10
4032,1995,2,19,2,29
12553,1520,1,17,2,80
8124,732,1,17,1,28
3638,907,2,21,1,37
6414,1567,1,17,1,35
11034,1776,1,21,1,82
14267,877,1,17,1,54
14727,1977,1,21,1,47
14684,1493,2,20,2,67
10673,1083,2,17,1,61
4834,1293,1,21,1,56
5633,1149,2,18,2,47
13430,1130,2,21,2,55
12592,1462,2,20,2,65
3998,1488,1,17,2,7
14478,1398,1,20,2,3
4187,654,1,18,1,13
10400,802,1,17,1,17
4138,1187,1,20,2,50
6813,938,2,21,2,70
5204,1095,2,17,1,56
11675,1961,1,20,2,71
11616,611,2,19,2,63
8837,859,2,17,2,86
8218,2079,1,21,2,94
12574,2041,2,18,2,41
11425,1893,2,20,2,30
11275,895,1,19,2,31
11273,1839,1,17,2,28
8038,1194,1,20,1,15
8036,1169,2,19,1,19
3775,1491,2,17,1,59
10101,2085,2,20,2,97
4984,1871,1,18,2,9
9724,1836,2,19,1,2
9286,1090,2,18,1,50
12026,1362,2,18,1,22
13570,726,2,18,1,67
6864,1748,2,20,1,37
4542,660,2,21,1,21
8856,1703,1,21,1,33
6372,793,1,18,2,29
3614,920,2,21,1,40
9734,1606,1,20,1,79
10296,886,1,21,2,74
12551,1223,1,20,1,62
6556,2084,2,20,2,97
14238,1647,2,18,1,19
10365,1100,2,17,1,47
8353,1720,1,20,2,56
3547,1164,1,20,1,26
10669,1597,2,17,2,38
8846,1008,1,17,2,94
3822,1975,2,17,1,24
9906,1246,2,19,1,53
7947,1452,2,17,1,42
11109,823,2,19,1,71
4589,701,1,18,1,5
10337,2021,2,20,2,20
13872,701,2,20,2,4
9496,1332,1,21,1,14
7307,2088,1,19,1,4
3183,1029,2,19,1,4
10556,1806,2,17,2,28
12067,647,2,20,2,49
3447,1333,2,19,1,36
4590,1354,2,21,2,60
13100,651,1,19,1,59
5248,1762,2,19,1,100
8489,1647,1,18,1,57
11794,2052,2,17,1,59
3174,1354,2,20,2,6
6701,1119,1,18,2,35
11457,874,2,19,2,1
7170,1165,1,18,1,59
6187,1284,2,21,1,87
3836,1826,1,20,1,91
13397,666,1,18,2,18
5994,1485,2,17,2,84
3117,1241,1,19,2,100
9514,1377,2,21,1,52
11701,1459,2,18,2,4
7727,1840,1,19,1,81
5769,1252,2,21,2,63
4048,799,2,21,2,42
9705,1625,2,19,2,76
13203,1946,1,19,1,69
12696,1795,1,20,1,60
11866,1193,2,17,2,15
14490,2033,1,18,2,51
9310,1044,2,17,2,92
6038,1204,2,17,2,98
6757,1173,1,17,2,55
4578,2024,1,18,1,88
8142,1184,2,19,2,79
9370,1223,2,20,2,90
12433,1837,2,18,1,18
5798,1857,2,17,2,73
13884,1566,2,19,1,60
11675,913,2,19,2,24
13950,2025,1,17,2,55
6965,1746,1,20,1,15
8294,1709,2,20,1,78
11528,1178,2,19,1,50
14516,1580,2,19,2,57
7724,2030,1,20,1,53
13260,1262,2,19,2,81
14405,890,1,18,2,3
13379,1796,1,18,1,76
12632,2068,1,17,2,39
7566,1491,1,21,1,61
14575,2042,2,17,1,95
14829,1283,1,19,2,56
12160,1297,2,21,2,22
11800,603,2,18,2,19
8712,682,1,21,2,97
7537,1768,2,18,1,88
10409,815,1,21,2,75
14212,615,2,20,1,100
3517,1913,2,21,2,53
11764,1697,2,20,2,61
10198,760,2,19,2,23
11202,974,1,19,2,8
9861,1611,1,17,2,64
12737,1921,1,21,2,17
14742,1534,1,21,1,29
5712,1817,2,19,1,58
3361,801,2,17,1,56
7301,801,1,17,2,12
10787,1823,2,20,2,30
7114,1220,1,17,1,22
11325,714,1,19,2,62
11843,1811,1,21,2,11
12983,616,2,19,2,76
14976,1936,2,17,1,22
3115,1917,1,21,2,65
7024,974,1,21,2,35
10986,2062,1,21,1,97
14674,747,2,17,2,7
7585,2090,2,21,1,95
8518,709,2,18,1,65
12075,2078,1,21,2,77
9639,1631,1,18,2,6
8201,1996,2,18,1,2
10487,2069,1,21,1,8
8053,1653,1,21,1,39
5323,1435,1,17,2,14
10258,1362,1,18,1,86
8942,1939,1,20,1,31
4597,1335,1,18,1,87
12443,1437,2,21,2,65
4481,1798,2,20,1,6
5686,1025,2,19,1,43
10634,1059,2,17,2,11
