age,gender,city,branch,mention,tuition,school,competence,socialmedia,website,contact,wage,costliving,rural,INTEREST
20,1,1,1,1,30000,11,2,27,7,24,14897,2915,0,1
19,2,7,1,3,30000,4,3,10,28,20,10602,2933,0,1
26,1,7,1,1,30000,23,3,28,7,1,13039,2724,0,0
25,2,6,1,3,30000,12,3,8,1,34,11826,2458,0,1
25,1,4,1,1,30000,2,4,24,11,16,3780,1973,1,1
25,2,5,1,1,30000,7,3,31,23,2,12519,2346,1,0
25,1,7,1,2,30000,43,3,32,27,12,8541,2010,0,1
22,1,1,1,4,30000,49,2,24,7,2,4741,2993,0,0
21,1,2,1,4,30000,51,3,12,28,27,3297,2944,1,1
19,2,2,1,3,30000,45,1,30,3,2,4079,2438,1,0
22,1,1,1,1,30000,37,2,10,6,21,6156,2598,0,1
24,1,6,1,4,30000,7,4,8,31,14,7903,2610,1,0
19,1,4,1,2,30000,17,1,17,15,1,14380,2909,1,1
20,2,2,1,3,30000,49,1,27,23,15,8246,1905,0,0
23,1,4,1,1,30000,7,1,30,25,25,3641,2166,0,1
23,2,3,1,4,30000,53,1,3,1,33,9846,2745,1,1
20,1,1,1,4,30000,46,2,23,4,27,7021,2634,1,1
26,1,4,1,1,30000,56,3,16,16,24,6898,2549,0,1
26,1,1,1,3,30000,5,1,26,28,18,13409,2496,1,0
22,2,6,1,3,30000,14,1,5,15,5,7841,2659,0,0
25,2,2,1,1,30000,3,4,27,11,8,9409,2563,1,0
23,2,3,1,3,30000,21,3,4,28,8,13313,2394,0,1
20,1,4,1,1,30000,15,3,33,2,6,14482,2550,1,0
21,2,7,1,1,30000,37,4,10,19,26,14437,1848,1,1
24,2,4,1,1,30000,11,3,19,19,34,11456,2265,0,0
25,2,5,1,1,30000,14,3,3,2,12,4727,2456,1,1
23,2,1,1,1,30000,48,1,1,16,14,10138,2168,0,1
18,2,6,1,1,30000,27,2,19,9,34,12335,1804,0,1
21,1,2,1,2,30000,8,3,2,28,30,11143,2901,1,1
19,1,2,1,1,30000,44,4,19,26,17,14639,1828,1,0
26,2,2,1,3,30000,51,4,1,10,24,8981,1986,0,1
20,1,7,1,4,30000,13,2,11,30,12,6311,2709,1,0
24,2,3,1,1,30000,10,4,5,5,19,3982,2988,1,1
20,2,2,1,4,30000,9,4,13,22,12,6676,2940,1,0
18,1,6,1,1,30000,42,4,21,7,33,7203,2993,1,1
25,2,8,1,2,30000,3,2,31,26,21,9316,2910,1,1
24,2,5,1,1,30000,25,4,4,15,22,14472,2498,1,1
22,2,3,1,2,30000,6,4,10,30,4,3602,2048,0,0
19,1,2,1,4,30000,17,3,5,9,19,8635,2120,0,1
24,2,5,1,2,30000,4,1,31,1,31,3863,2137,1,0
24,2,2,1,3,30000,35,3,16,10,25,12733,2355,0,0
19,2,2,1,1,30000,33,1,30,11,28,5680,1881,0,1
20,1,3,1,4,30000,17,1,1,11,28,6690,2312,1,0
19,1,4,1,2,30000,6,3,33,23,31,5371,1865,1,1
23,2,7,1,4,30000,26,1,14,8,20,6621,1984,1,0
19,1,7,1,4,30000,50,1,7,23,16,7633,2831,1,1
24,1,8,1,1,30000,17,2,27,17,32,6606,2715,0,1
20,1,3,1,4,30000,26,3,19,6,2,10951,2397,0,1
18,1,7,1,4,30000,50,3,12,9,4,10088,2630,1,0
25,2,1,1,2,30000,55,1,9,14,8,13689,2545,1,1
18,1,8,1,2,30000,25,4,1,16,15,5904,1941,0,1
26,1,5,1,3,30000,43,4,15,29,30,5851,2050,0,1
24,2,4,1,4,30000,1,1,5,2,17,4311,2473,1,1
24,2,4,1,4,30000,32,1,32,32,33,6425,2432,1,0
26,1,1,1,2,30000,35,3,8,6,4,10123,2981,0,0
22,2,1,1,2,30000,46,4,9,11,16,10547,1998,0,1
18,2,3,1,1,30000,12,2,33,17,30,11764,2065,1,0
19,2,8,1,3,30000,43,4,3,3,15,8822,1905,0,0
26,2,7,1,4,30000,37,3,1,33,34,7212,2144,0,1
23,1,7,1,3,30000,52,2,29,18,8,12049,1834,0,1
19,1,6,1,2,30000,45,4,32,3,7,4063,2767,1,1
25,2,4,1,4,30000,54,4,31,12,16,3840,2267,0,0
26,1,1,1,4,30000,11,3,30,4,7,8473,1934,1,1
22,1,7,1,1,30000,37,1,29,22,8,10266,2424,1,1
25,1,1,1,4,30000,43,1,19,21,1,4565,2369,0,0
20,1,8,1,3,30000,3,2,27,10,10,10870,2676,1,0
24,1,2,1,1,30000,42,4,5,11,23,12078,2733,1,1
25,2,2,1,2,30000,24,3,23,20,8,14986,2716,1,1
24,2,2,1,1,30000,30,3,28,11,23,9940,2049,1,0
19,1,3,1,4,30000,31,3,33,10,26,14953,2151,1,0
22,2,3,1,4,30000,13,2,27,21,4,4061,2109,0,1
22,2,3,1,2,30000,6,3,11,3,12,5430,2623,1,0
23,1,7,1,2,30000,24,4,4,7,27,9829,2359,1,0
21,1,8,1,4,30000,5,2,27,13,5,11805,2486,0,0
21,2,4,1,4,30000,19,2,21,18,13,12846,2614,0,1
24,2,5,1,1,30000,23,1,23,2,29,14196,2085,1,1
21,2,8,1,3,30000,34,2,5,11,7,11032,2424,1,0
20,1,5,1,1,30000,26,4,4,20,11,12268,2285,1,1
26,2,2,1,3,30000,36,2,33,8,12,9790,2720,0,0
23,1,2,1,4,30000,42,1,4,2,31,8330,1936,1,0
21,1,2,1,2,30000,21,1,13,10,13,3583,2170,0,1
22,2,4,1,3,30000,56,4,23,9,21,5209,2080,1,1
20,1,6,1,1,30000,18,1,18,9,11,7717,2748,0,1
21,1,5,1,2,30000,23,1,23,4,6,9993,2549,1,1
23,1,3,1,2,30000,35,1,23,26,19,14497,2617,0,1
21,1,6,1,1,30000,44,2,2,24,15,8023,2298,0,0
26,1,2,1,1,30000,19,4,24,33,22,13391,1824,0,0
21,2,4,1,3,30000,51,1,8,13,33,12473,2489,1,0
23,2,6,1,2,30000,22,3,18,30,16,3562,2680,0,1
22,2,5,1,4,30000,26,1,24,5,31,3718,2766,1,1
19,2,3,1,1,30000,38,1,33,21,29,13224,1939,1,1
24,2,4,1,1,30000,31,4,31,31,14,12017,2883,1,0
22,1,7,1,3,30000,33,3,13,29,6,13472,2594,0,0
20,2,8,1,4,30000,56,3,21,31,21,9575,1891,1,0
24,2,4,1,3,30000,9,2,3,26,1,7041,1986,0,1
19,2,1,1,2,30000,42,2,26,32,6,12333,1853,1,1
25,1,5,1,1,30000,6,1,15,6,27,10696,2478,1,1
25,1,2,1,2,30000,45,1,9,21,15,10369,2504,1,1
19,1,1,1,4,30000,50,1,5,8,5,12432,1892,0,1
22,1,1,1,4,30000,26,3,17,1,13,7414,2847,1,0
23,2,6,1,3,30000,55,3,22,25,27,6215,2667,1,0
18,1,4,1,2,30000,43,4,5,13,5,4684,1983,0,0
25,2,3,1,1,30000,8,1,32,25,7,13980,2814,0,0
23,2,7,1,1,30000,37,4,17,14,22,12294,2541,0,1
25,2,4,1,3,30000,56,2,12,30,19,13303,2742,1,1
18,2,8,1,4,30000,2,4,2,24,12,13125,2770,0,1
18,2,5,1,3,30000,45,1,26,22,26,12288,2965,0,0
22,1,2,1,3,30000,28,4,5,23,30,3438,2242,1,1
21,1,4,1,1,30000,43,1,5,33,16,14136,2619,0,1
19,2,6,1,4,30000,38,4,13,21,11,11486,2947,1,1
22,1,2,1,1,30000,21,2,13,15,31,3234,2155,1,0
18,1,3,1,2,30000,20,4,16,4,32,7067,2722,0,1
22,2,8,1,2,30000,11,2,33,10,32,8878,1942,1,0
19,1,4,1,4,30000,30,1,18,14,9,12202,2949,0,1
23,1,6,1,2,30000,45,4,8,6,26,4197,2112,1,0
25,2,6,1,1,30000,3,4,15,11,18,4708,2305,0,0
18,2,4,1,4,30000,26,4,9,25,28,12813,2773,0,0
19,1,6,1,3,30000,13,4,17,3,15,10834,2389,0,1
23,1,8,1,4,30000,23,4,1,16,5,10738,1958,0,0
18,2,1,1,4,30000,38,4,15,20,16,6227,2581,0,0
21,1,2,1,3,30000,55,2,13,21,22,9394,2900,1,0
26,2,6,1,1,30000,10,3,6,6,18,12953,2441,1,1
24,2,5,1,4,30000,30,1,16,17,24,13461,2199,0,0
22,2,5,1,1,30000,43,3,19,4,31,6999,2610,0,1
19,1,8,1,4,30000,29,4,33,10,18,10748,2067,0,0
20,1,2,1,4,30000,9,2,18,19,6,7496,2227,0,1
24,1,8,1,1,30000,11,4,17,10,16,12266,2965,0,1
24,2,3,1,2,30000,23,4,28,28,30,11885,2859,1,1
23,2,6,1,1,30000,56,2,15,16,29,13312,2725,1,0
26,1,3,1,2,30000,18,4,2,13,31,9386,2663,1,1
24,1,3,1,3,30000,38,4,11,11,24,3543,2348,0,0
25,2,7,1,1,30000,4,3,17,22,23,5457,2319,0,1
19,1,2,1,4,30000,51,3,26,23,30,10360,2295,0,0
24,2,6,1,1,30000,8,4,30,15,31,14669,2731,1,0
26,1,4,1,4,30000,6,2,18,17,11,12915,2581,0,0
21,2,4,1,2,30000,41,1,16,28,4,10208,2763,0,1
22,1,4,1,2,30000,45,4,12,8,3,5991,2662,1,0
25,2,8,1,3,30000,20,1,25,1,13,14162,2236,0,1
24,1,1,1,1,30000,39,2,32,17,6,3776,2213,0,1
25,2,3,1,3,30000,4,2,12,16,29,7506,2761,1,0
18,2,8,1,2,30000,33,4,5,7,10,5905,2144,0,1
22,2,4,1,2,30000,40,2,1,19,2,8033,2876,1,1
24,2,2,1,4,30000,17,2,10,29,23,13856,2886,1,1
24,2,6,1,3,30000,15,4,13,33,13,11817,2776,0,0
20,1,6,1,2,30000,44,4,27,11,7,9431,2885,1,0
18,1,6,1,4,30000,20,3,9,33,10,4228,2556,1,1
26,1,5,1,1,30000,52,2,26,18,18,11116,2165,0,1
26,2,7,1,1,30000,54,4,4,8,13,6698,2591,0,1
20,1,8,1,1,30000,41,2,20,1,5,8025,2563,1,1
20,1,3,1,3,30000,49,2,15,20,2,6348,1800,1,1
24,1,5,1,4,30000,13,1,10,16,2,6445,1948,1,1
19,1,7,1,4,30000,4,1,18,33,26,4184,1848,0,1
25,2,6,1,4,30000,9,2,3,5,31,3109,1841,1,0
21,2,5,1,3,30000,42,3,7,31,26,12981,2442,0,1
22,1,5,1,4,30000,9,1,27,33,14,12806,2536,1,1
25,2,3,1,3,30000,40,1,11,22,2,10475,2194,0,1
20,1,8,1,3,30000,11,4,30,23,12,6351,1922,0,1
24,2,3,1,3,30000,23,2,4,8,30,8160,2801,0,1
22,1,2,1,1,30000,8,2,16,17,7,6587,2646,0,1
20,2,2,1,2,30000,46,1,8,30,17,13085,1971,0,1
20,2,1,1,4,30000,45,3,3,10,11,11580,2008,1,1
22,1,2,1,2,30000,43,4,3,22,15,4483,2596,1,0
20,1,1,1,1,30000,20,4,28,14,5,5259,2083,1,0
18,2,3,1,4,30000,32,3,29,22,30,4011,2307,0,0
26,1,6,1,4,30000,19,1,8,8,32,10937,2791,0,1
25,2,5,1,2,30000,51,3,18,24,8,8026,2759,0,0
21,1,7,1,3,30000,40,3,8,18,33,10316,2430,1,0
24,2,2,1,1,30000,27,4,17,27,24,13653,2927,1,0
20,2,6,1,3,30000,56,1,6,28,7,10531,2373,0,0
21,2,5,1,1,30000,31,4,29,24,32,5091,2404,0,0
18,2,2,1,3,30000,45,2,19,29,32,5213,2390,0,1
18,1,1,1,3,30000,46,3,19,3,13,4527,2373,0,0
26,1,3,1,2,30000,23,2,20,30,23,10788,2544,1,0
20,2,3,1,1,30000,14,1,2,9,10,5530,2258,1,1
26,2,2,1,1,30000,55,1,23,9,21,9906,1906,0,0
18,2,6,1,2,30000,28,4,9,13,13,13555,2896,0,0
24,2,3,1,1,30000,40,1,10,29,10,4989,2001,1,1
23,1,8,1,2,30000,39,4,7,25,5,11853,1864,0,1
21,1,1,1,1,30000,37,4,1,31,28,3201,2726,0,1
19,1,6,1,4,30000,28,2,22,15,7,11474,2037,1,0
19,2,6,1,1,30000,25,3,32,30,4,3188,2549,0,0
21,1,7,1,1,30000,35,3,26,7,34,9742,2540,0,0
23,2,6,1,2,30000,42,2,16,6,6,12128,2737,1,1
21,1,6,1,2,30000,50,2,2,18,27,14598,2636,0,1
23,1,8,1,2,30000,41,2,5,20,14,6572,1972,0,1
18,1,6,1,2,30000,55,4,18,4,20,9900,1982,0,1
25,1,4,1,3,30000,13,1,19,18,25,4279,2679,1,1
25,2,1,1,1,30000,40,4,7,21,4,13692,2452,0,1
18,1,3,1,2,30000,3,4,21,6,12,6092,2769,0,1
20,1,2,1,1,30000,32,1,7,31,12,11083,2858,0,0
20,1,2,1,1,30000,36,4,5,12,18,3426,2288,1,0
22,1,5,1,3,30000,42,2,14,12,23,10799,2693,0,1
24,1,3,1,4,30000,46,3,32,25,8,4501,1994,1,0
24,2,3,1,1,30000,22,1,22,9,4,7117,2981,0,0
25,1,3,1,3,30000,13,1,18,7,22,10103,2553,0,1
25,2,4,1,2,30000,56,3,16,30,31,9170,2814,1,0
24,1,7,1,4,30000,22,1,30,4,16,7459,2209,1,0
18,2,5,1,3,30000,3,1,8,7,14,4800,2560,0,0
21,2,3,1,4,30000,44,3,5,16,11,10475,1955,0,1
24,2,6,1,1,30000,48,3,10,7,2,12370,2217,0,0
22,1,4,1,3,30000,30,1,19,25,5,3401,2743,1,1
26,1,7,1,1,30000,48,2,13,4,3,11549,1901,0,1
25,1,5,1,3,30000,34,3,29,18,29,13509,2185,0,0
24,2,3,1,2,30000,30,4,19,7,31,13094,2539,0,1
24,1,2,1,1,30000,33,2,25,21,12,4469,2683,1,0
20,1,2,1,2,30000,11,1,19,7,10,11689,2560,0,1
26,1,5,1,1,30000,14,2,11,27,34,14700,1854,1,1
18,1,4,1,3,30000,9,2,8,13,26,11797,1977,1,1
23,1,6,1,1,30000,56,4,21,31,33,13281,2384,0,0
22,2,7,1,3,30000,20,4,11,9,19,5753,2150,1,1
19,2,7,1,4,30000,33,1,20,27,18,6407,1887,0,1
18,2,5,1,4,30000,19,2,32,5,34,3216,2629,0,1
25,2,6,1,4,30000,7,2,23,19,3,5496,2403,1,1
25,1,3,1,4,30000,35,1,14,9,12,13762,2077,1,1
22,2,1,1,2,30000,53,4,12,28,4,13296,2548,1,0
19,2,5,1,2,30000,9,4,23,6,28,14406,2140,0,0
23,1,1,1,2,30000,13,3,16,32,21,8165,2255,0,0
20,2,3,1,3,30000,20,1,11,20,22,5690,2621,1,0
22,2,8,1,1,30000,15,1,27,9,18,9225,1804,0,0
23,2,2,1,2,30000,49,1,5,31,29,4274,2351,1,0
19,2,2,1,2,30000,29,4,4,18,29,11928,1925,1,1
26,1,1,1,3,30000,53,2,1,17,33,6207,2648,0,1
19,2,2,1,1,30000,32,4,8,10,21,13998,2323,1,0
23,1,7,1,4,30000,37,1,5,21,9,6494,2014,1,0
24,2,7,1,3,30000,46,1,32,9,32,10055,2528,0,0
24,1,7,1,3,30000,31,1,16,3,22,13383,2372,1,0
18,1,7,1,1,30000,3,3,19,19,7,14145,2920,1,1
22,2,8,1,1,30000,19,4,19,1,2,6164,2336,1,1
26,1,4,1,2,30000,51,2,29,5,33,5883,2984,1,1
26,2,4,1,4,30000,41,4,16,15,8,4388,2460,0,0
24,2,5,1,2,30000,49,2,26,17,25,5115,1975,1,1
18,2,7,1,3,30000,13,4,20,8,2,7018,1827,1,1
21,1,6,1,4,30000,11,1,23,8,20,14837,1956,0,1
24,1,3,1,3,30000,1,4,7,22,2,12703,2148,1,1
23,1,4,1,4,30000,6,3,23,17,14,9134,2175,1,0
25,2,8,1,2,30000,43,3,20,22,11,4085,1848,0,0
19,1,8,1,2,30000,7,4,19,32,26,3999,2671,1,1
18,1,7,1,2,30000,41,2,11,13,9,7173,2513,0,1
24,2,8,1,2,30000,33,2,5,15,10,12822,2166,1,0
21,2,8,1,3,30000,27,1,8,22,22,10250,2572,0,1
24,1,1,1,1,30000,52,1,27,2,11,11288,2908,1,1
21,1,7,1,1,30000,16,3,9,5,24,14067,2102,0,0
18,2,1,1,2,30000,20,3,26,15,7,7230,1807,0,1
21,2,2,1,4,30000,50,1,5,33,6,6352,2186,0,0
24,1,8,1,4,30000,19,1,31,29,24,13564,1843,1,1
22,1,6,1,4,30000,36,4,22,18,28,8141,2502,0,0
18,1,5,1,3,30000,37,4,14,21,18,6823,2385,1,0
25,1,7,1,3,30000,37,2,14,30,9,12731,2730,0,1
18,1,4,1,1,30000,19,4,30,1,12,12465,2607,0,1
25,1,1,1,4,30000,15,3,12,9,23,7093,2009,0,1
24,1,1,1,4,30000,33,2,14,27,19,8907,2153,1,1
21,1,7,1,1,30000,33,2,29,17,6,10011,1872,0,0
25,2,2,1,2,30000,23,3,29,23,17,6748,2385,1,1
24,2,3,1,3,30000,32,2,5,32,28,3052,2306,0,1
24,1,2,1,4,30000,25,1,29,9,2,6317,2883,0,1
24,1,2,1,4,30000,40,2,13,4,12,11830,2055,1,0
22,1,7,1,2,30000,36,2,5,13,2,11669,2225,1,1
20,2,6,1,1,30000,14,2,33,17,3,7797,2876,1,0
25,2,6,1,4,30000,41,4,31,30,6,14046,2449,0,0
26,1,6,1,4,30000,5,2,32,30,3,9241,2688,0,1
21,1,3,1,3,30000,33,3,6,20,29,4931,2095,0,0
25,1,4,1,3,30000,26,3,30,11,24,11984,2909,1,1
18,1,1,1,1,30000,17,3,28,22,16,9405,2393,1,0
23,2,7,1,2,30000,25,3,25,10,28,5476,2462,0,1
18,2,1,1,2,30000,32,4,32,17,3,13674,1843,0,1
20,1,4,1,2,30000,48,3,23,2,27,11845,2934,1,0
19,2,8,1,1,30000,6,4,17,28,20,10257,2260,0,0
22,2,5,1,2,30000,17,1,31,30,27,9243,2455,0,0
22,1,8,1,2,30000,37,2,25,11,3,13907,2919,0,0
25,2,7,1,3,30000,35,1,4,9,10,14549,2884,0,1
26,2,4,1,1,30000,51,2,30,12,34,9643,2851,0,0
23,2,4,1,3,30000,4,1,11,11,20,6006,1900,1,0
24,2,8,1,2,30000,22,2,9,23,10,11240,2396,1,0
18,2,4,1,3,30000,39,3,20,5,3,3797,2168,0,1
19,1,3,1,3,30000,47,3,7,6,30,4989,2932,1,0
18,1,1,1,1,30000,3,1,8,12,12,8165,2714,0,0
18,1,1,1,4,30000,41,1,33,6,15,12224,2343,1,0
20,2,1,1,4,30000,37,2,8,11,24,12446,2745,0,1
25,2,1,1,2,30000,8,2,33,7,5,8161,2867,0,1
18,2,3,1,1,30000,50,3,2,18,25,13844,2985,1,0
25,1,7,1,4,30000,56,3,3,33,20,6156,1813,1,0
24,1,7,1,3,30000,7,4,13,11,19,13372,2647,1,0
24,1,2,1,4,30000,30,1,32,21,22,5710,2937,1,1
26,1,3,1,4,30000,28,1,5,1,34,10337,2945,0,0
26,2,6,1,2,30000,23,1,13,23,9,4186,2153,1,0
22,1,4,1,4,30000,8,2,16,9,26,8994,2320,1,0
20,2,4,1,1,30000,24,3,17,6,31,9952,2176,0,1
20,2,2,1,2,30000,18,4,30,29,27,5116,2197,0,0
18,1,5,1,4,30000,6,3,10,27,25,12455,2616,1,1
24,1,1,1,4,30000,17,3,10,1,20,3923,2981,0,1
21,2,2,1,4,30000,54,1,29,19,10,9370,2574,1,0
20,1,5,1,3,30000,13,2,22,19,15,5980,1949,0,1
24,2,2,1,1,30000,49,1,9,29,6,10170,2633,0,0
26,2,6,1,1,30000,6,3,29,16,4,13582,2663,1,1
25,1,7,1,2,30000,18,4,33,26,18,12714,2881,0,1
24,1,2,1,3,30000,56,4,28,9,18,14583,2179,0,0
26,1,1,1,4,30000,55,3,8,26,31,8345,1982,1,0
19,1,1,1,1,30000,16,4,14,23,27,9064,2531,0,1
20,2,4,1,2,30000,8,4,6,8,7,4883,2771,0,0
26,2,2,1,3,30000,49,3,23,7,8,5244,1890,0,0
20,1,7,1,2,30000,34,2,20,16,18,7157,2705,1,1
26,2,8,1,2,30000,37,3,9,4,21,8135,2372,1,1
26,1,5,1,3,30000,31,1,12,2,21,4500,2568,1,0
19,1,2,1,2,30000,40,4,11,18,8,13626,2127,1,0
20,1,7,1,1,30000,31,4,10,13,17,9702,2046,1,1
19,1,1,1,4,30000,47,2,26,12,11,12600,2969,1,1
21,2,6,1,1,30000,5,2,29,24,10,10065,2924,1,1
25,2,7,1,4,30000,30,2,32,21,17,8749,2373,1,1
18,1,1,1,2,30000,56,1,18,10,34,3299,2242,0,1
24,2,7,1,1,30000,42,2,18,21,10,12078,1800,1,0
26,2,2,1,4,30000,52,3,27,17,18,6641,2944,0,1
19,1,3,1,2,30000,15,1,17,26,14,10179,2126,0,1
21,1,7,1,1,30000,43,2,2,30,12,9819,2379,1,0
23,2,6,1,3,30000,24,4,25,4,13,8411,2587,1,1
19,2,2,1,1,30000,16,1,32,33,3,12487,1800,1,0
22,2,4,1,4,30000,40,4,25,18,10,3446,2893,0,0
21,1,3,1,1,30000,16,4,12,27,8,14631,2202,1,1
18,1,3,1,2,30000,17,2,4,21,19,11230,2934,0,0
20,1,5,1,4,30000,24,3,18,11,14,6084,2667,1,1
18,1,1,1,4,30000,44,2,16,15,31,10692,2045,1,1
21,1,8,1,1,30000,27,2,22,6,10,5637,2457,1,0
22,1,6,1,2,30000,40,2,32,26,26,9611,2853,1,0
21,1,5,1,3,30000,20,3,20,18,14,4874,2617,0,0
23,2,4,1,1,30000,53,2,13,18,20,11145,2510,1,0
24,2,1,1,3,30000,20,3,21,5,23,14621,2407,1,0
25,1,8,1,3,30000,44,4,18,15,23,4431,1835,0,0
18,2,3,1,4,30000,48,3,11,13,1,10850,2334,1,0
23,2,3,1,2,30000,49,4,7,6,21,14985,2785,0,1
24,1,8,1,3,30000,15,1,24,25,2,14425,2242,0,1
19,1,4,1,2,30000,10,3,7,31,24,13116,2211,1,1
18,2,1,1,2,30000,49,3,24,3,29,5372,2758,0,0
26,1,5,1,2,30000,21,2,26,6,21,11260,2088,1,0
20,2,1,1,3,30000,5,3,28,5,32,11326,1834,1,1
21,2,4,1,2,30000,13,3,9,28,3,14313,2794,1,1
25,1,5,1,2,30000,52,1,7,13,24,11563,2911,0,1
18,2,3,1,2,30000,34,3,10,27,19,4532,1882,0,1
24,2,1,1,2,30000,32,4,33,1,26,7189,2250,0,1
22,2,6,1,1,30000,55,3,30,5,5,12790,2936,0,0
22,2,6,1,3,30000,28,2,4,13,28,3547,2144,0,0
23,1,8,1,4,30000,2,4,6,22,7,7327,2486,1,0
23,2,3,1,4,30000,43,1,15,17,15,10562,2504,1,0
25,1,7,1,3,30000,31,1,18,15,18,9966,1953,0,1
23,2,2,1,1,30000,40,3,6,16,19,10231,2349,1,1
23,1,1,1,1,30000,26,2,12,32,3,6243,1982,1,0
20,1,5,1,4,30000,20,4,33,2,5,14217,2540,1,1
20,2,1,1,2,30000,32,1,16,5,29,7617,2847,1,1
22,1,7,1,2,30000,52,1,17,23,10,12056,2026,0,0
24,2,7,1,3,30000,53,3,6,27,25,14848,2533,1,1
21,1,2,1,2,30000,42,4,14,24,26,9450,2486,0,0
19,1,4,1,4,30000,13,2,15,12,4,14388,2605,1,1
18,1,8,1,3,30000,13,3,10,18,6,10240,2352,0,1
26,1,1,1,3,30000,36,2,23,30,24,4518,2926,0,0
20,1,6,1,4,30000,17,4,28,11,23,5013,1963,1,1
25,1,6,1,4,30000,16,3,30,22,28,12635,2282,1,1
18,1,8,1,2,30000,32,3,20,5,6,5337,1803,0,0
21,1,1,1,2,30000,51,1,4,3,7,12956,2090,1,0
23,1,4,1,3,30000,40,1,33,25,32,9394,2336,0,0
19,2,3,1,3,30000,33,1,33,31,21,13906,2482,0,0
24,2,6,1,1,30000,4,1,24,26,22,5756,2984,1,1
18,2,4,1,3,30000,25,1,26,19,10,14076,1945,1,0
26,2,8,1,2,30000,44,2,24,16,12,8774,2365,0,1
25,1,4,1,1,30000,26,4,6,17,1,6931,2052,1,1
22,1,1,1,2,30000,17,3,17,9,2,11777,2247,0,0
21,2,4,1,2,30000,35,3,3,27,32,14624,1992,1,1
26,1,5,1,2,30000,14,1,18,25,32,10443,2121,0,1
25,1,7,1,4,30000,9,3,15,24,19,4470,2778,0,1
21,1,5,1,1,30000,56,3,22,21,16,13709,2061,0,1
26,1,5,1,2,30000,30,4,29,5,25,6592,1980,1,0
19,2,4,1,3,30000,35,4,24,3,32,11255,2355,0,0
18,2,5,1,1,30000,16,3,15,19,27,7521,1812,0,1
20,2,6,1,2,30000,5,1,15,10,16,11826,2743,1,1
22,1,5,1,2,30000,46,2,20,1,32,6929,2815,1,0
24,2,7,1,1,30000,5,1,22,16,31,4146,2591,0,0
23,1,6,1,3,30000,6,3,16,17,22,5514,2758,1,1
26,2,1,1,2,30000,26,4,33,10,6,8330,2854,1,1
19,2,1,1,2,30000,48,1,29,25,26,6363,2599,1,1
26,2,4,1,2,30000,22,3,31,29,10,10539,2167,1,0
