wage,costliving,gender,age,branch,city,merite,afford1,afford2,afford3
7208,1050,2,19,1,2,1,0,0,0
5865,980,1,20,1,1,1,0,0,0
12292,1402,2,20,1,6,4,0,1,1
14679,2020,2,21,1,2,4,0,1,1
4994,1361,2,18,1,1,4,0,0,0
5737,859,2,19,1,4,4,0,0,0
11836,846,1,21,1,1,2,0,0,0
8889,901,2,21,1,1,1,0,0,0
4557,773,1,20,1,5,3,0,0,0
11871,1538,2,20,1,3,3,0,0,1
7950,1730,1,19,1,6,1,0,0,0
7298,675,2,21,1,5,3,0,0,1
11327,1848,1,21,1,1,1,0,0,0
6178,1541,1,20,1,1,2,0,0,0
10018,867,2,19,1,4,1,0,0,0
9190,1106,1,20,1,5,2,0,0,0
13485,1888,2,19,1,2,2,0,0,0
13076,1092,2,17,1,2,3,0,1,1
4592,1347,2,20,1,2,4,0,0,0
14707,1767,1,18,1,3,3,0,1,1
5687,1050,1,19,1,4,2,0,0,0
11457,1544,1,18,1,5,1,0,0,0
10148,772,1,17,1,6,4,0,1,1
4576,1704,1,19,1,1,2,0,0,0
6534,1731,1,20,1,4,1,0,0,0
8132,1684,2,21,1,5,1,0,0,0
8518,825,1,21,1,5,4,0,1,1
7492,1393,2,21,1,1,1,0,0,0
4401,1847,2,21,1,3,3,0,0,0
13580,1269,2,19,1,2,2,0,0,0
6478,785,1,20,1,6,2,0,0,0
12950,772,1,21,1,4,3,1,1,1
6715,819,1,19,1,3,1,0,0,0
12261,803,1,17,1,4,4,0,1,1
12091,751,2,20,1,1,1,0,0,0
10891,1870,2,17,1,4,3,0,0,0
11528,991,2,21,1,5,1,0,0,0
14448,1298,1,18,1,1,4,1,1,1
6704,830,1,19,1,2,2,0,0,0
12197,847,1,19,1,5,4,0,1,1
4160,1772,1,17,1,6,4,0,0,0
10791,1190,2,21,1,1,3,0,0,1
13401,2023,1,21,1,4,3,0,0,1
13154,986,2,21,1,6,4,0,1,1
12187,1129,1,20,1,4,1,0,0,0
13340,653,1,18,1,6,4,1,1,1
7046,1697,1,20,1,2,1,0,0,0
10056,623,1,19,1,5,1,0,0,0
4528,1818,2,20,1,6,1,0,0,0
11352,702,2,19,1,1,2,0,0,0
4035,1913,1,20,1,1,3,0,0,0
11969,932,1,20,1,2,1,0,0,0
11594,1353,2,20,1,3,1,0,0,0
13853,1687,2,17,1,6,3,0,1,1
11496,1195,1,21,1,2,2,0,0,0
7964,1006,1,19,1,3,1,0,0,0
14262,914,1,17,1,5,4,1,1,1
8405,1126,2,17,1,6,1,0,0,0
7521,625,1,19,1,2,1,0,0,0
10834,1275,2,17,1,3,3,0,0,1
11106,771,1,18,1,4,1,0,0,0
9168,939,2,21,1,5,1,0,0,0
6518,787,2,20,1,2,3,0,0,0
10592,1093,2,20,1,1,1,0,0,0
10304,1029,1,21,1,1,3,0,0,1
11001,1504,1,19,1,1,3,0,0,1
4337,1615,2,17,1,1,2,0,0,0
11841,1313,1,18,1,4,4,0,1,1
11599,1619,1,21,1,6,2,0,0,0
9742,668,2,20,1,2,4,0,1,1
10558,1068,1,20,1,4,1,0,0,0
4506,1829,1,17,1,2,2,0,0,0
13746,1927,1,21,1,1,4,0,1,1
6542,927,1,20,1,2,4,0,0,1
10829,1004,2,18,1,1,3,0,1,1
5366,1574,1,19,1,1,3,0,0,0
7664,810,2,17,1,6,1,0,0,0
7233,707,1,21,1,1,2,0,0,0
12048,630,1,18,1,2,2,0,0,0
14385,1106,1,21,1,2,1,1,1,1
4455,752,2,19,1,5,3,0,0,0
11785,1235,1,19,1,3,2,0,0,0
6552,1649,2,18,1,3,4,0,0,0
5618,1371,1,17,1,2,4,0,0,0
13440,1898,1,20,1,3,3,0,1,1
4846,1810,2,17,1,3,1,0,0,0
4664,1355,2,19,1,6,4,0,0,0
12546,1609,2,20,1,5,3,0,1,1
13229,1419,1,20,1,1,2,0,0,0
9247,1213,2,17,1,1,1,0,0,0
7525,1013,1,21,1,2,4,0,0,1
14127,1688,2,18,1,6,1,0,0,0
4344,1754,1,18,1,1,3,0,0,0
13248,1634,1,17,1,4,1,0,0,0
4574,1807,1,18,1,1,2,0,0,0
10129,1586,2,17,1,3,3,0,0,0
8633,1851,2,19,1,5,3,0,0,0
13197,1325,1,20,1,3,2,0,0,0
12119,1508,1,18,1,3,2,0,0,0
10396,1649,2,20,1,3,4,0,0,1
5241,2062,2,21,1,5,4,0,0,0
7829,986,1,20,1,4,3,0,0,0
10337,1078,1,19,1,3,1,0,0,0
7219,925,1,20,1,2,1,0,0,0
7390,1439,1,18,1,5,1,0,0,0
10492,961,2,17,1,1,3,0,1,1
10799,1540,1,19,1,3,3,0,0,1
10640,625,2,19,1,4,2,0,0,0
11747,1219,2,19,1,6,3,0,1,1
13050,1455,1,19,1,5,3,0,1,1
5597,901,1,21,1,5,4,0,0,0
7436,1572,1,20,1,1,3,0,0,0
12360,1852,1,21,1,1,4,0,1,1
9442,1453,1,17,1,2,1,0,0,0
6439,777,1,18,1,6,4,0,0,1
4787,968,1,21,1,3,4,0,0,0
5274,1619,2,20,1,4,3,0,0,0
13405,1800,1,17,1,4,2,0,0,0
10584,1134,2,21,1,3,4,0,1,1
8287,1969,2,17,1,4,1,0,0,0
7245,1418,2,18,1,2,2,0,0,0
5575,1197,1,19,1,2,3,0,0,0
9382,1179,1,19,1,6,3,0,0,1
8195,1909,2,20,1,1,4,0,0,0
12020,1792,2,19,1,4,4,0,1,1
5119,1856,2,17,1,6,2,0,0,0
11507,1166,2,20,1,6,4,0,1,1
5673,907,2,18,1,5,1,0,0,0
4344,1151,1,17,1,3,4,0,0,0
5462,865,1,17,1,2,1,0,0,0
8071,973,2,21,1,6,4,0,0,1
10504,1057,2,19,1,5,2,0,0,0
6913,1131,1,17,1,2,2,0,0,0
4137,2012,1,20,1,6,4,0,0,0
12241,1182,1,18,1,4,2,0,0,0
14271,1152,2,20,1,6,3,1,1,1
11766,1953,1,20,1,6,2,0,0,0
4436,1450,1,17,1,6,1,0,0,0
13623,1379,1,17,1,5,3,0,1,1
8691,1370,1,18,1,6,2,0,0,0
6320,1439,2,18,1,4,2,0,0,0
11648,1022,1,20,1,3,4,0,1,1
5013,1280,2,17,1,3,3,0,0,0
10459,630,1,20,1,6,3,0,1,1
4910,923,1,21,1,2,1,0,0,0
12281,1063,1,21,1,1,2,0,0,0
4784,777,2,20,1,2,2,0,0,0
5360,1216,1,17,1,3,4,0,0,0
9259,1968,2,20,1,5,4,0,0,0
5353,1134,2,18,1,5,1,0,0,0
4851,1588,2,20,1,3,4,0,0,0
10999,1823,2,19,1,4,1,0,0,0
9837,2002,2,21,1,5,1,0,0,0
4836,960,2,18,1,2,1,0,0,0
11104,705,1,20,1,5,3,0,1,1
13664,820,2,20,1,6,2,1,1,1
11130,852,1,17,1,5,3,0,1,1
10557,1130,1,19,1,4,4,0,1,1
4464,1490,2,18,1,4,4,0,0,0
13474,1283,2,18,1,1,4,0,1,1
5396,1228,2,20,1,2,3,0,0,0
13306,1717,1,20,1,6,2,0,0,0
11296,1489,1,19,1,2,3,0,0,1
5077,1431,1,21,1,3,2,0,0,0
7546,1490,2,21,1,5,3,0,0,0
10283,835,1,18,1,1,2,0,0,0
4504,1524,2,18,1,4,4,0,0,0
8488,1485,2,19,1,4,3,0,0,0
12213,1631,1,18,1,4,3,0,0,1
12122,1964,2,19,1,1,3,0,0,1
13965,836,1,20,1,1,4,1,1,1
8061,686,2,20,1,1,3,0,0,1
14751,1509,2,19,1,3,2,0,0,0
11315,1230,2,19,1,5,3,0,1,1
9575,1095,2,21,1,6,4,0,1,1
14269,1869,2,20,1,6,1,0,0,0
14868,1401,1,20,1,3,3,1,1,1
14256,1455,2,21,1,3,2,0,0,0
11903,1788,2,19,1,4,4,0,1,1
11315,683,2,21,1,5,4,0,1,1
11466,1448,1,19,1,6,1,0,0,0
5930,1455,2,17,1,1,1,0,0,0
11316,1492,2,20,1,6,4,0,1,1
10715,717,2,19,1,3,4,0,1,1
7356,1305,1,18,1,4,4,0,0,1
14925,1489,2,20,1,5,2,0,0,0
11338,1660,2,17,1,6,1,0,0,0
9091,1651,2,21,1,3,4,0,0,1
6881,1109,1,19,1,3,3,0,0,0
6475,1086,2,19,1,5,2,0,0,0
4071,1729,1,17,1,5,3,0,0,0
9298,2025,1,18,1,1,3,0,0,0
6426,618,1,20,1,6,3,0,0,0
11897,1368,2,18,1,6,2,0,0,0
6323,1051,2,21,1,4,4,0,0,0
9168,1291,2,20,1,1,1,0,0,0
8935,980,2,19,1,1,3,0,0,1
6684,1789,1,20,1,1,2,0,0,0
7067,1439,2,21,1,3,4,0,0,0
7575,2040,1,18,1,2,4,0,0,0
9050,1194,1,19,1,6,3,0,0,1
12882,1020,2,21,1,1,4,0,1,1
14645,1187,1,18,1,6,2,1,1,1
14289,2033,1,17,1,2,1,0,0,0
10904,1206,2,19,1,2,2,0,0,0
6470,713,2,21,1,5,4,0,0,1
10240,1117,1,19,1,1,1,0,0,0
6880,1873,2,17,1,2,4,0,0,0
13164,1478,2,21,1,2,4,0,1,1
8208,1719,2,19,1,2,3,0,0,0
11737,862,1,19,1,1,2,0,0,0
8308,1314,2,19,1,6,4,0,0,1
12758,1841,2,20,1,1,4,0,1,1
7120,1196,1,21,1,6,3,0,0,0
10719,1990,1,21,1,2,2,0,0,0
9879,687,2,18,1,4,1,0,0,0
5648,1750,1,21,1,6,3,0,0,0
12404,853,1,18,1,5,4,0,1,1
13256,1129,2,20,1,1,4,0,1,1
9663,1522,1,19,1,2,3,0,0,0
10422,1969,2,18,1,5,1,0,0,0
10490,1575,2,18,1,3,2,0,0,0
6059,662,2,17,1,6,3,0,0,0
7117,679,2,20,1,5,4,0,0,1
12567,1478,1,19,1,2,2,0,0,0
9873,1637,1,18,1,1,4,0,0,1
7808,1290,1,21,1,4,2,0,0,0
6154,1199,2,18,1,2,1,0,0,0
12499,804,1,19,1,5,4,0,1,1
12683,1683,2,19,1,5,4,0,1,1
9559,1783,1,20,1,2,4,0,0,1
11146,1703,1,17,1,6,4,0,1,1
5742,1048,1,18,1,6,2,0,0,0
14641,697,2,19,1,1,2,1,1,1
6908,2030,2,20,1,3,3,0,0,0
11936,1654,1,21,1,5,4,0,1,1
8002,2074,1,17,1,4,2,0,0,0
8587,1159,2,18,1,5,2,0,0,0
4156,1780,2,20,1,1,3,0,0,0
10646,1246,1,18,1,2,1,0,0,0
5679,1151,2,18,1,1,4,0,0,0
8806,1223,2,20,1,2,4,0,0,1
4821,1851,1,19,1,3,3,0,0,0
11814,1571,1,19,1,3,4,0,1,1
5454,2044,1,21,1,2,3,0,0,0
12532,812,2,18,1,3,3,0,1,1
10144,2056,1,21,1,5,3,0,0,0
13373,840,2,21,1,5,4,1,1,1
11313,1510,2,18,1,5,4,0,1,1
11381,707,1,20,1,6,2,0,0,0
13935,928,1,17,1,4,4,1,1,1
11143,796,2,21,1,6,2,0,0,0
14307,1551,1,20,1,6,4,0,1,1
4372,1196,2,19,1,2,1,0,0,0
13093,608,2,19,1,3,4,1,1,1
6835,716,1,20,1,3,1,0,0,0
9844,1039,2,18,1,1,2,0,0,0
4320,1493,1,19,1,3,4,0,0,0
4893,1410,2,19,1,2,1,0,0,0
11129,1495,2,17,1,2,4,0,1,1
7782,1305,1,21,1,6,2,0,0,0
5788,1579,1,18,1,6,4,0,0,0
10151,1800,2,21,1,5,3,0,0,0
6793,1949,1,21,1,3,1,0,0,0
10628,1156,2,19,1,3,1,0,0,0
8452,1481,2,18,1,1,3,0,0,0
7416,1107,1,21,1,3,4,0,0,1
4520,1252,2,21,1,2,1,0,0,0
14111,923,1,18,1,6,1,1,1,1
7943,966,2,20,1,4,1,0,0,0
4557,1018,1,19,1,5,2,0,0,0
6129,1250,2,21,1,4,4,0,0,0
4364,690,1,19,1,4,2,0,0,0
4112,1812,1,20,1,5,3,0,0,0
9885,793,2,19,1,5,4,0,1,1
10350,1763,1,18,1,4,3,0,0,0
7460,1027,2,17,1,2,1,0,0,0
12817,635,1,19,1,3,4,1,1,1
6192,1930,1,19,1,3,4,0,0,0
5891,1901,1,21,1,5,1,0,0,0
12655,2008,1,17,1,5,1,0,0,0
4689,617,2,18,1,2,3,0,0,0
13026,673,2,18,1,1,3,1,1,1
6899,1877,2,19,1,1,3,0,0,0
12668,716,1,20,1,1,3,1,1,1
12174,1692,2,17,1,5,4,0,1,1
12362,757,2,21,1,6,4,0,1,1
4433,1075,2,18,1,6,2,0,0,0
7300,1393,1,18,1,3,1,0,0,0
14839,1586,1,20,1,6,3,0,1,1
12605,1445,1,18,1,1,1,0,0,0
12633,1827,1,21,1,3,2,0,0,0
5899,963,2,20,1,1,3,0,0,0
11883,1198,2,18,1,3,3,0,1,1
11918,1642,1,20,1,2,3,0,0,1
10146,1194,2,18,1,6,4,0,1,1
10470,963,1,18,1,3,1,0,0,0
4073,1325,1,19,1,1,3,0,0,0
6955,689,1,20,1,5,1,0,0,0
6732,1989,2,20,1,5,2,0,0,0
9807,622,2,19,1,4,4,0,1,1
9035,1689,1,20,1,5,4,0,0,1
12172,1070,1,19,1,3,2,0,0,0
10706,854,2,19,1,4,2,0,0,0
5792,1467,2,18,1,1,3,0,0,0
11190,1450,2,19,1,1,1,0,0,0
13879,770,1,18,1,5,4,1,1,1
12952,1220,2,18,1,6,1,0,0,0
8479,1528,1,21,1,6,4,0,0,1
5885,789,2,20,1,4,3,0,0,0
9314,1241,2,21,1,5,1,0,0,0
14196,2098,2,19,1,2,4,0,1,1
5807,817,1,20,1,6,3,0,0,0
8264,629,1,17,1,6,4,0,1,1
10751,727,2,18,1,1,2,0,0,0
5357,840,2,20,1,3,4,0,0,0
4441,1624,1,19,1,2,3,0,0,0
13904,669,1,20,1,2,1,1,1,1
4474,1653,2,17,1,2,3,0,0,0
6239,1453,2,18,1,2,2,0,0,0
11136,1266,2,18,1,1,3,0,0,1
13242,1837,2,21,1,2,3,0,1,1
9286,1155,1,17,1,4,3,0,0,1
7785,886,1,17,1,3,3,0,0,0
4454,805,1,17,1,3,3,0,0,0
7751,617,1,17,1,3,2,0,0,0
14060,783,1,20,1,1,1,1,1,1
11435,1314,1,17,1,5,1,0,0,0
12401,1943,2,19,1,3,4,0,1,1
6003,783,1,19,1,5,3,0,0,0
9522,1453,2,20,1,2,2,0,0,0
4795,939,2,20,1,4,1,0,0,0
11399,1165,2,17,1,3,2,0,0,0
13313,1737,1,21,1,5,1,0,0,0
11190,1988,2,20,1,6,2,0,0,0
10027,1212,2,19,1,4,1,0,0,0
7047,1122,2,17,1,1,3,0,0,0
12811,1001,2,20,1,3,3,0,1,1
5192,1394,1,20,1,5,3,0,0,0
10362,1661,1,20,1,3,2,0,0,0
5937,1975,2,21,1,2,4,0,0,0
5550,1404,2,21,1,4,3,0,0,0
13670,670,1,17,1,3,2,1,1,1
4244,1383,2,20,1,2,2,0,0,0
4030,1350,1,21,1,5,4,0,0,0
6185,855,1,20,1,5,4,0,0,1
13026,1896,1,17,1,5,4,0,1,1
7632,829,2,20,1,3,1,0,0,0
4346,985,2,19,1,4,3,0,0,0
7987,930,1,21,1,2,2,0,0,0
10211,963,1,19,1,3,3,0,1,1
5705,1850,2,20,1,6,2,0,0,0
14630,1459,1,21,1,4,1,0,0,0
8227,839,2,19,1,1,3,0,0,1
4717,1982,1,17,1,6,1,0,0,0
12681,1699,1,17,1,4,1,0,0,0
5342,663,2,18,1,4,1,0,0,0
6882,1164,2,17,1,6,4,0,0,1
4843,980,1,19,1,1,4,0,0,0
8943,779,1,21,1,6,2,0,0,0
12118,1830,1,20,1,2,3,0,0,1
6546,1926,2,19,1,4,3,0,0,0
4060,2090,2,21,1,4,4,0,0,0
5942,1849,1,18,1,4,4,0,0,0
4350,967,2,20,1,4,3,0,0,0
10257,1406,1,21,1,4,1,0,0,0
9289,813,2,17,1,4,1,0,0,0
6872,1680,2,18,1,2,1,0,0,0
8440,1196,1,17,1,5,3,0,0,0
4662,1480,1,19,1,3,4,0,0,0
6714,1687,1,21,1,2,4,0,0,0
6645,1646,1,18,1,5,1,0,0,0
9026,1938,1,18,1,6,3,0,0,0
5539,1337,1,19,1,6,4,0,0,0
11252,1764,2,21,1,5,2,0,0,0
4925,1582,2,19,1,5,4,0,0,0
6082,2044,1,17,1,5,2,0,0,0
14291,654,1,21,1,1,2,1,1,1
6584,1591,2,21,1,3,3,0,0,0
7181,1538,2,17,1,4,1,0,0,0
6051,1018,2,20,1,5,1,0,0,0
12655,1635,2,17,1,5,1,0,0,0
12741,1818,1,20,1,3,4,0,1,1
10720,634,2,19,1,4,4,0,1,1
14739,1828,2,20,1,1,2,0,0,0
4816,887,2,18,1,5,1,0,0,0
7356,1894,1,21,1,4,2,0,0,0
11332,1449,1,19,1,5,2,0,0,0
6092,1776,2,20,1,1,1,0,0,0
10496,698,2,21,1,6,4,0,1,1
14272,844,1,18,1,2,2,1,1,1
4193,744,1,20,1,6,4,0,0,0
11284,1684,2,18,1,3,1,0,0,0
10117,1279,1,21,1,4,1,0,0,0
