wage,rent,food,transport,AFFORD
7433,713,407,213,0
6376,711,772,216,0
3524,1113,762,186,0
3030,973,832,315,0
5470,744,774,202,0
7210,648,631,233,1
6517,745,472,313,0
4345,813,996,256,0
3726,796,516,297,0
6623,876,443,253,0
7120,865,721,237,0
5641,909,995,194,0
5950,1166,729,359,0
4693,819,571,320,0
6457,752,925,276,1
5736,678,962,242,0
3457,1189,832,180,0
6940,1189,621,249,0
4187,827,443,252,0
7059,900,604,191,0
6799,1389,616,243,0
7627,930,972,282,1
5334,1351,485,196,0
4143,990,629,329,0
6160,702,764,273,0
4793,1187,609,303,0
3573,1208,976,330,0
3641,589,656,245,0
5040,1188,565,218,0
3283,1190,413,372,0
5178,525,833,228,0
6310,1023,849,365,0
6111,972,429,398,0
3159,822,643,289,0
4369,567,926,267,0
7005,1117,954,183,0
4446,756,951,219,0
4283,1118,774,298,0
3775,1247,678,344,0
7575,1037,855,379,1
5109,1145,451,218,0
4564,709,582,351,0
6824,1245,475,382,0
5053,606,841,314,0
3278,1046,599,399,0
6350,1357,653,368,0
6047,1110,675,283,0
4692,997,615,275,0
6937,1320,904,224,0
7456,956,784,311,1
3020,917,599,286,0
5969,1065,663,256,0
3910,748,698,191,0
4875,1342,651,302,0
6987,889,855,274,1
6798,887,570,400,0
5610,1115,778,318,0
3494,1013,988,303,0
7444,1017,673,236,0
3940,1249,597,264,0
5841,790,589,188,0
4095,637,449,205,0
7037,640,613,326,1
5001,838,736,210,0
5300,696,777,240,0
7985,1053,890,274,1
5703,782,466,393,0
5405,1075,858,235,0
5618,854,878,288,0
6452,567,799,264,1
4562,948,697,257,0
5911,1244,869,260,0
5583,1146,723,368,0
4208,631,828,247,0
6295,946,628,223,0
6328,689,717,369,0
5258,1214,620,222,0
6942,969,458,208,0
6304,717,903,263,0
5311,1336,879,194,0
6113,501,664,242,0
3205,558,859,239,0
7337,574,459,328,1
3771,1190,698,302,0
7942,762,901,224,1
5493,1361,679,264,0
3520,758,652,198,0
3773,587,478,270,0
3958,959,548,227,0
5299,948,756,239,0
6560,709,553,259,0
3804,1368,457,290,0
4148,1220,539,378,0
4800,807,513,383,0
5817,1010,553,305,0
4637,539,461,298,0
4339,1079,466,295,0
4019,841,869,388,0
5517,1142,789,278,0
7965,1064,528,310,0
7870,898,491,374,1
6842,1206,885,213,0
4715,1226,549,318,0
6793,594,994,341,1
7450,1085,620,393,0
4670,561,496,248,0
3298,1203,995,233,0
3976,784,708,295,0
6517,720,914,393,1
3378,1264,678,378,0
3769,736,794,221,0
6518,1262,790,288,0
5419,1143,960,284,0
3834,853,706,308,0
7686,945,699,187,1
7396,1058,871,207,0
7253,732,828,191,1
4476,943,525,342,0
5135,1210,832,393,0
7774,926,441,252,0
5261,1040,713,305,0
7449,1081,607,257,0
6854,600,999,263,1
5583,1033,769,297,0
5632,1133,858,256,0
7961,1271,498,281,0
6177,859,817,220,0
6606,837,487,329,0
3309,624,527,241,0
6050,896,848,302,0
7088,1058,626,348,0
4443,1380,539,348,0
5080,1041,675,331,0
6589,620,726,259,1
7048,628,582,351,1
3995,711,842,378,0
7016,1073,993,259,0
7585,572,797,358,1
5251,709,874,351,0
4254,760,562,374,0
7681,816,952,298,1
7060,957,895,324,1
3250,1026,709,366,0
3434,504,445,215,0
5087,532,786,215,0
6343,1333,772,323,0
4710,1024,704,235,0
5098,915,915,371,0
6270,745,627,225,0
4969,644,655,363,0
7036,1152,719,314,0
7526,761,727,274,1
3524,582,592,389,0
5289,1348,850,283,0
6622,989,711,383,0
6592,800,482,188,0
7058,1079,572,370,0
4453,778,761,398,0
4928,1119,571,379,0
6541,525,610,399,1
4668,621,625,391,0
7042,895,648,334,0
5851,541,518,276,0
4004,1167,903,369,0
7006,987,748,339,0
3205,1310,453,234,0
3495,1232,598,277,0
6878,593,805,365,1
7968,701,654,234,1
5043,803,994,280,0
3055,666,518,228,0
4918,671,433,218,0
4204,1152,651,388,0
3968,1216,634,230,0
5567,545,477,354,0
7456,941,632,195,0
6596,911,560,362,0
3081,721,914,314,0
7489,965,578,364,0
5957,1101,880,202,0
7762,821,783,360,1
6678,1080,807,379,0
3584,1032,476,211,0
3637,1312,762,390,0
3445,1321,437,361,0
3269,1318,886,329,0
6547,654,594,208,0
3945,511,631,312,0
3470,707,485,359,0
6568,949,940,384,1
7827,1346,499,321,0
4660,889,459,289,0
4366,1079,837,185,0
4876,1121,976,259,0
6350,669,576,261,0
6423,1107,914,365,0
7774,738,825,194,1
4331,1142,521,297,0
5518,1134,700,266,0
7654,1351,557,305,0
5964,1256,539,384,0
5721,524,550,396,0
7410,1354,504,318,0
3277,719,555,231,0
6123,1393,557,223,0
5000,514,579,398,0
4368,1200,824,369,0
6997,1032,511,293,0
7695,757,459,358,1
4675,1082,737,229,0
3190,695,500,224,0
5843,1074,434,223,0
3921,653,965,234,0
3860,827,793,382,0
4291,602,657,371,0
6946,643,983,366,1
7302,918,577,207,0
3131,954,509,326,0
3550,606,412,320,0
7709,1100,924,309,1
7681,879,629,199,1
5179,1204,960,368,0
3264,599,975,384,0
6883,707,724,184,0
7764,809,417,320,1
4202,1090,684,371,0
5233,723,914,201,0
3051,714,621,396,0
6447,1267,822,349,0
4369,985,973,329,0
5384,1378,689,368,0
7496,710,558,301,1
6849,986,515,347,0
3294,1226,704,322,0
6810,1232,900,306,0
7086,1305,967,311,0
6362,1217,992,282,0
6554,1060,628,237,0
4725,976,743,385,0
6682,1029,930,181,0
6709,771,502,261,0
5625,1103,918,340,0
7488,547,662,231,1
4468,803,431,180,0
5376,1230,519,359,0
3344,952,982,288,0
3460,1359,869,274,0
5027,547,551,350,0
7480,923,458,220,0
4642,970,763,275,0
4411,529,578,286,0
4173,1154,771,388,0
6112,593,973,395,1
3335,1253,511,295,0
3927,1045,466,325,0
5534,931,457,385,0
6139,625,657,328,0
4223,1072,475,204,0
3678,622,745,341,0
4159,1040,771,214,0
7903,906,838,349,1
4119,1251,704,394,0
7226,1305,674,329,0
4309,1031,587,213,0
4205,583,980,309,0
6770,989,432,225,0
5757,1105,407,220,0
5672,823,474,320,0
4855,562,408,233,0
6066,1072,588,266,0
4515,821,702,367,0
4696,1024,719,366,0
3984,1279,492,332,0
3242,1338,954,234,0
3860,1204,592,257,0
7880,789,642,189,1
6375,1247,405,384,0
3950,1206,655,222,0
6776,1119,469,279,0
6810,728,453,225,0
5419,518,422,286,0
3495,826,730,340,0
5811,1208,851,279,0
3097,1049,916,285,0
7670,1349,768,331,0
7712,821,960,266,1
7720,1349,531,383,0
3176,733,904,373,0
7556,1290,621,300,0
4313,981,1000,270,0
4116,1104,799,209,0
6286,553,963,345,1
7666,1064,576,369,0
7642,996,899,236,1
6470,1178,460,379,0
7643,881,405,267,0
7464,644,937,216,1
5053,1133,402,190,0
6645,872,853,229,0
3342,1100,792,226,0
4608,716,496,382,0
6437,648,620,384,0
6879,749,658,186,0
6851,556,441,191,0
7577,855,617,349,1
6107,1122,874,201,0
6832,1316,638,290,0
4539,1312,562,313,0
3889,966,795,302,0
5746,1266,423,399,0
7121,771,841,341,1
6936,560,916,313,1
6947,1045,604,196,0
3701,832,539,247,0
3297,555,671,398,0
5777,779,515,264,0
5825,819,790,357,0
5218,1242,516,362,0
5798,988,794,353,0
7582,706,622,225,1
5107,1226,741,356,0
7043,892,874,365,1
3415,567,933,280,0
3869,564,513,325,0
7361,949,936,205,1
3036,628,887,272,0
7266,660,745,354,1
7983,1241,929,255,1
7633,806,898,276,1
4211,727,851,329,0
5046,873,832,252,0
5881,1095,933,201,0
3760,837,973,398,0
6580,855,835,257,0
3247,639,772,264,0
6006,775,400,279,0
6435,545,938,222,1
5259,602,952,367,0
6563,853,698,200,0
7251,1127,553,262,0
5970,639,942,276,0
4629,776,513,308,0
3396,641,575,314,0
6680,1076,783,200,0
6356,651,515,197,0
6226,860,873,266,0
3692,624,962,266,0
4562,526,654,301,0
3476,1176,539,395,0
7449,625,418,236,1
6535,951,908,303,0
4612,994,802,299,0
4021,619,943,242,0
7120,1119,682,267,0
7786,1017,622,328,1
4829,915,813,193,0
7878,677,992,393,1
7825,1195,713,301,0
5226,1187,819,362,0
7383,911,512,353,0
6617,870,421,203,0
6716,1147,999,212,0
3808,1394,779,208,0
7472,729,687,256,1
4034,558,818,311,0
5590,985,610,358,0
4907,1379,779,377,0
5479,866,758,202,0
6194,585,521,391,0
6923,879,732,373,0
6121,1109,964,224,0
7031,1294,446,250,0
7694,1038,862,297,1
6483,1074,566,375,0
6256,1221,535,350,0
3345,727,978,298,0
5058,734,938,218,0
5507,1030,631,271,0
4146,617,549,196,0
5700,1241,762,316,0
5811,699,634,282,0
3910,1279,813,339,0
3420,678,978,338,0
6557,1391,456,280,0
6001,943,517,286,0
3179,1326,608,361,0
3107,1263,963,262,0
4726,1142,621,207,0
4588,810,546,307,0
4202,971,683,396,0
3875,783,931,235,0
7420,1030,778,284,0
5877,698,602,228,0
6601,697,693,268,0
4655,511,478,295,0
3204,814,484,343,0
5937,1344,868,309,0
3198,1351,986,295,0
6846,903,426,189,0
4538,725,872,316,0
6811,1027,722,392,0
6595,1309,425,252,0
3685,1338,448,198,0
6046,907,410,243,0
7443,1171,908,222,0
7954,964,676,217,1
4815,980,750,398,0
4496,765,641,214,0
6490,1222,512,193,0
5380,561,947,330,0
6188,618,802,286,0
6168,1356,551,216,0
6364,760,780,181,0
5701,1154,956,218,0
5327,687,740,189,0
7300,997,652,368,0
6735,1151,492,214,0
5449,1349,734,383,0
6341,1397,435,197,0
3961,1096,867,226,0
7656,649,414,324,1
4173,1176,518,365,0
6378,518,796,233,1
5225,1264,769,218,0
5401,1107,592,310,0
4151,1074,455,279,0
5397,826,400,209,0
6268,658,703,345,0
6367,1132,456,193,0
3509,755,668,279,0
6005,1070,449,288,0
7362,1094,604,233,0
4073,589,468,180,0
3693,528,619,206,0
7300,1076,651,245,0
6695,637,764,260,1
5958,1356,537,198,0
7652,1306,670,336,0
7138,612,704,198,1
5107,1283,516,197,0
6892,601,764,344,1
6542,581,489,262,0
6314,1053,656,235,0
5754,571,407,330,0
6533,761,870,344,1
3188,1269,959,325,0
5293,801,604,305,0
4138,686,809,276,0
3454,1269,846,307,0
3131,826,623,287,0
3014,943,487,293,0
5253,1337,935,351,0
7854,768,745,211,1
3900,823,738,181,0
5696,660,985,234,0
3019,1331,696,332,0
6083,723,499,242,0
3618,609,975,377,0
5760,962,638,337,0
7919,827,946,263,1
3474,1211,429,230,0
5296,1380,470,207,0
7950,561,851,242,1
6772,1121,849,222,0
5358,634,826,351,0
4010,1149,719,399,0
7058,1282,894,221,0
3836,623,745,335,0
6190,605,660,230,0
6022,852,534,279,0
7454,694,988,215,1
7664,1265,538,331,0
4341,562,494,182,0
4742,981,986,283,0
7705,1133,741,378,1
5601,1228,525,356,0
7903,1140,810,227,1
4543,1086,432,322,0
5453,1056,896,322,0
5625,758,893,346,0
5725,791,976,292,0
6523,726,694,258,0
4273,764,668,385,0
3366,819,949,316,0
5109,1270,836,186,0
3187,528,925,301,0
7432,1262,472,375,0
7143,1371,706,335,0
3357,744,564,387,0
3928,1046,528,251,0
3453,683,436,221,0
6061,717,680,188,0
5828,1073,790,304,0
3157,1069,751,393,0
7594,910,705,371,1
6675,1157,862,245,0
3989,852,738,373,0
4088,931,705,321,0
6049,1226,848,321,0
5342,892,651,262,0
4982,523,556,203,0
3679,804,577,186,0
6428,677,472,220,0
7238,1197,997,342,1
3300,1135,935,214,0
3101,650,790,213,0
4663,1206,468,374,0
6589,880,541,400,0
3711,623,667,181,0
7294,688,704,216,1
6165,655,562,182,0
4547,642,443,231,0
6591,1247,433,352,0
7020,813,871,286,1
3431,1335,913,355,0
4794,1160,987,345,0
3478,757,679,287,0
7649,664,412,315,1
6605,999,717,303,0
5212,681,920,237,0
7419,1226,670,375,0
4756,1248,777,261,0
3679,1150,818,217,0
6878,694,658,309,1
7806,628,684,252,1
6382,1155,641,199,0
5437,577,620,215,0
3128,635,564,235,0
3951,984,745,262,0
4173,1289,958,231,0
4945,989,602,304,0
5844,1164,489,380,0
7665,641,653,383,1
6107,1277,611,362,0
4969,1309,705,326,0
3176,1023,559,277,0
6043,949,753,368,0
4508,1274,790,181,0
5272,1131,495,347,0
6382,1272,475,278,0
4693,767,496,306,0
5797,817,462,216,0
7636,1318,911,272,0
7679,1256,766,386,0
5441,813,531,235,0
4769,1350,878,208,0
4159,1048,502,346,0
4652,965,865,312,0
6610,881,412,190,0
3385,651,979,188,0
5028,1017,749,239,0
4473,1223,955,286,0
4978,737,827,263,0
6875,950,735,400,0
5354,669,642,394,0
6645,603,932,187,1
7872,1142,432,237,0
4309,1108,1000,185,0
7954,529,661,257,1
6412,1064,869,393,0
3225,910,633,224,0
3786,1399,602,252,0
4888,762,712,385,0
6243,867,768,342,0
5690,1356,770,322,0
4247,511,615,239,0
7632,621,465,271,1
3858,735,684,280,0
7998,1350,552,345,0
4749,1266,900,307,0
7164,1321,812,305,0
5186,1269,781,216,0
6366,745,720,392,0
7131,1334,757,341,0
5292,1081,549,378,0
4255,921,638,292,0
7919,1168,844,263,1
4283,1090,819,240,0
4442,1312,903,356,0
6036,836,985,192,0
6306,597,666,334,0
4075,1085,875,304,0
3127,816,642,296,0
7346,858,691,267,1
5497,1085,595,188,0
4027,673,853,263,0
7825,898,456,323,1
7477,1316,441,399,0
3819,866,624,274,0
7476,790,448,229,0
6852,595,795,346,1
4751,996,933,238,0
6745,1248,758,257,0
4893,1086,808,344,0
7041,961,794,224,0
6313,954,821,338,0
7258,885,613,386,1
3795,818,486,244,0
7718,727,938,233,1
5748,1367,978,315,0
3359,961,807,341,0
4601,934,409,231,0
3624,549,491,380,0
4407,787,941,326,0
5027,727,926,217,0
5427,983,944,183,0
7922,1147,610,397,1
5149,1310,465,186,0
4580,1080,762,318,0
4323,1152,815,312,0
6888,796,937,357,1
5552,885,841,329,0
6801,1110,860,326,0
7393,952,480,196,0
3447,1360,915,254,0
7788,1079,880,328,1
4245,1252,820,382,0
5161,923,496,385,0
4836,882,948,304,0
5155,988,634,245,0
4841,532,841,354,0
6170,972,971,197,0
6010,611,647,384,0
7793,841,896,350,1
6791,552,665,325,1
4495,539,690,215,0
3863,1374,937,392,0
4936,1083,864,376,0
6625,1003,679,387,0
4779,832,790,193,0
4344,1092,477,271,0
6597,890,406,214,0
4313,510,740,358,0
3036,622,593,234,0
6177,933,789,397,0
6050,1000,460,344,0
3409,1241,600,213,0
5779,879,694,228,0
3407,1138,482,360,0
4009,1330,675,308,0
5650,896,864,256,0
6028,878,903,353,0
5248,791,591,387,0
6742,1357,955,206,0
6387,806,873,225,0
6229,916,998,365,0
5413,763,631,322,0
3158,649,836,291,0
5404,834,747,196,0
4390,545,864,185,0
3993,1364,524,215,0
3123,730,677,287,0
4675,641,452,300,0
3119,733,516,227,0
6462,793,767,200,0
3731,736,728,285,0
4508,945,589,256,0
3606,1309,442,219,0
3146,505,950,321,0
5194,1305,947,307,0
4885,616,909,338,0
3498,1258,818,264,0
6707,1042,936,334,0
7099,1314,813,278,0
5773,668,684,346,0
5199,719,535,301,0
4484,1382,613,375,0
7154,1231,497,357,0
3806,1345,954,263,0
4977,1355,443,328,0
4714,758,695,257,0
4072,1052,938,217,0
4591,1069,887,252,0
4717,762,683,357,0
3049,663,667,319,0
7032,1232,998,377,0
7980,1368,841,226,0
3040,648,976,297,0
7136,1090,437,201,0
6242,1199,785,194,0
3537,1105,768,381,0
3957,621,577,383,0
4311,1149,619,211,0
5887,1284,587,267,0
5199,733,932,391,0
4175,1169,575,301,0
3413,1013,662,183,0
6529,1248,411,356,0
3703,1374,448,300,0
8000,850,615,355,1
7007,1055,581,347,0
4637,906,419,250,0
3998,1017,913,186,0
6550,592,995,365,1
4304,630,990,397,0
5156,833,841,190,0
5456,1382,648,354,0
3601,686,856,226,0
3433,961,576,279,0
6449,506,963,207,1
3465,1150,762,230,0
4301,1193,540,395,0
6837,1253,793,378,0
6587,1106,420,290,0
7185,1229,676,223,0
4207,784,736,255,0
3350,593,995,365,0
4418,1211,928,359,0
4446,766,617,384,0
6041,1127,715,325,0
5001,538,762,304,0
4064,1167,440,278,0
7534,700,413,392,1
6674,1387,723,381,0
6457,803,859,325,0
4451,794,927,312,0
5157,1131,600,351,0
4597,957,996,268,0
5167,1392,757,325,0
7229,1186,634,293,0
7476,637,401,342,1
3268,746,845,266,0
3267,1191,882,376,0
5490,844,937,393,0
4811,1372,740,321,0
5766,1099,573,260,0
3297,891,931,229,0
5390,511,703,224,0
5816,1103,999,384,0
4657,660,698,342,0
5578,1072,858,235,0
6025,1001,795,278,0
3253,855,889,372,0
4775,684,916,199,0
3141,720,747,192,0
7345,935,738,237,0
7860,612,605,289,1
7757,772,886,220,1
6887,1120,499,192,0
5116,668,584,393,0
5769,747,716,350,0
3197,518,994,214,0
7836,708,775,307,1
7622,1042,510,271,0
5782,1392,642,336,0
7998,1288,773,397,1
7706,503,995,221,1
6837,901,509,281,0
6563,931,945,356,0
5437,557,722,194,0
5721,770,940,291,0
5260,1192,962,302,0
6821,1099,921,397,0
4717,1388,562,362,0
5573,582,595,272,0
3481,549,480,216,0
4346,1336,969,366,0
3293,894,991,215,0
6645,657,998,279,1
7779,566,810,327,1
6593,1065,530,193,0
7362,951,589,247,0
3132,639,836,274,0
4851,1217,713,400,0
5292,1319,589,273,0
3451,667,677,314,0
3282,764,635,341,0
4017,1386,780,349,0
5938,1048,508,189,0
3656,1010,941,254,0
6236,674,702,257,0
3933,1107,559,387,0
6988,1354,439,344,0
3148,512,707,289,0
5922,1059,449,309,0
5768,1293,870,209,0
4665,854,528,260,0
6431,894,818,195,0
3038,966,596,215,0
4617,832,762,345,0
4850,1310,462,224,0
6285,678,674,296,0
5837,631,512,183,0
3226,975,910,384,0
4197,1245,891,298,0
5847,631,707,340,0
4010,630,588,352,0
3620,1304,611,378,0
5824,834,907,395,0
7337,1337,831,352,0
3422,1250,966,183,0
3531,874,927,276,0
7813,1396,809,231,0
6640,1207,435,308,0
7513,998,621,206,0
3790,782,913,244,0
3413,872,467,342,0
5976,1305,742,326,0
5829,983,884,185,0
6291,1372,651,185,0
5714,854,869,192,0
7301,648,799,275,1
6734,1239,808,365,0
7629,680,679,190,1
5065,602,428,278,0
6855,789,445,284,0
6979,1290,839,391,0
4734,1083,809,238,0
4385,1019,428,237,0
6473,648,536,393,0
4753,1173,683,246,0
6796,1383,627,281,0
6129,966,402,329,0
3603,1238,635,340,0
5447,1348,957,328,0
5589,533,935,262,0
3228,1208,692,329,0
4059,785,804,258,0
3125,929,717,278,0
6555,1134,951,309,0
7256,1133,519,283,0
6740,1048,614,291,0
4359,902,850,307,0
7420,868,832,394,1
5496,964,718,355,0
3338,1121,782,306,0
7368,1395,859,367,0
3221,944,639,303,0
6071,547,986,289,1
6137,662,843,317,0
5247,1072,787,279,0
6285,667,442,269,0
3528,1348,764,391,0
7881,663,666,310,1
6234,698,419,376,0
5333,771,825,377,0
5368,1245,892,268,0
7639,700,774,300,1
7750,1221,837,303,1
7814,1033,965,247,1
3872,773,548,304,0
7837,594,734,395,1
7011,1147,403,342,0
6740,1052,648,288,0
4937,557,550,322,0
7086,1261,571,341,0
4731,937,551,181,0
4144,797,994,240,0
4225,610,549,217,0
7169,1268,955,282,0
4557,1077,479,356,0
5126,1388,474,376,0
5045,933,704,264,0
5969,795,769,256,0
7038,1155,900,320,0
4682,682,947,269,0
4854,948,643,294,0
6332,532,687,330,1
7061,877,865,366,1
4043,976,774,361,0
6290,958,789,233,0
4319,1050,766,334,0
7060,951,775,357,1
7041,1339,718,338,0
3458,1318,987,343,0
6350,826,976,342,1
3411,986,406,238,0
3042,1185,550,222,0
7647,1238,507,223,0
7229,1019,563,214,0
5004,1367,446,394,0
5340,1100,713,264,0
5769,749,741,329,0
7622,1270,715,187,0
3434,1397,419,218,0
6929,1156,617,231,0
7653,626,600,286,1
4509,860,534,313,0
7695,1318,993,344,1
7878,587,987,222,1
3815,1242,488,351,0
4226,985,633,383,0
7672,1067,509,188,0
3323,867,512,318,0
3215,1349,634,216,0
4647,1358,636,200,0
4155,1312,990,273,0
4423,661,743,209,0
4974,577,935,286,0
7809,681,999,254,1
3931,962,734,333,0
7295,518,417,344,1
3878,615,981,309,0
3171,1311,986,193,0
4427,1246,875,378,0
3862,1082,577,183,0
4066,748,736,252,0
6442,524,462,189,0
5116,674,819,254,0
3879,786,811,355,0
6227,507,684,258,0
4174,951,830,339,0
4872,1338,463,393,0
3618,643,517,304,0
6392,598,620,319,0
5974,655,759,268,0
3726,542,816,297,0
6542,595,436,355,0
7153,801,488,252,0
4589,854,985,258,0
6325,1009,421,285,0
5535,915,748,231,0
3493,1115,752,223,0
6635,1153,808,221,0
5363,706,540,188,0
5734,883,487,327,0
6802,1273,818,290,0
7136,945,827,231,0
4947,1110,869,388,0
3332,942,661,195,0
5368,830,445,316,0
3437,1305,659,250,0
5981,826,821,342,0
3696,844,862,186,0
6685,859,847,189,0
7621,1240,716,206,0
5918,589,812,257,0
6443,592,521,292,0
7189,798,888,242,1
7218,559,596,302,1
6197,766,829,221,0
3552,526,709,261,0
5613,590,724,251,0
5622,526,432,314,0
6358,519,629,324,0
3442,628,594,331,0
5970,1114,651,353,0
5142,555,849,246,0
3563,1049,955,187,0
7027,875,777,195,0
3618,711,650,293,0
7459,1042,882,365,1
5150,1195,515,271,0
3048,1381,648,307,0
6186,1176,895,215,0
4657,578,690,384,0
4022,1217,871,369,0
7326,1356,453,251,0
5674,1173,603,324,0
3841,1100,694,295,0
6278,1231,545,371,0
