wage,costliving,gender,age,branch,userexperience,city,competence,merite,afford1,afford2,afford3
4217,2009,1,17,1,39,4,1,1,0,0,0
11317,1888,2,19,2,79,6,4,2,0,0,0
8476,633,2,20,1,53,6,4,3,0,0,1
14272,1699,1,19,2,6,3,3,3,0,1,1
14149,899,1,20,2,28,2,1,2,1,1,1
8992,739,2,20,1,57,6,4,3,0,0,1
9002,1036,1,20,1,51,4,2,1,0,0,0
7478,1043,1,19,1,28,3,2,4,0,0,1
13443,1267,2,17,1,43,4,4,4,0,1,1
9202,770,1,19,1,100,5,1,2,0,0,0
5688,1344,2,20,2,38,4,3,4,0,0,0
9346,1294,2,17,2,8,5,1,4,0,1,1
10223,1388,1,20,2,96,3,1,2,0,0,0
11507,609,1,20,1,41,2,4,2,0,0,0
8355,603,1,19,1,10,3,3,4,0,1,1
10266,1826,2,19,1,10,6,4,4,0,0,1
12534,872,2,17,2,54,1,1,3,0,1,1
10500,1173,2,18,2,1,4,4,3,0,0,1
10050,637,2,19,1,48,3,2,2,0,0,0
12483,974,1,21,1,7,4,3,3,0,1,1
9253,1684,2,20,1,95,4,4,1,0,0,0
14851,1130,2,18,2,49,1,2,1,1,1,1
10674,804,2,21,2,76,3,4,3,0,1,1
12774,1403,1,20,2,39,3,4,2,0,0,0
10660,818,2,18,1,90,4,4,3,0,1,1
14488,1497,1,19,2,79,4,4,3,0,1,1
14503,2016,1,19,1,9,6,4,1,0,0,0
10861,1480,2,20,1,24,6,2,3,0,0,1
10657,1210,2,21,1,76,1,2,2,0,0,0
13633,914,2,20,2,55,4,3,1,1,1,1
10124,831,1,20,2,98,3,2,2,0,0,0
14858,1700,2,20,2,98,2,4,3,0,1,1
5738,2094,1,19,2,18,5,1,2,0,0,0
7033,636,2,17,2,30,5,1,4,0,0,1
12914,917,2,19,2,31,6,1,3,0,1,1
14103,1055,2,19,1,38,1,1,1,1,1,1
6488,1633,1,19,1,35,6,1,1,0,0,0
4337,1112,2,20,2,27,2,2,3,0,0,0
13149,1912,1,17,1,78,4,4,2,0,0,0
11988,730,2,20,2,38,5,4,3,0,1,1
10010,696,2,21,1,29,2,3,2,0,0,0
4992,2050,1,20,1,37,1,1,2,0,0,0
14638,1030,1,18,2,93,5,1,2,1,1,1
14276,1575,1,17,2,52,6,2,1,0,0,0
7604,1934,1,19,2,95,6,1,3,0,0,0
4591,1872,2,19,1,27,3,3,2,0,0,0
4245,1723,2,20,2,87,1,1,2,0,0,0
10333,845,1,21,1,59,3,3,2,0,0,0
5425,770,1,20,2,98,6,2,4,0,0,0
6229,901,1,18,2,84,2,1,1,0,0,0
12548,1918,1,20,1,79,3,1,4,0,1,1
13162,1859,1,18,2,43,4,2,4,0,1,1
7129,1123,1,18,2,92,1,2,3,0,0,0
13850,1099,1,21,1,53,2,4,1,1,1,1
4130,1397,1,21,1,9,3,3,3,0,0,0
6054,1298,2,18,2,6,6,1,2,0,0,0
11047,1524,2,17,2,53,6,1,4,0,1,1
4229,1611,1,17,2,72,5,4,1,0,0,0
8975,2093,2,19,1,59,3,3,4,0,0,0
6458,1932,2,17,1,42,6,1,4,0,0,0
5336,936,1,17,2,24,5,1,3,0,0,0
7310,1164,2,21,2,11,2,2,3,0,0,0
4611,1243,1,17,1,68,2,4,3,0,0,0
5826,635,1,21,1,63,2,3,1,0,0,0
11335,1106,1,19,2,95,1,2,3,0,1,1
8781,1607,1,18,1,88,4,3,1,0,0,0
4989,2069,2,20,2,76,3,2,2,0,0,0
12695,685,1,18,2,43,3,4,4,1,1,1
4247,1751,2,17,1,37,2,2,1,0,0,0
14923,1365,2,17,2,54,2,3,2,1,1,1
4606,1419,2,19,2,57,5,1,4,0,0,0
8961,730,2,17,2,35,2,3,2,0,0,0
7144,2073,1,19,2,37,4,3,3,0,0,0
5208,1308,1,21,2,93,4,4,4,0,0,0
8895,1399,1,20,2,49,2,3,1,0,0,0
12905,601,1,20,2,14,2,2,2,1,1,1
9287,1297,2,19,1,60,2,3,4,0,0,1
11737,1194,1,17,1,44,6,3,4,0,1,1
8212,1225,2,20,2,84,4,1,3,0,0,0
12640,773,2,17,2,55,4,2,4,1,1,1
9192,1692,1,20,2,75,6,3,1,0,0,0
4889,625,1,17,2,69,3,3,1,0,0,0
7444,918,2,18,2,33,4,2,4,0,0,1
8871,1396,1,18,2,84,2,2,1,0,0,0
10239,1274,2,19,2,86,6,4,4,0,1,1
6679,630,2,17,2,16,4,1,2,0,0,0
9600,1619,1,19,1,69,5,1,1,0,0,0
8019,1980,1,18,1,84,3,4,1,0,0,0
12985,777,1,21,1,67,5,4,3,1,1,1
12469,1659,2,21,1,41,3,1,1,0,0,0
14193,1136,1,18,1,52,6,1,1,1,1,1
7453,1061,1,20,1,4,3,4,1,0,0,0
9590,1515,2,21,1,75,6,2,3,0,0,0
14714,1469,2,17,1,10,2,3,2,0,0,0
10211,1721,2,21,1,9,5,2,2,0,0,0
8629,753,1,21,2,66,3,1,2,0,0,0
12014,1255,1,19,1,97,4,1,2,0,0,0
8438,720,1,19,1,26,5,4,4,0,1,1
12970,1620,1,17,2,79,5,1,3,0,1,1
6861,1537,2,20,1,39,6,1,1,0,0,0
12457,1755,1,18,1,60,1,1,2,0,0,0
7579,1422,1,21,2,60,5,2,4,0,0,0
4168,1979,2,19,2,28,6,1,1,0,0,0
5404,960,1,21,1,71,5,4,4,0,0,0
12241,1391,2,20,1,90,6,2,1,0,0,0
12827,955,1,17,2,29,3,1,3,0,1,1
11658,1479,1,21,1,31,1,2,2,0,0,0
6913,1914,1,18,1,74,4,1,4,0,0,0
8333,814,2,18,2,73,1,2,3,0,0,1
10731,1079,2,18,2,79,5,3,2,0,0,0
9123,1895,2,17,2,42,3,4,2,0,0,0
8225,1517,2,20,1,15,5,4,1,0,0,0
7055,647,2,20,1,7,5,3,2,0,0,0
8495,1547,1,17,1,62,2,3,2,0,0,0
13383,1388,1,18,1,1,4,4,1,0,0,0
4424,1208,1,20,1,86,6,1,2,0,0,0
7572,2095,2,21,2,16,6,1,1,0,0,0
8554,1590,1,20,1,97,5,1,2,0,0,0
8446,1832,2,20,1,44,3,1,4,0,0,0
5646,1066,2,19,1,95,5,4,1,0,0,0
7189,1885,2,21,2,51,2,4,1,0,0,0
9229,1082,2,20,1,27,1,2,4,0,1,1
14665,1532,2,17,2,35,2,3,3,0,1,1
12887,1864,1,18,1,29,6,1,4,0,1,1
6481,1821,2,17,1,95,2,1,3,0,0,0
11329,1410,2,17,2,67,4,3,1,0,0,0
14348,1826,1,21,1,37,1,3,1,0,0,0
10422,946,1,18,2,54,6,4,4,0,1,1
8062,2031,2,17,1,50,1,3,2,0,0,0
9966,1701,2,19,2,30,2,1,3,0,0,0
4488,1485,2,20,1,62,3,4,1,0,0,0
9787,2022,2,19,1,63,4,3,1,0,0,0
13998,1784,2,20,2,38,6,4,3,0,1,1
12783,719,2,19,2,13,2,3,1,1,1,1
7096,1879,1,19,2,68,2,2,2,0,0,0
13108,847,2,18,1,29,5,4,4,1,1,1
10629,623,2,18,2,22,6,2,3,0,1,1
5643,712,2,19,1,95,2,2,2,0,0,0
8252,713,1,20,1,37,6,4,1,0,0,0
13443,1941,1,20,1,51,4,3,1,0,0,0
11433,2010,1,19,2,37,2,2,2,0,0,0
10141,863,1,20,2,82,6,3,1,0,0,0
10941,1268,2,19,2,54,2,1,4,0,1,1
4635,1084,1,18,1,80,6,3,3,0,0,0
8368,1270,1,19,2,63,5,1,2,0,0,0
10911,1109,2,18,1,28,4,2,4,0,1,1
4372,750,2,20,2,66,3,3,4,0,0,0
9776,1273,1,19,1,49,5,3,4,0,1,1
11979,1907,2,19,2,51,2,4,2,0,0,0
12391,1504,2,17,1,6,1,1,3,0,1,1
12494,1789,1,17,1,92,6,3,3,0,0,1
12078,1400,2,20,1,46,1,3,2,0,0,0
11698,1237,2,19,1,65,2,4,2,0,0,0
7446,772,2,21,2,64,4,4,3,0,0,0
10356,1751,2,18,1,18,5,1,2,0,0,0
13349,1109,1,17,1,93,2,2,4,0,1,1
14402,1920,1,18,2,57,5,4,2,0,0,0
7617,1021,2,21,1,44,5,1,4,0,0,1
7554,1631,1,18,2,14,1,4,1,0,0,0
5029,1298,1,17,1,28,5,1,3,0,0,0
5130,1586,1,21,2,17,5,3,1,0,0,0
7860,1742,2,21,1,98,2,4,3,0,0,0
5626,1704,1,18,1,30,1,1,3,0,0,0
6035,605,1,19,2,79,5,1,4,0,0,1
10023,925,1,17,2,97,1,2,1,0,0,0
13814,1706,1,21,2,55,5,2,1,0,0,0
12414,997,2,21,2,95,2,2,1,0,0,0
11670,659,1,18,2,99,5,1,1,0,0,0
11852,1203,1,18,2,75,4,2,1,0,0,0
4520,913,1,18,1,77,2,1,1,0,0,0
10936,1550,1,17,2,31,2,4,3,0,0,1
12309,1956,2,18,2,70,6,3,3,0,0,1
12204,1243,2,19,1,44,5,2,3,0,1,1
8082,854,2,21,1,63,6,2,4,0,1,1
7326,1336,1,20,1,21,6,3,2,0,0,0
4022,854,2,17,1,100,4,2,1,0,0,0
4514,1148,2,17,1,56,2,3,1,0,0,0
6901,772,2,17,2,22,5,2,4,0,0,1
14708,1179,2,21,2,64,2,2,3,1,1,1
6720,1478,1,19,1,20,6,4,2,0,0,0
7130,665,1,19,2,29,4,1,4,0,0,1
11192,1940,2,21,2,67,6,1,1,0,0,0
4355,1130,2,18,2,100,1,1,3,0,0,0
10549,984,1,18,1,2,6,4,1,0,0,0
6540,1988,2,18,1,16,5,3,4,0,0,0
4478,1531,1,17,1,12,2,1,2,0,0,0
6771,2099,2,21,1,69,3,4,4,0,0,0
13373,1278,1,17,1,23,1,1,3,0,1,1
5609,1244,1,19,1,5,6,1,1,0,0,0
5170,1521,2,18,1,72,5,2,2,0,0,0
10893,1344,1,18,2,12,1,2,3,0,0,1
7242,1997,1,18,1,44,5,2,2,0,0,0
8060,1961,2,17,2,9,5,3,3,0,0,0
11276,1578,1,18,2,3,4,3,1,0,0,0
8053,1781,2,17,2,50,5,4,2,0,0,0
8054,1948,2,18,1,13,1,1,3,0,0,0
11898,1784,1,17,2,6,4,4,2,0,0,0
14702,1643,2,18,2,69,6,4,1,0,0,0
7660,1727,2,19,2,14,6,3,3,0,0,0
5229,928,2,17,2,28,1,3,4,0,0,0
5686,1097,2,21,1,42,2,2,3,0,0,0
7051,1593,1,21,2,14,5,1,3,0,0,0
13957,2005,1,17,2,85,2,3,1,0,0,0
12665,1233,1,19,2,50,3,2,3,0,1,1
12263,717,2,20,2,5,1,2,4,0,1,1
12195,2094,1,17,2,68,3,2,1,0,0,0
7138,2013,2,17,1,54,3,3,2,0,0,0
12455,1102,1,19,1,18,5,1,1,0,0,0
6161,781,1,18,1,16,2,4,1,0,0,0
7174,1958,2,18,2,8,4,1,1,0,0,0
4856,1553,2,17,1,57,2,4,4,0,0,0
7936,1055,1,19,2,12,5,3,1,0,0,0
5339,694,1,19,1,36,3,3,3,0,0,0
6363,1555,1,20,2,77,1,3,1,0,0,0
10611,1493,2,18,1,50,5,2,1,0,0,0
7945,1057,2,21,2,87,6,4,4,0,0,1
11612,2071,1,18,2,57,1,2,1,0,0,0
9892,1584,2,21,1,4,4,4,1,0,0,0
9823,1984,1,18,2,97,3,1,2,0,0,0
5521,1774,1,20,2,45,6,2,4,0,0,0
14505,1022,1,17,2,72,3,2,2,1,1,1
14217,1033,2,17,1,23,6,1,2,1,1,1
8330,1537,1,18,1,18,4,4,2,0,0,0
12497,722,2,19,2,2,6,1,3,1,1,1
6586,1950,2,21,2,20,5,2,1,0,0,0
4755,1016,1,18,1,72,2,3,3,0,0,0
14974,1912,2,18,2,65,6,2,2,0,0,0
7093,1111,1,20,1,37,2,1,2,0,0,0
4762,1543,1,20,2,6,2,4,2,0,0,0
14925,990,1,20,1,75,2,2,2,1,1,1
7386,1814,1,18,2,6,5,3,1,0,0,0
4614,612,1,19,1,14,2,3,2,0,0,0
13967,1037,1,21,1,85,4,1,3,1,1,1
12860,1779,2,21,1,36,3,4,4,0,1,1
5354,1888,2,19,2,100,6,3,2,0,0,0
9385,1786,1,17,1,1,2,1,4,0,0,1
11333,1079,1,19,1,40,3,2,4,0,1,1
11541,1103,1,17,1,63,2,3,3,0,1,1
14937,1014,1,20,2,23,3,2,1,1,1,1
11916,1815,1,21,1,40,2,2,3,0,0,1
6825,1022,2,18,1,100,4,3,4,0,0,1
14006,1354,1,20,1,11,1,4,1,0,0,0
5618,1644,1,18,2,15,5,3,3,0,0,0
6609,1257,1,21,2,98,5,1,3,0,0,0
9308,1617,1,19,2,58,4,3,2,0,0,0
8112,1291,2,17,2,67,5,3,3,0,0,0
11840,1469,1,18,1,69,3,2,2,0,0,0
4515,1064,2,21,1,43,4,4,2,0,0,0
13555,1949,2,17,1,77,1,3,1,0,0,0
11066,834,1,18,1,48,6,3,2,0,0,0
11962,1241,2,20,2,50,4,4,1,0,0,0
11831,1070,1,18,2,31,5,4,3,0,1,1
12936,1383,2,17,1,91,3,1,2,0,0,0
6899,1570,2,17,2,82,1,3,2,0,0,0
9667,1263,2,20,2,66,5,4,2,0,0,0
8001,1968,1,20,2,98,4,3,2,0,0,0
14722,1476,2,20,2,84,4,4,1,0,0,0
13809,1842,2,20,1,65,1,3,4,0,1,1
6494,1680,1,18,2,9,4,2,1,0,0,0
8486,1184,2,19,1,40,1,4,2,0,0,0
8638,1080,2,21,1,46,6,4,2,0,0,0
12737,1712,2,18,1,41,4,1,4,0,1,1
13412,1811,2,19,2,70,2,3,2,0,0,0
6770,848,1,19,1,91,1,1,2,0,0,0
7606,987,1,20,2,35,4,2,4,0,0,1
6465,1056,1,20,2,100,1,4,1,0,0,0
13264,1082,1,17,2,15,4,2,2,0,0,0
10859,1574,1,18,2,95,3,1,2,0,0,0
5242,1463,2,21,1,92,4,2,3,0,0,0
12244,1454,2,19,1,37,1,4,2,0,0,0
4156,957,1,19,2,78,3,4,4,0,0,0
4518,805,1,21,1,6,1,1,2,0,0,0
9217,1469,1,20,1,13,6,4,4,0,0,1
13954,895,1,18,2,12,3,2,1,1,1,1
5602,718,2,20,2,60,1,4,2,0,0,0
9791,1463,2,21,1,15,1,2,1,0,0,0
6707,1478,2,21,1,10,1,4,1,0,0,0
13190,1997,2,18,1,45,1,3,4,0,1,1
13184,1965,1,21,1,1,4,1,1,0,0,0
4092,758,2,18,1,94,5,3,4,0,0,0
8184,804,1,19,1,91,1,4,2,0,0,0
12883,945,1,19,2,71,3,3,2,0,0,0
6514,1749,1,21,1,82,3,2,3,0,0,0
7755,1173,2,17,1,64,2,4,4,0,0,1
14866,859,1,19,1,92,6,2,2,1,1,1
6328,1788,1,18,1,41,6,1,3,0,0,0
10304,1445,2,19,2,4,2,1,4,0,1,1
9288,958,1,18,2,54,5,3,3,0,0,1
10127,1321,1,18,2,42,6,3,4,0,1,1
